DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,Damage numeric,DamageModel text,DamageEffect text,LaunchSpeed_mps numeric,targetFlags numeric,MinLaunchAlt_m numeric,MaxLaunchAlt_m numeric,MinRange_km numeric,MaxRange_km numeric,ProbNoFaults numeric,PayloadClass text,PayloadQuantity numeric,DatalinkRange_km real,AcceptsUserCommands numeric,DetonationRange_m numeric,BallisticType numeric,AngleError_rad numeric,BurstCount numeric,BurstDuration_s numeric,ClusterCount numeric,ClusterEffectRadius_m numeric,SensorClass numeric,SmartMaxClimb_rad numeric,SmartError_m numeric,LockOnAfterLaunch numeric
"114mm N4A1 HE(AA fuse)","","14","512","0","20","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","114mm HE N4A1 - Range 22km - Damage 17 - ETA 26 Seconds","","17","Blast3kg","ToughWeapon","869","7","0","99999","0.2","22","1","","","0","0","0","2","0.0032","0","","","","","0","0","0"
"114mm/53 mk6 AA","","14","512","0","25","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","17","BlastFrag4kg","ToughWeapon","716","5","0","99999","0.2","18.97","1","","","0","0","10","0","0.0031382","0","","","","","0","0","0"
"114mm/53 mk6 HE","","14","512","0","25","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","17","Blast3.5kg","ToughWeapon","716","5","0","99999","0.2","18.97","1","","","0","0","0","0","0.0031382","0","","","","","0","0","0"
"114mm/53 mk6 SAP","","14","512","0","25","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","17","Pen3kg","ToughWeapon","716","5","0","99999","0.2","18.97","1","","","0","0","0","0","0.0031382","0","","","","","0","0","0"
"12.7mm B-30 AP","","14","512","0","0.05","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","12.7mm B-30 AP - Range 3.5km - Damage 0.06 - ETA 5 Seconds","","0.06","SolidProjectile","ToughWeapon","850","7","0","99999","0.2","3.5","1","","","0","0","0","2","0.00215","3","0.3","","","","0","0","0"
"12.7mm B-32 APi","","14","512","0","0.05","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","12.7mm B-32 APi - Range 3.5km - Damage 0.06 - ETA 5 Seconds","","0.06","SolidProjectile","ToughWeapon","850","7","0","99999","0.2","3.5","1","","","0","0","0","2","0.00215","3","0.3","","","","0","0","0"
"127/54 Compact","","14","512","0","30","0","1980","2999","","","","ball/gunammoico.jpg","5-inch.xml","","Marcos","26.07","ExplosiveProjectile3kg","ToughWeapon","800","7","0","99999","0.2","23","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"127mm ERGM","","14","512","0","50","1.96","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","127mm ERGM - Range 115km - Damage 80.75 - ETA 138 Seconds","","80.75","ExplosiveProjectile3kg","ToughWeapon","838","5","0","99999","0.2","30","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"127mm mk 127 HE-CVT EX-175","","14","512","0","30","1","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","127mm mk 127 HE-CVT mk 175 - Range 38.4km - Damage 26.07 - ETA 37 Seconds","","26.07","ExplosiveProjectile3kg","ToughWeapon","1052","5","0","99999","0.2","38.4","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"127mm mk 127 HE-CVT mk 67","","14","512","0","30","1","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","127mm mk 127 HE-CVT mk 67 - Range 23.66km - Damage 26.07 - ETA 30 Seconds","","26.07","ExplosiveProjectile3kg","ToughWeapon","815.67","5","0","99999","0.2","23.66","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"127mm mk 41 AAC","","14","512","0","30","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","127mm mk 41 AAC - Range 15.7km - Damage 26.61 - ETA 20 Seconds","","26.61","ExplosiveProjectile3kg","ToughWeapon","808","2","0","99999","0.2","15.7","1","","","0","0","2","2","0.002942","0","","","","","0","0","0"
"127mm mk 41 HC","","14","512","0","30","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","127mm mk 41 HC - Range 25.9km - Damage 26.54 - ETA 33 Seconds","","26.54","ExplosiveProjectile3kg","ToughWeapon","808","5","0","99999","0.2","25.9","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"127mm mk 80 HE-PD EX-175","","14","512","0","30","1","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","127mm mk 80 HE-PD EX-175 - Range 38.4km - Damage 25.54 - ETA 37 Seconds","","25.54","ExplosiveProjectile3kg","ToughWeapon","1052","5","0","99999","0.2","38.4","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"127mm mk 80 HE-PD mk 67","","14","512","0","30","1","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","127mm mk 80 HE-PD mk 67 - Range 23.66km - Damage 25.54 - ETA 30 Seconds","","25.54","ExplosiveProjectile3kg","ToughWeapon","815.67","5","0","99999","0.2","23.66","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"130mm AK-130","","14","512","500","33","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","Russian 130mm AK-130 round","","10","SolidProjectile","ToughWeapon","400","5","0","99999","0.2","25","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"130mm F-44 HE","","14","512","0","33","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","130 mm/70 (5.1) AK-130 - Range 23km - Damage 27.9 - ETA 28 Seconds","","27.9","SolidProjectile","ToughWeapon","850","5","0","99999","0.2","23","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"130mm ZS-44 AA","","14","512","0","33","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","130mm ZS-44 AA - Range 15km - Damage 27.9 - ETA 18 Seconds","","27.9","BlastFrag2kg","ToughWeapon","850","15","0","99999","0.2","15","1","","","0","0","2","2","0.0029","0","","","","","0","0","0"
"130mm ZS-44P AA","","14","512","0","33","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","130mm ZS-44P AA - Range 15km - Damage 27.9 - ETA 18 Seconds","","27.9","BlastFrag2kg","ToughWeapon","850","15","0","99999","0.2","15","1","","","0","0","2","2","0.0029","0","","","","","0","0","0"
"20mm AP-T","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm AP-T - Range 2km - Damage 0.42 - ETA 2 Seconds","","0.42","SolidProjectile","ToughWeapon","1100","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","4","0.28235","","","","0","0","0"
"20mm AP-T MK9","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm AP-T MK9 - Range 4km - Damage 0.09 - ETA 5 Seconds","","0.09","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm APDS-T","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm APDS-T - Range 2km - Damage 0.49 - ETA 2 Seconds","","0.49","SolidProjectile","ToughWeapon","1150","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","0","","","","","0","0","0"
"20mm APT percussion","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm APT percussion - Range 2km - Damage 0.3 - ETA 3 Seconds","","0.3","SolidProjectile","ToughWeapon","817","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","4","0.28235","","","","0","0","0"
"20mm HE MK3","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE MK3 - Range 4km - Damage 0.08 - ETA 5 Seconds","","0.08","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm HE-I","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE-I - Range 2km - Damage 0.22 - ETA 2 Seconds","","0.22","SolidProjectile","ToughWeapon","1050","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","0","","","","","0","0","0"
"20mm HE-I MK3","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE-I MK3 - Range 4km - Damage 0.07 - ETA 5 Seconds","","0.07","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm HE-I(b)","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE-I(b) - Range 4km - Damage 0.07 - ETA 5 Seconds","","0.07","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm HE-T","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE-T - Range 2km - Damage 0.28 - ETA 2 Seconds","","0.28","Blast0.1kg","ToughWeapon","1050","15","0","99999","0.02","2","1","","","0","0","0","0","0.006","2","0.375","","","","0","0","0"
"20mm HE-T MK4","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE-T MK4 - Range 4km - Damage 0.06 - ETA 5 Seconds","","0.06","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm HE-T MK7","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE-T MK7 - Range 4km - Damage 0.07 - ETA 5 Seconds","","0.07","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm HE(b)","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HE(b) - Range 4km - Damage 0.08 - ETA 5 Seconds","","0.08","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm HEI Electric","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HEI Electric - Range 2km - Damage 0.12 - ETA 3 Seconds","","0.12","SolidProjectile","ToughWeapon","945","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","4","0.28235","","","","0","0","0"
"20mm HEI Percussion","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm HEI Percussion - Range 2km - Damage 0.2 - ETA 3 Seconds","","0.2","SolidProjectile","ToughWeapon","817","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","4","0.28235","","","","0","0","0"
"20mm Mark 149-4","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm Mark 149-4 - Range 2km - Damage 5.72 - ETA 2 Seconds","was burst count 11.  Suspect ballistic bursts are inflating hitrates far too much.","5.72","CIWSSolidProjectile","ToughWeapon","1113","11","0","99999","0.2","3.6","1","","","0","0","0","2","0.003","0","0","","","","0","0","0"
"20mm mark 244-0 ELC","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm mark 244-0 ELC - Range 2km - Damage 12.84 - ETA 2 Seconds","was burst count 16.  Suspect ballistic bursts are inflating hitrates far too much.","12.84","CIWSSolidProjectile","ToughWeapon","1113","11","0","99999","0.2","4.8","1","","","0","0","0","2","0.002","0","0","","","","0","0","0"
"20mm Mk-15","","14","512","500","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm point defense round for Mk15","","2","SolidProjectile","ToughWeapon","900","10","0","99999","0.2","4","1","","","0","0","0","2","0.0022","100","","","","","0","0","0"
"20mm PGU","","14","512","0","2.75","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm M61 Vulcan ammunition","the bullet itself is 100g, the shell casing to go with it is assumed to be 150% of that weight, leaving us with 250g weight.  But there are 11 rounds per burst, so each 'shell' represents 11 shells, so its entered as 11*0.25=2.75","0.15","SolidProjectile","ToughWeapon","1113","7","0","99999","0.02","2","1","","","0","0","0","2","0.008","11","0.22","","","","0","0","0"
"20mm SAP(b)","","14","512","0","0.1","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","20mm SAP(b) - Range 4km - Damage 0.09 - ETA 5 Seconds","","0.09","SolidProjectile","ToughWeapon","835","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"20mm/85  GAM-B01 HE-I","","14","512","0","0.12","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","0.11","SolidPen0.05kg","ToughWeapon","1050","7","0","99999","0.2","2.2","1","","","0","0","0","2","0.00202","4","0.2526","","","","0","0","0"
"23mm AM-23","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","23x115mm Russian AM-23 round burst","","0.15","SolidProjectile","ToughWeapon","800","7","0","99999","0.02","2","1","","","0","0","0","2","0.002","125","0.75","","","","0","0","0"
"23mm OFZ","","14","512","0","0.19","0","1900","2999","","","0","ball/gunammoico.jpg","5-inch.xml","23mm OFZ HE/OFZT HE-T ammo for ZSU-23-4 Effective range of 2.3km against fighter sized target","","0","SolidProjectile","ToughWeapon","980","6","0","99999","0.1","7","1","","","0","0","0","2","0.00242","8","0.14","","","","0","0","0"
"25mm APDS","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","25mm APDS - Range 2.5km - Damage 0.75 - ETA 3 Seconds","","0.75","SolidProjectile","ToughWeapon","1100","15","0","99999","0.2","2.5","1","","","0","0","0","0","0.00205","0","","","","","0","0","0"
"25mm APDS-T","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","25mm APDS-T - Range 2.5km - Damage 0.88 - ETA 3 Seconds","","0.88","SolidProjectile","ToughWeapon","1100","15","0","99999","0.2","2.5","1","","","0","0","0","0","0.00205","0","","","","","0","0","0"
"25mm FAPDS-T","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","25mm FAPDS-T - Range 2.5km - Damage 0.88 - ETA 3 Seconds","","0.88","SolidProjectile","ToughWeapon","1100","15","0","99999","0.2","2.5","1","","","0","0","0","0","0.00205","0","","","","","0","0","0"
"25mm HEI","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","25mm HEI - Range 2.5km - Damage 0.5 - ETA 3 Seconds","","0.5","SolidProjectile","ToughWeapon","1100","15","0","99999","0.2","2.5","1","","","0","0","0","0","0.00205","0","","","","","0","0","0"
"25mm HEI-T","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","25mm HEI-T - Range 2.5km - Damage 0.5 - ETA 3 Seconds","","0.5","SolidProjectile","ToughWeapon","1100","7","0","99999","0.2","2.5","1","","","0","0","0","0","0.00205","0","","","","","0","0","0"
"25mm SAPHEI","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","25mm SAPHEI - Range 2.5km - Damage 0.63 - ETA 3 Seconds","","0.63","SolidProjectile","ToughWeapon","1100","15","0","99999","0.2","2.5","1","","","0","0","0","0","0.00205","0","","","","","0","0","0"
"25mm SAPHEI-T","","14","512","0","0.15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","25mm SAPHEI-T - Range 2.5km - Damage 0.63 - ETA 3 Seconds","","0.63","SolidProjectile","ToughWeapon","1100","15","0","99999","0.2","2.5","1","","","0","0","0","0","0.00205","0","","","","","0","0","0"
"27mm FAPDS","","14","512","0","0.26","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","27 mm MLG 27 Light Naval Gun System - Range 4km - Damage 1.14 - ETA 4 Seconds","","1.14","SolidProjectile","ToughWeapon","1100","7","0","99999","0.2","4","1","","","0","0","0","0","0.0022","0","","","","","0","0","0"
"30mm ADEN API","","14","512","0","0.22","0","1954","2999","","","","ball/gunammoico.jpg","5-inch.xml","30 mm ADEN API- Range 2km  ETA 4 Seconds","","4.77","SolidProjectile","ToughWeapon","741","15","0","99999","0.2","2","1","","","0","0","0","2","0.002","4","0.2791","","","","0","0","0"
"30mm AK-630","","14","512","500","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm AA rounds","","2","SolidProjectile","ToughWeapon","900","10","0","99999","0.2","4","1","","","0","0","0","2","0.0022","100","","","","","0","0","0"
"30mm AP-I","","14","512","0","0.7","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm AP-I - Range 3km - Damage 0.33 - ETA 4 Seconds","","0.33","SolidProjectile","ToughWeapon","983","7","0","99999","0.2","3","1","","","0","0","0","0","0.0021","2","0.48","","","","0","0","0"
"30mm APDS","","14","512","0","0.7","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm APDS - Range 10.9km - Damage 0.39 - ETA 10 Seconds","","0.39","SolidProjectile","ToughWeapon","1175","5","0","99999","0.2","10.9","1","","","0","0","0","0","0.002654","0","","","","","0","0","0"
"30mm APDS-T","","14","512","0","0.7","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm APDS-T - Range 3km - Damage 1.58 - ETA 3 Seconds","","1.58","SolidProjectile","ToughWeapon","1225","15","0","99999","0.2","3","1","","","0","0","0","0","0.0021","0","","","","","0","0","0"
"30mm APFSDS-T","","14","512","0","0.7","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm APFSDS-T - Range 3km - Damage 0.13 - ETA 3 Seconds","","0.12","SolidProjectile","ToughWeapon","1385","7","0","99999","0.2","3","1","","","0","0","0","0","0.0021","2","0.48","","","","0","0","0"
"30mm API","","14","512","0","0.7","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30 mm/77 (1.2) Goalkeeper SGE-30 - Range 3km - Damage 4.77 - ETA 4 Seconds","","4.77","SolidProjectile","ToughWeapon","983","15","0","99999","0.2","3","1","","","0","0","0","0","0.0021","0","","","","","0","0","0"
"30mm Br-83 AP","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm Br-83 AP - Range 4km - Damage 22.82 - ETA 4 Seconds","","22.82","SolidProjectile","ToughWeapon","1060","15","0","99999","0.2","4","1","","","0","0","0","0","0.015","4","0.24","","","","0","0","0"
"30mm F-33 HE","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm F-33 HE - Range 4km - Damage 19.82 - ETA 4 Seconds","","19.82","SolidProjectile","ToughWeapon","1060","15","0","99999","0.2","4","1","","","0","0","0","0","0.015","4","0.24","","","","0","0","0"
"30mm FMPDS","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm FMPDS - Range 3km - Damage 1.7 - ETA 3 Seconds","","1.7","SolidProjectile","ToughWeapon","1150","15","0","99999","0.2","3","1","","","0","0","0","0","0.0021","0","","","","","0","0","0"
"30mm HE","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm HE - Range 10.9km - Damage 0.42 - ETA 11 Seconds","","0.42","SolidProjectile","ToughWeapon","1080","7","0","99999","0.2","10.9","1","","","0","0","0","0","0.002654","0","","","","","0","0","0"
"30mm HEI","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm HEI - Range 3km - Damage 3.55 - ETA 3 Seconds","","3.55","SolidProjectile","ToughWeapon","1021","15","0","99999","0.2","3","1","","","0","0","0","0","0.0021","0","","","","","0","0","0"
"30mm HEI-T","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm HEI-T - Range 3km - Damage 0.24 - ETA 3 Seconds","","0.24","SolidProjectile","ToughWeapon","1080","7","0","99999","0.2","3","1","","","0","0","0","0","0.0021","2","0.48","","","","0","0","0"
"30mm M230 Chaingun Ammo","","14","512","0","0.4","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm AP-I - Range 1.5km","","0.33","SolidPen0.05kg","ToughWeapon","805","7","0","99999","0.2","1.5","1","","","0","0","0","2","0.00195","0","0","","","","0","0","0"
"30mm OF-83 HE-FRAG","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm OF-83 HE-FRAG - Range 4km - Damage 20.56 - ETA 4 Seconds","","20.56","BlastFrag0.1kg","ToughWeapon","1060","15","0","99999","0.2","4","1","","","0","0","0.5","0","0.015","4","0.24","","","","0","0","0"
"30mm OF-84 HE-FRAG AK-306","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm OF-84 HE-FRAG AK-306 - Range 4km - Damage 26.63 - ETA 5 Seconds","","26.63","SolidProjectile","ToughWeapon","900","15","0","99999","0.2","4","1","","","0","0","0","2","0.0022","4","0.24","","","","0","0","0"
"30mm OF-84 HE-FRAG AK-630M","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm OF-84 HE-FRAG AK-630M - Range 4km - Damage 4.28 - ETA 5 Seconds","","4.28","SolidProjectile","ToughWeapon","900","15","0","99999","0.2","4","1","","","0","0","0","2","0.0022","34","0.204","","","","0","0","0"
"30mm OF-84 HE-FRAG Kashtan-M","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm OF-84 HE-FRAG Kashtan-M - Range 4km - Damage 25.13 - ETA 5 Seconds","","25.13","SolidProjectile","ToughWeapon","860","15","0","99999","0.2","4","1","","","0","0","0","2","0.0022","100","","","","","0","0","0"
"30mm OP-84 FRAG Tracer AK-306","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm OP-84 FRAG Tracer AK-306 - Range 4km - Damage 19.61 - ETA 5 Seconds","","19.61","SolidProjectile","ToughWeapon","900","15","0","99999","0.2","4","1","","","0","0","0","2","0.0022","4","0.24","","","","0","0","0"
"30mm OP-84 FRAG Tracer AK-630M","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm OP-84 FRAG Tracer AK-630M - Range 4km - Damage 3.34 - ETA 5 Seconds","","3.34","SolidProjectile","ToughWeapon","900","15","0","99999","0.2","4","1","","","0","0","0","2","0.0022","34","0.204","","","","0","0","0"
"30mm OP-84 FRAG Tracer Kashtan-M","","14","512","0","0.39","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm OP-84 FRAG Tracer Kashtan-M - Range 4km - Damage 19.61 - ETA 5 Seconds","","19.61","SolidProjectile","ToughWeapon","860","15","0","99999","0.2","4","1","","","0","0","0","2","0.0022","100","","","","","0","0","0"
"30mm PGU-13/B HE-I","","14","512","0","0.36","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","12.84","Blast0.1kg","ToughWeapon","1021","11","0","99999","0.16","3.3","1","","","0","0","0","2","0.00213","15","0.2143","","","","0","0","0"
"30mm PGU-14/B API","","14","512","0","0.69","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","0.69kg round, 14 round burst","12.84","SolidPen0.1kg","ToughWeapon","1070","15","0","2400","0.16","2.4","1","","","0","0","0","2","0.005","14","0.2154","","","","0","0","0"
"30mm SAPHEI-T","","14","512","0","0.66","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","30mm SAPHEI-T - Range 3km - Damage 0.2 - ETA 3 Seconds","","0.2","SolidProjectile","ToughWeapon","1080","7","0","99999","0.2","3","1","","","0","0","0","0","0.0021","2","0.48","","","","0","0","0"
