DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes nextutmeric,DisplayName text,Capacity numeric,MaxVolume_m3 numeric,MaxWeight_kg numeric,MoveTime_s numeric,Class1 text,Class2 text,Class3 text,Class4 text
"127mm mk12/16 300 round","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","300","300","0","50","127mm mk 32","127mm mk 34 AAC","",""
"127mm mk12/16 600 round","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","600","600","0","50","127mm mk 32","127mm mk 34 AAC","",""
"127mm mk12/16 900 round","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","900","900","0","50","127mm mk 32","127mm mk 34 AAC","",""
"12cm/50(4.7in) Model 1950 Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","400","400","0","0","12cm/50 Mdl50 HE","","",""
"130 mm/58 (5.1in) Type 76 400 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","400","400","0","0","130mm PB-42 SAP","130mm OF-42 HE-FRAG","130mm ZS-42P AA",""
"130 mm/58 (5.1in) Type 76 x2 800 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","800","800","0","0","130mm PB-42 SAP","130mm OF-42 HE-FRAG","130mm ZS-42P AA",""
"20mm Rh202 magazine","","0","0","0","0","0","1900","2999","","","","","","","","20mm Gun store","2000","","0","0","20mm Rh202 APDS-T","","",""
"20mm Rh202 x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","1000","0","0","60","20mm Rh202 HE-T","","",""
"20mm Sea Vulcan Ammo Box","","0","0","0","0","0","1900","2999","","","","","","","","Amunition Magazine","690","","","0","20mm M53 API","","",""
"25mm Type 61 Store x2 8000 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","8000","0","0","60","25mm HE-I-T","","",""
"27mm MLG 27 x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","1000","0","0","60","27mm DM10 FAPDS","","",""
"2K11 Krug-M Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","12","40","0","15","9M8M","","",""
"2K11 Krug-M1 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","12","40","0","15","9M8M1","","",""
"2K11 Krug-M2 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","12","40","0","15","9M8M2","","",""
"2K11 Krug-M3 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","12","40","0","15","9M8M3","","",""
"2K12 Kub Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","3M9M","","",""
"2K12-M1 Kub-M1 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","3M9M1","","",""
"2K12-M3 Kub-M3 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","3M9M3","","",""
"2K12-M4 Kub-M4 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","3M9M4","","",""
"2K12E Kvadrat Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","3M9M","","",""
"3000kg Generic Store","","0","0","0","0","0","1900","2999","","","","","","Generic Storage space with a 3000kg capacity","","Storage","0","0","3000","240","","","",""
"30mm GCM-A03-2 x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","1660","0","0","60","30mm/75 GCM-AO3-2 APDS;30mm/75 GCM-AO3-2 HE","","",""
"37mm/63 Type 76 Magazine x4","","0","0","0","0","0","1900","2999","","","","","","","","37mm Amunition","10000","10000","0","0","37mm Type 676 HE-FRAG","","",""
"37mm/63 Type 76 Magazine x6","","0","0","0","0","0","1900","2999","","","","","","","","37mm Amunition","15000","15000","0","0","37mm Type 676 HE-FRAG","","",""
"40mm Bofors x2 Magazine x5","","0","0","0","0","0","1900","2999","","","","","","","","40mm Gun store","1200","","0","0","40mm HE-T x2;40mm PFHE x2","","",""
"40mm Bofors x2 Magazine","","0","0","0","0","0","1900","2999","","","","","","","","40mm Gun store","800","","0","0","40mm HE Mk1 Md1","","",""
"40mm L70 Trinity magazine","","0","0","0","0","0","1900","2999","","","","","","","","40mm Gun store","500","","0","0","40mm HE-T","","",""
"40mm L70 Trinity x2 Magazine","","0","0","0","0","0","1900","2999","","","","","","","","40mm Gun store","1000","","0","0","40mm HE-T","","",""
"40mm/70 x2 Magazine","","0","0","0","0","0","1900","2999","","","","","","","","40mm Gun store","1000","","0","0","40mm HE-T","","",""
"40mm/L70 Bofors Twin x4 Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","640","640","0","0","40 mm L70 HE x5","","",""
"4x Phalanx 1B","","0","0","0","0","0","1900","2999","","","","","","","","Phalanx Store","2092","0","0","0","20mm mark 244-0 ELC","","",""
"57mm Type 59 Store x4 2000 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","2000","0","0","60","57mm Type 59 HE-T","","",""
"688 magazine","","0","0","0","0","0","1900","2999","","","null","null","null","null","","Torpedo Mag","20","61","0","180","","","",""
"76/62 Compact santabarbara","","0","0","","","","1900","2999","","","","","","","","","420","0","0","240","76mm HE-MOM","","",""
"76mm AK-176 Magazine 152 Rounds","","0","0","0","0","0","1900","2999","","","","","","Main ammo magazine for the 76mm AK-176 deck gun.","","152 rounds ammo mag","152","","0","0","76.2mm OS-62 FRAG","76.2mm ZS-63 AA","",""
"76mm TAK 76 magazine","","0","0","0","0","0","1900","2999","","","","","","","","76mm Gun store","180","","0","0","76mm HC","","",""
"76mm mk33 Store","","0","0","0","0","0","1900","2999","","","","","","","","Amunition Magazine","800","","","0","76mm Mk 31 Md1 AA VT;76mm Mk 27 Md1 HC","","",""
"76mm mk33 x2 store","","0","0","0","0","0","1900","2999","","","","","","","","Secondary Amunition Magazine","8000","","","0","76mm Mk 31 Md1 AA VT;76mm Mk 27 Md1 HC","","",""
"76mm/62 mk75 240 rounds","","0","0","0","0","0","1900","2999","","","","","","Main ammo magazine for the 76mm/62 Mark 75 deck gun.","I do not know the corerct number of rounds kept either in the gun or in the main magazine.  Navweaps says there is a single main feed drum that holds 70 rounds, a central screw hoist that holds 6 rounds, and a breech loading drum that holds 4 rounds.  there is no mention of main magazine storage much like there is for the 127mm/62 mark 45.  Given that they store 600 rounds per gun, and the OHP is a considerably smaller ship, im assuming 240 rounds.","240 rounds ammo mag","240","240","0","0","76mm HE-MOM","76mm HE-SAPOM","76mm HE-SAPOMER",""
"76mm/62 mk75 x2 480 rounds","","0","0","0","0","0","1900","2999","","","","","","Main ammo magazine for the 76mm/62 Mark 75 deck gun.","","480 rounds ammo mag","480","480","0","0","76mm HE-MOM","76mm HE-SAPOM","76mm HE-SAPOMER",""
"9K33 OSA Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","36","40","0","15","9M33","","",""
"9K33M2 OSA-AK Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","36","40","0","15","9M33M2","","",""
"9K33M3 OSA-AKM Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","36","40","0","15","9M33M3","","",""
"9K37 Buk Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","9M38","","",""
"9K37 Gang Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","32","32","0","15","9M38M1","9M38M2","",""
"9K37-1 Buk-1 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","9M38","9M38M1","",""
"9K37M1 Buk-M1 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","48","48","0","15","9M38M1","9M39M1","",""
"9K37M1-2 Buk-M1-2 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","8","40","408","15","","","",""
"9K37M2 Buk-M2 Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","8","40","408","15","","","",""
"9K37M2E Ural Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","8","40","408","15","","","",""
"9K38 Igla-1S Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","8","40","408","15","","","",""
"9K38 Igla-1V Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","8","40","408","15","","","",""
"AK-230 x1 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-230 Ammo Magazine","2000","0","0","60","30mm OF-83 HE-FRAG","30mm F-33 HE","30mm OF-83 HE-FRAG",""
"AK-230 x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-230 Ammo Magazine","4000","0","0","60","30mm OF-83 HE-FRAG","30mm F-33 HE","30mm OF-83 HE-FRAG",""
"AK-630 Twin x1 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-630 Ammo Magazine","472","0","0","60","30mm OF-84 HE-FRAG AK-630M","","",""
"AK-630 Twin x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-630 Ammo Magazine","944","0","0","60","30mm OF-84 HE-FRAG AK-630M","","",""
"AK-630 x1 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-630 Ammo Magazine","236","0","0","60","30mm OF-84 HE-FRAG AK-630M","","",""
"AK-630 x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-630 Ammo Magazine","472","0","0","60","30mm OF-84 HE-FRAG AK-630M","","",""
"AK-630 x4 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-630 Ammo Magazine","944","0","0","60","30mm OF-84 HE-FRAG AK-630M","","",""
"AK-630 x6 Store","","0","0","0","0","0","1900","2999","","","","","","","","AK-630 Ammo Magazine","1416","0","0","60","30mm OF-84 HE-FRAG AK-630M","","",""
"AK-725 x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","Storage for both AK-725 Guns","4000","0","0","0","57mm Tracer-FRAG","","",""
"AK-726 x2 Store","","0","0","0","0","0","1900","2999","","","","","","","","Storage for both AK-726 Deck Guns","1200","0","0","0","76.2mm OS-62 FRAG","","",""
"ANZAC Gun/CM Magazine","","0","0","0","0","0","1900","2999","","","","","","ANZAC FFH gun ammunition and countermeasure expendables magazine.","[greengills]","Gun/CM Mag","80","0","0","600","20mm Mark 149-4","Chaff-2","Flare-2","Mk-53 Nulka Hovering Decoy"
"ANZAC Helo Fuel Bunker","","0","0","0","0","0","1900","2999","","","","","","ANZAC FFH aviation fuel bunker","[greengills]","Fuel Bunker","30000","0","0","180","Fuel","","",""
"ANZAC Torpedo Magazine","","0","0","0","0","0","1900","2999","","","","","","ANZAC FFH torpedo and aviation magazine.","[greengills]","Torp Mag","24","0","0","600","MU-90","Mk-46 Mod5","Mk-50","DICASS Sonobuoy"
"AS 565 1.1 Support","","0","0","0","0","0","1900","2999","","","","","","","","AS 565 Helo Support Stores","15454","4977","27764","45","Fuel","Chaff-1;Flare-1","MU-90;A-244S;AS-30L;750 litre tank;Mk-46 Mod5;Marte Mk2/S","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"AS 565 1.2 Support","","0","0","0","0","0","1900","2999","","","","","","","","AS 565 Helo Support Stores","30555","9910","46217","45","Fuel","Chaff-1;Flare-1","MU-90;A-244S;AS-30L;750 litre tank;Mk-46 Mod5;Marte Mk2/S","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"AS 565 1.3 Support","","0","0","0","0","0","1900","2999","","","","","","","","AS 565 Helo Support Stores","45715","14845","65093","45","Fuel","Chaff-1;Flare-1","MU-90;A-244S;AS-30L;750 litre tank;Mk-46 Mod5;Marte Mk2/S","DICASS (50) Sonobuoy;DIFAR (50) Sonobuoy;LOFAR (50) Sonobuoy;DICASS (55) Sonobuoy;DIFAR (55) Sonobuoy;LOFAR (55) Sonobuoy;DICASS (60) Sonobuoy;DIFAR (60) Sonobuoy;LOFAR (60) Sonobuoy;DICASS (65) Sonobuoy;DIFAR (65) Sonobuoy;LOFAR (65) Sonobuoy;DICASS (70) Sonobuoy;DIFAR (70) Sonobuoy;LOFAR (70) Sonobuoy;DICASS (75) Sonobuoy;DIFAR (75) Sonobuoy;LOFAR (75) Sonobuoy;DICASS (80) Sonobuoy;DIFAR (80) Sonobuoy;LOFAR (80) Sonobuoy;DICASS (85) Sonobuoy;DIFAR (85) Sonobuoy;LOFAR (85) Sonobuoy;DICASS (90) Sonobuoy;DIFAR (90) Sonobuoy;LOFAR (90) Sonobuoy;DICASS (95) Sonobuoy;DIFAR (95) Sonobuoy;LOFAR (95) Sonobuoy;DICASS (100) Sonobuoy;DIFAR (100) Sonobuoy;LOFAR (100) Sonobuoy;DICASS (105) Sonobuoy;DIFAR (105) Sonobuoy;LOFAR (105) Sonobuoy;DICASS (110) Sonobuoy;DIFAR (110) Sonobuoy;LOFAR (110) Sonobuoy;DICASS (115) Sonobuoy;DIFAR (115) Sonobuoy;LOFAR (115) Sonobuoy;DICASS (120) Sonobuoy;DIFAR (120) Sonobuoy;LOFAR (120) Sonobuoy;DICASS (125) Sonobuoy;DIFAR (125) Sonobuoy;LOFAR (125) Sonobuoy"
"Adelaide Gun/CM Magazine","","0","0","0","0","0","1900","2999","","","","","","Adelaide FFG gun ammunition and countermeasure expendables magazine.","[greengills]","Gun/CM Mag","100","0","0","600","20mm Mark 149-4","Chaff-2","Flare-2","Mk-53 Nulka Hovering Decoy"
"Adelaide Helo Fuel Bunker","","0","0","0","0","0","1900","2999","","","","","","Adelaide FFG aviation fuel bunker","[greengills]","Fuel Bunker","58059","0","0","180","Fuel","","",""
"Adelaide Torpedo Magazine","","0","0","0","0","0","1900","2999","","","","","","Adelaide FFG torpedo and aviation magazine.","[greengills]","Torp Mag","50","0","0","600","MU-90","Mk-46 Mod5","Mk-50",""
"Albion LPD Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","44000","0","0","60","30mm PGU-13/B HE-I","","",""
"Alpinist Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammunition Magazines","32","0","313.6","60","","","",""
"Austin LPD Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","44000","0","0","60","25mm APDS",".50 cal bullet","",""
"Avenger Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","12000","0","0","60",".50 cal bullet","","",""
"BL-161 fuel helo","","0","0","","","","1900","2999","","","","","","","","","50000","0","0","10","Fuel","","",""
"BMP1 Store","","0","0","0","0","0","1900","2999","","","","","","Three more Malyutka's under the commander's seat!","","BMP1 ATGM Store","3","0","0","","9M14 Malyutka","9M113 Konkurs","",""
"Blue Ridge Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","8000","0","0","60","25mm APDS","","",""
"Borei Magazine","","0","0","0","0","0","1900","2999","","","","","","Borei Magazine","","Magazine","20","0","0","60","RPK-6 Vodopod;RPK-6 Vodopod (Nuclear);53-65M;","","",""
"Bristol Bloodhound MKI Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","64","0","0","15","Bloodhound mk1","","",""
"Bristol Bloodhound MKII Store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","64","0","0","15","Bloodhound mk2","Bloodhound mk1","",""
"C-130H Cargo Bay","","0","0","0","0","0","1900","2999","","","","","","C-130H Cargo Bay","[greengills]","Cargo Bay","10000","0","10000","5400","","","",""
"C-130J Cargo Bay","","0","0","0","0","0","1900","2999","","","","","","C-130J Cargo Bay","[greengills]","Cargo Bay","10000","0","14000","5400","","","",""
"CH-53E Cargo","","0","0","0","0","0","1900","2999","","","","","","","","Cargo bay","0","0","13610","0","","","",""
"Capana fuel helo","","0","0","","","","1900","2999","","","","","","","","","12000","0","0","10","Fuel","","",""
"Cargo 20","","0","0","0","0","0","1900","2999","","","","","","","","Cargo","0","20","3000","300","","","",""
"Cargo 3","","0","0","0","0","0","1900","2999","","","","","","","","Cargo","0","3","1500","300","","","",""
"Cargo 39000","","0","0","0","0","0","1900","2999","","","","","","","","Cargo","0","39000","390000","900","","","",""
"Cargo 4","","0","0","0","0","0","1900","2999","","","","","","","","Cargo","0","4","2000","300","","","",""
"Cargo 7000","","0","0","0","0","0","1900","2999","","","","","","","","Cargo","0","7000","70000","900","","","",""
"Cargo 8","","0","0","0","0","0","1900","2999","","","","","","","","Cargo","0","8","2000","300","","","",""
"Carrier Fuel Supply","","0","0","0","0","0","1900","2999","","","","","","","","Carrier Fuel Storage","4000000","0","0","60","Fuel","","",""
"Carrier Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Carrier Weapons Storage","900000","0","0","300","","","",""
"Chaparral Store","","0","0","0","0","0","1900","2999","","","","","","More MIM-72A's.","","MIM-72A Chaparral Store","8","0","0","","MIM-72A","","",""
"Charles de Gaulle CVN Fuel","","0","0","0","0","0","1900","2999","","","","","","","","JP-5 Fuel Storage","2409000","0","2409000","300","Fuel","","",""
"Charles de Gaulle CVN Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Carrier Weapons Storage","0","0","1070000","1500","","","",""
"Charlie torpedo magazine","","0","0","0","0","0","1900","2999","","","","","","test","","Torpedo Mag","12","0","0","10","53-65M","53-65K","SET-65",""
"Cheng Kung Magazine","","0","0","0","0","0","1900","2999","","","","","","","","Weapons Mag","400","0","0","180","","","",""
"Chinese Destroyer AAA Magazine","","0","0","0","0","0","1900","2999","","","","","","AAA magazine for indigenous-build Chinese destroyers.","[greengills]","AAA Mag","8000","0","0","600","37mm HE-FRAG","","",""
"Chinese Destroyer CM Magazine","","0","0","0","0","0","1900","2999","","","","","","Countermeasure expendables magazine for indigenous-build Chinese destroyers.","[greengills]","CM Mag","80","0","0","600","Chaff-2","Flare-2","",""
"Chinese Destroyer Helo Fuel Bunker","","0","0","0","0","0","1900","2999","","","","","","Aviation fuel bunker for indigenous-build Chinese destroyers.","[greengills]","Fuel Bunker","60000","0","0","180","Fuel","","",""
"Chinese Destroyer Torpedo Magazine","","0","0","0","0","0","1900","2999","","","","","","Torpedo magazine for indigenous-build Chinese destroyers.","[greengills]","Torp Mag","24","0","0","600","Yu-7","","",""
"Chinese Torpedo Racks(18)","","0","0","0","0","0","1900","2999","","","","","","","","Torpedo Racks","18","0","0","600","Yu-7","","",""
"Collins Missile Racks","","0","0","0","0","0","1900","2999","","","","","","Collins SSK Missile Racks","[greengills]","Missile Mag","4","0","0","480","UGM-84D Harpoon","","",""
"Collins Torpedo Racks","","0","0","0","0","0","1900","2999","","","","","","Collins SSK Torpedo Racks","[greengills]","Torp Mag","12","0","0","480","Mk-48 Mod6","","",""
"Combattante IIG Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","480","0","0","60","76mm HE-MOM;76mm HE-SAPOM","40 mm L70 HE x5","",""
"Converted Austin Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","12000","0","0","60","",".50 cal bullet","",""
"Converted Raleigh Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","20000","0","0","60","25mm APDS",".50 cal bullet","",""
"Coutinho DC Racks","","0","0","0","0","0","1900","2999","","","","","","","","DC Racking","24","0","0","0","Mk-9 DC","","",""
"Crotale Naval 16","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","16","16","0","0","Matra R.440N","HQ-7","",""
"Crotale Naval 26","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Generic Stores","26","26","0","0","Matra R.440N","","",""
"Cyclone Ammo Box","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Box","9600","0","0","60","25mm APDS",".50 cal bullet","",""
"Cyclone Missile Box","","0","0","0","0","0","1900","2999","","","","","","","","Missile Box","6","0","0","60","FIM-92 Stinger","","",""
"DASH 1.1 Support","","0","0","0","0","0","1900","2999","","","","","","","","DASH Stores","1696","591.4","5668.8","45","Mk-44;Mk-46 Mod5","Fuel","",""
"DASH 3.1 Support","","0","0","0","0","0","1900","2999","","","","","","","","DASH Stores","1717","633.3","11818.8","45","Mk-44;Mk-46 Mod5","Fuel","",""
"DASH Support Stores","","0","0","0","0","0","1900","2999","","","","","","","","DASH Stores","0","7070","0","0","Mk-44;Mk-46 Mod5","Fuel","",""
"EDS-25A x2 12 rounds","","0","0","0","0","0","1900","2999","","","","","","","","ASW Mortar Magazine","12","0","0","0","EDS-25A ASW Mortar","","",""
"EDS-25B x2 36 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","ASW Mortar Magazine","36","0","0","0","EDS-25B ASW Mortar","","",""
"EDS-32 x2 30 rounds","","0","0","0","0","0","1900","2999","","","","","","","","ASW Mortar Magazine","30","0","0","0","EDS-32 ASW Mortar","","",""
"Edenton Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","20000","0","0","60","25mm APDS",".50 cal bullet","",""
"Elbrus ASRH Ammo Mag","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","2800","0","0","60","57mm Tracer-FRAG","","",""
