DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,InitialYear numeric,FinalYear numeric,Country text,Designation text,MaxSpeed_kts numeric,Accel_ktsps numeric,TurnRate_degps numeric,FuelCapacity_kg numeric,FuelRate_kgps numeric,Toughness numeric,DamageEffect text,RCS_dBsm numeric,RCS_Model text,OpticalCrossSection_dBsm text,IRSignature_dB numeric,IR_ModelA text,IR_ModelB text,IR_ModelC text,EffectiveHeight_m numeric,TS numeric,TS_Model text,AcousticModel text,SL_Model nextumteric,MaxTakeoffWeight_kg numeric,MaxAltitude_m numeric,ClimbRate_mps numeric,Gmax numeric,MinimumRunway_m numeric,IsCarrierCompatible numeric,OutFuelPods numeric,FuelOut_kgps numeric,FuelIn_kgps numeric,MaintenanceMin_s numeric,MaintenanceMax_s numeric,MilitaryThrust_N numeric,MilitaryThrustSpeedSlope real,ABThrust_N numeric,ABThrustSpeedSlope real,ABFuelRate_kgps numeric,Cdpsub numeric,Cdptran numeric,Cdpsup numeric,Mcm numeric,Msupm numeric,CruiseSpeed_mps numeric,StallSpeed_mps numeric,T2 numeric,T4 numeric,T6 numeric,T8 numeric,T10 numeric,T12 numeric,T16 numeric,T20 numeric,T25 numeric,T30 numeric,FE2 numeric,FE4 numeric,FE6 numeric,FE8 numeric,FE10 numeric,FE12 numeric,FE16 numeric,FE20 numeric,FE25 numeric,FE30 numeric
"A-4AR","","12","33","","4746.92","0","","air/AdvicoA4AR.jpg","harrier-gr3.xml","","","1994","2999","Argentina","Bomber","725","22.39","14","2461.59","1.115968","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","49820","0.00122","49820","0.00122","1.115968","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4B","","12","33","","4148.63","0","","air/AdvicoA4B.jpg","harrier-gr3.xml","","","1962","1964.19","USA","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4C","","12","33","","4412.62","0","","air/AdvicoA4B.jpg","harrier-gr3.xml","","","1962","1970.451","USA","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A4D-1","","12","33","","3810.24","0","","air/AdvicoA4D1.jpg","harrier-gr3.xml","","","1956.736","1962","USA","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A4D-2","","12","33","","4148.63","0","","air/AdvicoA4D2.jpg","harrier-gr3.xml","","","1957.703","1962","USA","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A4D-2N","","12","33","","4412.62","0","","air/AdvicoA4D2N.jpg","harrier-gr3.xml","","","1962.703","1962","USA","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4E","","12","33","","4469.32","0","","air/AdvicoA4E.jpg","harrier-gr3.xml","","","1963.037","1970.199","USA","Bomber","725","22.39","14","2461.59","0.877192","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","37810","0.001822","37810","0.001822","0.944961","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4E(Indonesia)","","12","33","","4469.32","0","","air/AdvicoA4E.jpg","harrier-gr3.xml","","","1980","2005.593","Indonesia","Bomber","725","22.39","14","2461.59","0.877192","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","37810","0.001822","37810","0.001822","0.877192","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4F","","12","33","","4739.12","0","","air/AdvicoA4F.jpg","harrier-gr3.xml","","","1967.4","1988","USA","Bomber","725","22.39","14","2461.59","1.009379","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","41368","0.001643","41368","0.001643","1.009379","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4G(AU)","","12","33","","4739.21","0","","air/AdvicoA4G.jpg","harrier-gr3.xml","","","1967","1984.496","Australia","Bomber","725","22.39","14","2461.59","1.009379","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","41368","0.001643","41368","0.001643","1.009379","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4G(NZ)","","12","33","","4739.21","0","","air/AdvicoA4G.jpg","harrier-gr3.xml","","","1984","2001","New Zealand","Bomber","725","22.39","14","2461.59","1.009379","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","41368","0.001643","41368","0.001643","1.009379","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4H","","12","33","","4739.21","0","","air/AdvicoA4H.jpg","harrier-gr3.xml","","","1966","2008","Israel","Bomber","725","22.39","14","2461.59","1.009379","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","41368","0.001643","41368","0.001643","1.009379","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4K","","12","33","","4739.21","0","","air/AdvicoA4K.jpg","harrier-gr3.xml","","","1970","2001","New Zealand","Bomber","725","22.39","14","2461.59","1.009379","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","41368","0.001643","41368","0.001643","1.009379","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4Ku","","12","33","","4746.92","0","","air/AdvicoA4Ku.jpg","harrier-gr3.xml","","","1977","1994","Kuwait","Bomber","725","22.39","14","2461.59","1.115968","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","49820","0.00122","49820","0.00122","1.115968","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4M","","12","33","","4746.92","0","","air/AdvicoA4M.jpg","harrier-gr3.xml","","","1971.155","1992","USA","Bomber","725","22.39","14","2461.59","1.115968","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","49820","0.00122","49820","0.00122","1.115968","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4N","","12","33","","4746.92","0","","air/AdvicoA4N.jpg","harrier-gr3.xml","","","1972","2008","Israel","Bomber","725","22.39","14","2461.59","1.115968","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","49820","0.00122","49820","0.00122","1.115968","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4P","","12","33","","4148.63","0","","air/AdvicoA4P.jpg","harrier-gr3.xml","","","1965","1999","Argentina","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4PTM","","12","33","","4412.62","0","","air/AdvicoA4PTM.jpg","harrier-gr3.xml","","","1985.8","1999.7","Malaysia","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","45","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4Q","","12","33","","4412.62","0","","air/AdvicoA4Q.jpg","harrier-gr3.xml","","","1971","1988","Argentina","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4S","","12","33","","4148.63","0","","air/AdvicoA4S.jpg","harrier-gr3.xml","","","1972","2004","Singapore","Bomber","725","22.39","14","2461.59","0.944961","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","45","6","0","1","0","0","20","3600","10800","37365","0.001844","37365","0.001844","0.944961","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-4Su","","12","33","","4810","0","","air/AdvicoA4Su.jpg","harrier-gr3.xml","","","1988","2004","Singapore","Bomber","725","22.39","14","2461.59","1.110711","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","11113","12880","45","6","0","1","0","0","20","3600","10800","48930","0.001266","48930","0.001265","1.115968","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
"A-50","Mainstay","12","33","20000000","89000","","a50.jpg","air/AdvicoA50.jpg","a-50.xml","Beriev A-50 AEW, air, surface, and ground surveillance","","1984","2999","Russia","AEW","560","20","5","81830","6","1","AirDmg1","20.95","AirRCS1","17.19","30","IR_FW_VL_H_LP_4_M0.85","IR_FW_VL_H_LP_4_M0.85","IR_FW_VL_H_LP_4_Super_M1.1","0","-999","Default","Default","Default","172000","13700","15","3","1700","0","0","0","30","3600","10800","628000","0","628000","0","6","14","16.5","16","0.75","1.2","106","77","1","0.95","0.9","0.85","0.8","0.66","0","0","0","0","1","1","1","1","0.98","1.1","1.4625","3","5","5"
