DatabaseClass text,AirClass text,Quantity numeric,Prefix text,ReadyLevel numeric
"Nimitz CVN-68 USS Nimitz 770707-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","EA-6B","6","Zappers ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","E-2B","6","Sun Kings ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","SH-3G","6","Fleet Angels ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","EA-6B","6","Black Ravens ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","E-2B","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 771201-A","RA-5C","4","Fleurs ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","EA-6B","6","Black Ravens ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","E-2B","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 781020-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","EA-6B","6","Garudas ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","E-2B","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 790910-A","RF-8G","6","Eyes of the Fleet ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","E-2C","6","Bear Aces ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 800829-A","SH-3G","6","Sea Horses ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","EA-6B","6","Playboys ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","E-2C","6","Bear Aces ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 810803-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","EA-6B","6","Black Ravens ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","E-2C","6","Bear Aces ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 821110-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","E-2C","6","Bear Aces ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 850328-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","F-14A","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","F-14A","12","Victory ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","E-2C","6","Bear Aces ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","S-3A","10","Scouts ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","SH-3H","6","Sea Griffons ","1"
"Nimitz CVN-68 USS Nimitz 861230-A","EA-3B","6","Batman ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","F-14A","12","Nikel ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","F-14A","12","Rage ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","A-7E","12","Diamond ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","A-7E","12","Jason ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","A-6E","6","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","KA-6D","4","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","E-2C Group 0","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","S-3A","10","Screwbirds ","1"
"Nimitz CVN-68 USS Nimitz 880902-A","SH-3H","6","Golden Falcons ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","F-14B","12","Nikel ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","F-14B","12","Rage ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","A-7E","12","Diamond ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","A-7E","12","Jason ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","A-6E","6","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","KA-6D","4","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","E-2C Group 0","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","S-3A","10","Screwbirds ","1"
"Nimitz CVN-68 USS Nimitz 890615-A","SH-3H","6","Golden Falcons ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","F-14B","12","Nikel ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","F-14B","12","Rage ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","F/A-18C","12","Diamond ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","F/A-18C","12","Jason ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","A-6E","6","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","KA-6D","4","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","E-2C Group 0","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","S-3A","10","Screwbirds ","1"
"Nimitz CVN-68 USS Nimitz 910225-A","SH-60F","6","Golden Falcons ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","F-14A","12","Nikel ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","F-14A","12","Rage ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","F/A-18C","12","Diamond ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","F/A-18C","12","Jason ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","A-6E","6","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","KA-6D","4","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","E-2C Group 0","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","S-3B","8","Screwbirds ","1"
"Nimitz CVN-68 USS Nimitz 930202-A","SH-60F","6","Golden Falcons ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","F-14A","12","Nikel ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","F-14A","12","Rage ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","F/A-18C","12","Diamond ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","F/A-18C","12","Jason ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","A-6E","6","Boomer ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","E-2C Group 2","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","S-3B","8","Screwbirds ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","SH-60F","6","Eight Ballers ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","C-2A","2","Password ","1"
"Nimitz CVN-68 USS Nimitz 951127-A","ES-3A","2","Sea Shadows ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","F-14A","12","Nikel ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","F-14A","12","Rage ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","F/A-18C","12","Diamond ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","F/A-18C","12","Jason ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","E-2C Group 2","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","S-3B","8","Screwbirds ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","SH-60F","6","Eight Ballers ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","C-2A","2","Password ","1"
"Nimitz CVN-68 USS Nimitz 960930-A","ES-3A","2","Sea Shadows ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","F-14A","12","Nikel ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","F/A-18C","12","Black Knight ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","F/A-18C","12","Diamond ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","F/A-18C","12","Jason ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","EA-6B","6","Yellow Jackets ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","E-2C Group 2","6","Golden Hawks ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","S-3B","8","Screwbirds ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","SH-60F","6","Eight Ballers ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","C-2A","2","Password ","1"
"Nimitz CVN-68 USS Nimitz 970901-A","ES-3A","2","Sea Shadows ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","F/A-18F","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","F/A-18E","12","Camelot ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","F/A-18A","12","Warhawk ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","F/A-18C","12","Hobo ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","EA-6B","6","Black Ravens ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","E-2C 2000 NP","4","Wallbangers ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","S-3B","8","Dragon Fires ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","SH-60F","6","Indians ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","C-2A","2","Password ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 030303-A","SH-60B","2","Sabrehawks ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","F/A-18F","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","F/A-18E","12","Camelot ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","F/A-18C","12","Devil ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","F/A-18C","12","Hobo ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","EA-6B","6","Black Ravens ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","E-2C 2000 NP","4","Wallbangers ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","SH-60F","6","Indians ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 050507-A","C-2A","2","Password ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","F/A-18F","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","F/A-18E","12","Camelot ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","F/A-18A","12","Devil ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","F/A-18C","12","Zapper ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","EA-6B","6","Black Ravens ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","E-2C 2000 NP","4","Wallbangers ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","SH-60F","6","Indians ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 070402-A","C-2A","2","Password ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","F/A-18F","12","Fast Eagle ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","F/A-18E","12","Camelot ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","F/A-18C","12","Warhawk ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","F/A-18C","12","Zapper ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","EA-6B","6","Black Ravens ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","E-2C 2000 NP","4","Wallbangers ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","SH-60F","6","Indians ","1"
"Nimitz CVN-68 USS Nimitz (RCOH) 090731-A","C-2A","2","Password ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","F-4J","12","Diamond ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","F-4J","12","Starfighter ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 771107-A","SH-3D","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","EA-6B","6","Jacket ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 790116-A","SH-3D","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","EA-6B","6","Scorpion ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","SH-3H","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 800415-A","EA-3B","6","Batman ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","EA-6B","6","Scorpion ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","SH-3H","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 810820-A","SH-3G","6","Sea Horse ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","EA-6B","6","Scorpion ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","SH-3H","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 820105-A","EA-3B","6","Batman ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","EA-6B","6","Scorpion ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 830427-A","SH-3H","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","EA-6B","6","Scorpion ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","SH-3H","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","CH-53E","4","Sea Dragons ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 840508-A","C-2A","2","Rawhide ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","A-7E","12","Waldo ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","A-7E","12","Clincher ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","A-6E","6","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","KA-6D","4","Tiger ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","EA-6B","6","Scorpion ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 850708-A","SH-3H","6","Dipper ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","F-14A","12","Dog ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","F-14A","12","Ghost Rider ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","A-7E","12","Tartan ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","A-7E","12","Decoy ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","A-6E","6","Blaster ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","KA-6D","4","Blaster ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","EA-6B","6","Patriot ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","E-2C","6","Bluetails ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","S-3A","10","Topcats ","1"
"Nimitz CVN-69 USS Dwight D Eisenhower 880229-A","SH-3H","6","Dipper ","1"
