DatabaseClass text,SetupName text,InitialYear numeric,FinalYear numeric,AirComplement text,MagazineLoadout text,LauncherLoadout text
"A-10A(78)","IB1   2004","2004","2012","","","A-10A IB1 2004-L"
"A-10A(78)","IB1E   1977","1978","1981","","","A-10A IB1E 1977-L"
"A-10A(78)","IB1E   1980","1980","1986","","","A-10A IB1E 1980-L"
"A-10A(78)","IB1E   1984","1984","2011","","","A-10A IB1E 1984-L"
"A-10A(78)","IB1E   2004","2004","2012","","","A-10A IB1E 2004-L"
"A-10A(78)","IB2   1977","1978","1981","","","A-10A IB2 1977-L"
"A-10A(78)","IB2   1980","1980","1986","","","A-10A IB2 1980-L"
"A-10A(78)","IB2   1984","1984","2011","","","A-10A IB2 1984-L"
"A-10A(78)","IB2   2004","2004","2012","","","A-10A IB2 2004-L"
"A-10A(78)","IB2E   1977","1978","1981","","","A-10A IB2E 1977-L"
"A-10A(78)","IB2E   1980","1980","1986","","","A-10A IB2E 1980-L"
"A-10A(78)","IB2E   1984","1984","2011","","","A-10A IB2E 1984-L"
"A-10A(78)","IB2E   2004","2004","2012","","","A-10A IB2E 2004-L"
"A-10A(78)","IB3   1977","1978","1981","","","A-10A IB3 1977-L"
"A-10A(78)","IB3   1980","1980","1986","","","A-10A IB3 1980-L"
"A-10A(78)","IB3   1984","1984","2011","","","A-10A IB3 1984-L"
"A-10A(78)","IB3   2004","2004","2012","","","A-10A IB3 2004-L"
"A-10A(78)","IB3E   1977","1978","1981","","","A-10A IB3E 1977-L"
"A-10A(78)","IB3E   1980","1980","1986","","","A-10A IB3E 1980-L"
"A-10A(78)","IB3E   1984","1984","2011","","","A-10A IB3E 1984-L"
"A-10A(78)","IB3E   2004","2004","2012","","","A-10A IB3E 2004-L"
"A-10A(78)","IB4   1977","1978","1981","","","A-10A IB4 1977-L"
"A-10A(78)","IB4   1980","1980","1986","","","A-10A IB4 1980-L"
"A-10A(78)","IB4   1984","1984","2011","","","A-10A IB4 1984-L"
"A-10A(78)","IB4   2004","2004","2012","","","A-10A IB4 2004-L"
"A-10A(78)","IB4E   1977","1978","1981","","","A-10A IB4E 1977-L"
"A-10A(78)","IB4E   1980","1980","1986","","","A-10A IB4E 1980-L"
"A-10A(78)","IB4E   1984","1984","2011","","","A-10A IB4E 1984-L"
"A-10A(78)","IB4E   2004","2004","2012","","","A-10A IB4E 2004-L"
"A-10A(78)","IB5   1977","1978","1981","","","A-10A IB5 1977-L"
"A-10A(78)","IB5   1980","1980","1986","","","A-10A IB5 1980-L"
"A-10A(78)","IB5   1984","1984","2011","","","A-10A IB5 1984-L"
"A-10A(78)","IB5   2004","2004","2012","","","A-10A IB5 2004-L"
"A-10A(78)","IB5E   1977","1978","1981","","","A-10A IB5E 1977-L"
"A-10A(78)","IB5E   1980","1980","1986","","","A-10A IB5E 1980-L"
"A-10A(78)","IB5E   1984","1984","2011","","","A-10A IB5E 1984-L"
"A-10A(78)","IB5E   2004","2004","2012","","","A-10A IB5E 2004-L"
"A-10A(78)","UR1   1977","1978","1981","","","A-10A UR1 1977-L"
"A-10A(78)","UR1   1980","1980","1986","","","A-10A UR1 1980-L"
"A-10A(78)","UR1   1984","1984","2011","","","A-10A UR1 1984-L"
"A-10A(78)","UR1   2004","2004","2012","","","A-10A UR1 2004-L"
"A-10A(78)","UR1E   1977","1978","1981","","","A-10A UR1E 1977-L"
"A-10A(78)","UR1E   1980","1980","1986","","","A-10A UR1E 1980-L"
"A-10A(78)","UR1E   1984","1984","2011","","","A-10A UR1E 1984-L"
"A-10A(78)","UR1E   2004","2004","2012","","","A-10A UR1E 2004-L"
"A-10A(78)","UR2   1977","1978","1981","","","A-10A UR2 1977-L"
"A-10A(78)","UR2   1980","1980","1986","","","A-10A UR2 1980-L"
"A-10A(78)","UR2   1984","1984","2011","","","A-10A UR2 1984-L"
"A-10A(78)","UR2   2004","2004","2012","","","A-10A UR2 2004-L"
"A-10A(78)","UR2E   1977","1978","1981","","","A-10A UR2E 1977-L"
"A-10A(78)","UR2E   1980","1980","1986","","","A-10A UR2E 1980-L"
"A-10A(78)","UR2E   1984","1984","2011","","","A-10A UR2E 1984-L"
"A-10A(78)","UR2E   2004","2004","2012","","","A-10A UR2E 2004-L"
"A-10C","CS1   1984","2005","2011","","","A-10A CS1 1984-L"
"A-10C","CS1   1986","2005","2011","","","A-10A CS1 1986-L"
"A-10C","CS1   2004","2005","2999","","","A-10A CS1 2004-L"
"A-10C","CS1E  1984","2005","2011","","","A-10A CS1E 1984-L"
"A-10C","CS1E  1986","2005","2011","","","A-10A CS1E 1986-L"
"A-10C","CS1E  2004","2005","2999","","","A-10A CS1E 2004-L"
"A-10C","CS2   1984","2005","2011","","","A-10A CS2 1984-L"
"A-10C","CS2   1986","2005","2011","","","A-10A CS2 1986-L"
"A-10C","CS2   2004","2005","2999","","","A-10A CS2 2004-L"
"A-10C","CS2E  1984","2005","2011","","","A-10A CS2E 1984-L"
"A-10C","CS2E  1986","2005","2011","","","A-10A CS2E 1986-L"
"A-10C","CS2E  2004","2005","2999","","","A-10A CS2E 2004-L"
"A-10C","CS3   1984","2005","2011","","","A-10A CS3 1984-L"
"A-10C","CS3   1986","2005","2011","","","A-10A CS3 1986-L"
"A-10C","CS3   2004","2005","2999","","","A-10A CS3 2004-L"
"A-10C","CS3E  1984","2005","2011","","","A-10A CS3E 1984-L"
"A-10C","CS3E  1986","2005","2011","","","A-10A CS3E 1986-L"
"A-10C","CS3E  2004","2005","2999","","","A-10A CS3E 2004-L"
"A-10C","CS4   2001","2005","2011","","","A-10A CS4 2001-L"
"A-10C","CS4   2004","2005","2999","","","A-10A CS4 2004-L"
"A-10C","CS4E  2001","2005","2011","","","A-10A CS4E 2001-L"
"A-10C","CS4E  2004","2005","2999","","","A-10A CS4E 2004-L"
"A-10C","GB1   2001","2005","2011","","","A-10A GB1 2001-L"
"A-10C","GB1   2004","2005","2999","","","A-10A GB1 2004-L"
"A-10C","GB1E  2001","2005","2011","","","A-10A GB1E 2001-L"
"A-10C","GB1E  2004","2005","2999","","","A-10A GB1E 2004-L"
"A-10C","GB2   2002","2005","2011","","","A-10A GB2 2002-L"
"A-10C","GB2   2004","2005","2999","","","A-10A GB2 2004-L"
"A-10C","GB2E  2002","2005","2011","","","A-10A GB2E 2002-L"
"A-10C","GB2E  2004","2005","2999","","","A-10A GB2E 2004-L"
"A-10C","GB3   2002","2005","2011","","","A-10A GB3 2002-L"
"A-10C","GB3   2004","2005","2999","","","A-10A GB3 2004-L"
"A-10C","GB3E  2002","2005","2011","","","A-10A GB3E 2002-L"
"A-10C","GB3E  2004","2005","2999","","","A-10A GB3E 2004-L"
"A-10C","GB4   1984","2005","2011","","","A-10A GB4 1984-L"
"A-10C","GB4   2004","2005","2999","","","A-10A GB4 2004-L"
"A-10C","GB4E  1984","2005","2011","","","A-10A GB4E 1984-L"
"A-10C","GB4E  2004","2005","2999","","","A-10A GB4E 2004-L"
"A-10C","GB5   1984","2005","2011","","","A-10A GB5 1984-L"
"A-10C","GB5   2004","2005","2999","","","A-10A GB5 2004-L"
"A-10C","GB5E  1984","2005","2011","","","A-10A GB5E 1984-L"
"A-10C","GB5E  2004","2005","2999","","","A-10A GB5E 2004-L"
"A-10C","GB6   1984","2005","2011","","","A-10A GB6 1984-L"
"A-10C","GB6   2004","2005","2999","","","A-10A GB6 2004-L"
"A-10C","GB6E  1984","2005","2011","","","A-10A GB6E 1984-L"
"A-10C","GB6E  2004","2005","2999","","","A-10A GB6E 2004-L"
"A-10C","GB7   1984","2005","2011","","","A-10A GB7 1984-L"
"A-10C","GB7   2004","2005","2999","","","A-10A GB7 2004-L"
"A-10C","GB7E  1984","2005","2011","","","A-10A GB7E 1984-L"
"A-10C","GB7E  2004","2005","2999","","","A-10A GB7E 2004-L"
"A-10C","GB8   1984","2005","2011","","","A-10A GB8 1984-L"
"A-10C","GB8   2004","2005","2999","","","A-10A GB8 2004-L"
"A-10C","GB9   1984","2005","2011","","","A-10A GB9 1984-L"
"A-10C","GB9   2004","2005","2999","","","A-10A GB9 2004-L"
"A-10C","GB9E  1984","2005","2011","","","A-10A GB9E 1984-L"
"A-10C","GB9E  2004","2005","2999","","","A-10A GB9E 2004-L"
"A-10C","GM1   1984","2005","2011","","","A-10A GM1 1984-L"
"A-10C","GM1   1986","2005","2011","","","A-10A GM1 1986-L"
"A-10C","GM1   2004","2005","2999","","","A-10A GM1 2004-L"
"A-10C","GM1E  1984","2005","1986","","","A-10A GM1E 1984-L"
"A-10C","GM1E  1986","2005","2011","","","A-10A GM1E 1986-L"
"A-10C","GM1E  2004","2005","2999","","","A-10A GM1E 2004-L"
"A-10C","IB1   1984","2005","2011","","","A-10A IB1 1984-L"
"A-10C","IB1   2004","2005","2999","","","A-10A IB1 2004-L"
"A-10C","IB1E  1984","2005","2011","","","A-10A IB1E 1984-L"
"A-10C","IB1E  2004","2005","2999","","","A-10A IB1E 2004-L"
"A-10C","IB2   1984","2005","2011","","","A-10A IB2 1984-L"
"A-10C","IB2   2004","2005","2999","","","A-10A IB2 2004-L"
"A-10C","IB2E  1984","2005","2011","","","A-10A IB2E 1984-L"
"A-10C","IB2E  2004","2005","2999","","","A-10A IB2E 2004-L"
"A-10C","IB3   1984","2005","2011","","","A-10A IB3 1984-L"
"A-10C","IB3   2004","2005","2999","","","A-10A IB3 2004-L"
"A-10C","IB3E  1984","2005","2011","","","A-10A IB3E 1984-L"
"A-10C","IB3E  2004","2005","2999","","","A-10A IB3E 2004-L"
"A-10C","IB4   1984","2005","2011","","","A-10A IB4 1984-L"
"A-10C","IB4   2004","2005","2999","","","A-10A IB4 2004-L"
"A-10C","IB4E  1984","2005","2011","","","A-10A IB4E 1984-L"
"A-10C","IB4E  2004","2005","2999","","","A-10A IB4E 2004-L"
"A-10C","IB5   1984","2005","2011","","","A-10A IB5 1984-L"
"A-10C","IB5   2004","2005","2999","","","A-10A IB5 2004-L"
"A-10C","IB5E  1984","2005","2011","","","A-10A IB5E 1984-L"
"A-10C","IB5E  2004","2005","2999","","","A-10A IB5E 2004-L"
"A-10C","UR1   1984","2005","2011","","","A-10A UR1 1984-L"
"A-10C","UR1   2004","2005","2999","","","A-10A UR1 2004-L"
"A-10C","UR1E  1984","2005","2011","","","A-10A UR1E 1984-L"
"A-10C","UR1E  2004","2005","2999","","","A-10A UR1E 2004-L"
"A-10C","UR2   1984","2005","2011","","","A-10A UR2 1984-L"
"A-10C","UR2   2004","2005","2999","","","A-10A UR2 2004-L"
"A-10C","UR2E  1984","2005","2011","","","A-10A UR2E 1984-L"
"A-10C","UR2E  2004","2005","2999","","","A-10A UR2E 2004-L"
"A-1D","CS1   1949","1962","1963","","","Spad3 CS1   1949-L"
"A-1D","CS1   1949","1962","1963","","","Spad3 CS10  1949-L"
"A-1D","CS10E 1949","1962","1963","","","Spad3 CS10E 1949-L"
"A-1D","CS1E  1949","1962","1963","","","Spad3 CS1E  1949-L"
"A-1D","CS2   1949","1962","1963","","","Spad3 CS2   1949-L"
"A-1D","CS2E  1949","1962","1963","","","Spad3 CS2E  1949-L"
"A-1D","CS3   1949","1962","1963","","","Spad3 CS3   1949-L"
"A-1D","CS3E  1949","1962","1963","","","Spad3 CS3E  1949-L"
"A-1D","CS4   1949","1962","1963","","","Spad3 CS4   1949-L"
"A-1D","CS4E  1949","1962","1963","","","Spad3 CS4E  1949-L"
"A-1D","CS5   1949","1962","1963","","","Spad3 CS5   1949-L"
"A-1D","CS5E  1949","1962","1963","","","Spad3 CS5E  1949-L"
"A-1D","CS6   1949","1962","1963","","","Spad3 CS6   1949-L"
"A-1D","CS6E  1949","1962","1963","","","Spad3 CS6E  1949-L"
"A-1D","CS7   1949","1962","1963","","","Spad3 CS7   1949-L"
"A-1D","CS7E  1949","1962","1963","","","Spad3 CS7E  1949-L"
"A-1D","CS8   1949","1962","1963","","","Spad3 CS8   1949-L"
"A-1D","CS8E  1949","1962","1963","","","Spad3 CS8E  1949-L"
"A-1D","CS9   1949","1962","1963","","","Spad3 CS9   1949-L"
"A-1D","CS9E  1949","1962","1963","","","Spad3 CS9E  1949-L"
"A-1D","IB1   1949","1962","1963","","","Spad3 IB1   1949-L"
"A-1D","IB1E  1949","1962","1963","","","Spad3 IB1E  1949-L"
"A-1D","IB2   1949","1962","1963","","","Spad3 IB2   1949-L"
"A-1D","IB2E  1949","1962","1963","","","Spad3 IB2E  1949-L"
"A-1D","IB3   1949","1962","1963","","","Spad3 IB3   1949-L"
"A-1D","IB3E  1949","1962","1963","","","Spad3 IB3E  1949-L"
"A-1D","IB4   1949","1962","1963","","","Spad3 IB4   1949-L"
"A-1D","IB4E  1949","1962","1963","","","Spad3 IB4E  1949-L"
"A-1D","IB5   1949","1962","1963","","","Spad3 IB5   1949-L"
"A-1D","IB5E  1949","1962","1963","","","Spad3 IB5E  1949-L"
"A-1D","IB6   1949","1962","1963","","","Spad3 IB6   1949-L"
"A-1D","IB6E  1949","1962","1963","","","Spad3 IB6E  1949-L"
"A-1D","UR1   1949","1962","1963","","","Spad3 UR1   1949-L"
"A-1D","UR1E  1949","1962","1963","","","Spad3 UR1E  1949-L"
"A-1D","UR2   1949","1962","1963","","","Spad3 UR2   1949-L"
"A-1D","UR2E  1949","1962","1963","","","Spad3 UR2E  1949-L"
"A-1D","UR3   1949","1962","1963","","","Spad3 UR3   1949-L"
"A-1D","UR3E  1949","1962","1963","","","Spad3 UR3E  1949-L"
"A-1D","UR4   1949","1962","1963","","","Spad3 UR4   1949-L"
"A-1D","UR4E  1949","1962","1963","","","Spad3 UR4E  1949-L"
"A-1E","CS1   1949","1962","1971","","","Spad4 CS1   1949-L"
"A-1E","CS10  1949","1962","1971","","","Spad4 CS10  1949-L"
"A-1E","CS10E 1949","1962","1971","","","Spad4 CS10E 1949-L"
"A-1E","CS1E  1949","1962","1971","","","Spad4 CS1E  1949-L"
"A-1E","CS2   1949","1962","1971","","","Spad4 CS2   1949-L"
"A-1E","CS2E  1949","1962","1971","","","Spad4 CS2E  1949-L"
"A-1E","CS3   1949","1962","1971","","","Spad4 CS3   1949-L"
"A-1E","CS3E  1949","1962","1971","","","Spad4 CS3E  1949-L"
"A-1E","CS4   1949","1962","1971","","","Spad4 CS4   1949-L"
"A-1E","CS4E  1949","1962","1971","","","Spad4 CS4E  1949-L"
"A-1E","CS5   1949","1962","1971","","","Spad4 CS5   1949-L"
"A-1E","CS5E  1949","1962","1971","","","Spad4 CS5E  1949-L"
"A-1E","CS6   1949","1962","1971","","","Spad4 CS6   1949-L"
"A-1E","CS6E  1949","1962","1971","","","Spad4 CS6E  1949-L"
"A-1E","CS7   1949","1962","1971","","","Spad4 CS7   1949-L"
"A-1E","CS7E  1949","1962","1971","","","Spad4 CS7E  1949-L"
"A-1E","CS8   1949","1962","1971","","","Spad4 CS8   1949-L"
"A-1E","CS8E  1949","1962","1971","","","Spad4 CS8E  1949-L"
"A-1E","CS9   1949","1962","1971","","","Spad4 CS9   1949-L"
"A-1E","CS9E  1949","1962","1971","","","Spad4 CS9E  1949-L"
"A-1E","IB1   1949","1962","1971","","","Spad4 IB1   1949-L"
"A-1E","IB1E  1949","1962","1971","","","Spad4 IB1E  1949-L"
"A-1E","IB2   1949","1962","1971","","","Spad4 IB2   1949-L"
"A-1E","IB2E  1949","1962","1971","","","Spad4 IB2E  1949-L"
"A-1E","IB3   1949","1962","1971","","","Spad4 IB3   1949-L"
"A-1E","IB3E  1949","1962","1971","","","Spad4 IB3E  1949-L"
"A-1E","IB4   1949","1962","1971","","","Spad4 IB4   1949-L"
"A-1E","IB4E  1949","1962","1971","","","Spad4 IB4E  1949-L"
"A-1E","IB5   1949","1962","1971","","","Spad4 IB5   1949-L"
"A-1E","IB5E  1949","1962","1971","","","Spad4 IB5E  1949-L"
"A-1E","IB6   1949","1962","1971","","","Spad4 IB6   1949-L"
"A-1E","IB6E  1949","1962","1971","","","Spad4 IB6E  1949-L"
"A-1E","UR1   1949","1962","1971","","","Spad4 UR1   1949-L"
"A-1E","UR1E  1949","1962","1971","","","Spad4 UR1E  1949-L"
"A-1E","UR2   1949","1962","1971","","","Spad4 UR2   1949-L"
"A-1E","UR2E  1949","1962","1971","","","Spad4 UR2E  1949-L"
"A-1E","UR3   1949","1962","1971","","","Spad4 UR3   1949-L"
"A-1E","UR3E  1949","1962","1971","","","Spad4 UR3E  1949-L"
"A-1E","UR4   1949","1962","1971","","","Spad4 UR4   1949-L"
"A-1E","UR4E  1949","1962","1971","","","Spad4 UR4E  1949-L"
"A-1G","CS1   1949","1962","1971","","","Spad4 CS1   1949-L"
"A-1G","CS10  1949","1962","1971","","","Spad4 CS10  1949-L"
