DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName nexttumeric,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,ERPpeak_dBW numeric,ERPaverage_dBW numeric,MaxFireControlTracks numeric,IsSemiactive numeric,BlindSpeed_mps numeric,LookdownWater_dB numeric,LookdownLand_dB numeric,Bandwidth_Hz numeric,AzimuthBeamwidth_deg numeric,ElevationBeamwidth_deg numeric,EffectiveSidelobes_dB numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric
"76N6","Clam Shell","0","0","0","0","0","1900","2999","","","null","null","null","76N6 Clam Shell; AS; Max=120km; Ref=45km","needs updating with accurate details.  Current info 'generated' mathematically. Max range accurate","120","40.64","360","-5","49.89","6.37","GenericSensor","0","0.09","0.11","9000000000","9500000000","99","1","1","80","70","0","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"92N2","Big Bird","0","0","0","0","0","1900","2999","","","null","null","null","92N2 Grave Stone; AS; Max=650km; Ref=240.01km","Data needs updating.  Ref range is acurate.","420","240.01","360","-5","83","4.35","GenericSensor","0","0.12","0.01","3000000000","3500000000","99","1","1","80","70","8","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"96L6","","0","0","0","0","0","1900","2999","","","null","null","null","96L6; AS; Max=300km; Ref=110.918km","needs updating with accurate details.  Current info 'generated' mathematically.  Elevation limits,max range, and scan rate are accurate.","300","110.92","360","-5","60","6","GenericSensor","0","0.09","0.11","3000000000","3500000000","99","1","1","80","70","0","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"9B-1348","","0","0","","","","1900","2999","","","null","null","null","","Marcos","20","15","90","-45","45","3","GenericSensor","0","0","90","3000000000","3500000000","99","1.2","0","55","45","0","0","60","0","0","3000000","5","5","-30","0","1","0","0"
"9LV 453 TIR","","0","0","1","0","0","1900","2999","","","null","null","null","Fire-control radar installed aboard Australian ANZAC Class FFH","","75","40","360","-35","90","1","GenericSensor","0","0","0","5000000000","6000000000","99","1","0","66","56","1","0","2.5","0","0","3000000","5","5","-30","1","1","1","0"
"9M33 SARH Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Semi-Active seeker for 9M33","","25","20","90","-45","45","2","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","1","0"
"9M82 SARH Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","9M82 SARH Seeker","","31","33.67","90","-45","45","2","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","1","0"
"9M8M SARH Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","9M8M SARH Seeker","","55","48.75","120","-60","60","2","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","1","0"
"9M96 Active Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","9M96 Active Seeker","","60","80.02","90","-45","45","2","GenericSensor","0.26","5.06","3.37","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"9S15","Bill Board","0","0","0","0","0","1900","2999","","","null","null","null","9S15 Bill Board; AS; Max=250km; Ref=72.65km","needs updating with accurate details.  Current info 'generated' mathematically. Max range, elevation limits, scan rate, range error, angle error are accurate","250","72.65","360","0","55","6","GenericSensor","0","0.58","0.11","3000000000","3500000000","99","1","1","80","70","0","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"9S18","Tube Arm","0","0","0","0","0","1900","2999","","","null","null","null","9S18 Tube Arm; AS; Max=115km; Ref=54.365km","needs updating with accurate details.  Current info 'generated' mathematically. Max range is accurate","115","54.37","360","-5","60","6.83","GenericSensor","0","0.09","0.11","3000000000","3500000000","99","1","1","80","70","6","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"9S32","Grill Pan","0","0","0","0","0","1900","2999","","","null","null","null","9S32 Grill Pan; AS; Max=175km; Ref=117.72km","needs updating with accurate details.  Current info 'generated' mathematically. Max range, elevation limits, range error, angle error are accurate","250","72.65","360","0","55","2.81","GenericSensor","8.57e-05","0.13","0.11","3000000000","3500000000","99","1","1","80","70","6","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"9S36","Fire Dome","0","0","0","0","0","1900","2999","","","null","null","null","9S36 Fire Dome; AS; Max=100km; Ref=97.92km","needs updating with accurate details.  Current info 'generated' mathematically.  Range, elevations are accurate.","100","97.92","360","-5","50","2.12","GenericSensor","0","0.5","0.01","3000000000","3500000000","99","1","1","80","70","4","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"AA-12 Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","40","32","90","-45","45","3.75","GenericSensor","0.27","5.36","3.58","3000000000","3500000000","99","1","0","55","45","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"AAM Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","60","39.4","90","-45","45","3.75","GenericSensor","0.22","3.79","2.53","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"AEW radar 0","","0","0","1","0","0","1900","2999","","","null","null","null","Maritime search radar","Derated version of AEW radar","170","45","360","-35","70","10","GenericSensor","0","0.32","0.22","3000000000","3500000000","99","1.5","1","80","70","0","0","3","0","0","3000000","5","5","-30","1","1","1","0"
"AEW radar 2","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","Radar aligned for detection of a 5000m²(37 RCS dBsm) target at maximum range.","550","65.4","270","-35","70","12","GenericSensor","0","0.32","0.22","3000000000","3500000000","99","1","1","80","70","0","0","2.5","0","0","3000000","5","5","-30","1","1","1","0"
"AEW radar","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","200","55.39","360","-35","70","8.63","GenericSensor","0","0.32","0.22","3000000000","3500000000","99","1","1","80","70","0","0","2.5","0","0","3000000","5","5","-30","1","1","1","0"
"Aft airborne search-1","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","150","36","90","-15","30","2.63","GenericSensor","0","0.53","0.35","3000000000","3500000000","99","1","1","50","40","0","0","2.5","0","0","3000000","5","5","-30","1","1","1","1"
"Agave","","0","0","0","0","0","1900","2999","","","null","null","null","Multimode radar optimized for maritime strike","90 km detection range on 12 dBsm target","250","45","100","-60","20","12","GenericSensor","0.01","0.17","0.21","3000000000","3500000000","99","1.5","1","54.75","44.75","2","0","2.5","0","-12","3000000","5","3.3","-30","1","1","1","1"
"AIM-120 Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Active seeker for AIM-120","boosted this seeker ref range from 12 to 18km.  One the lowest RCS air targets is the SU-33 at 4.03 RCS_dBsm.  Assuming half this as a requirement for seeker heads.  at 2dBsm, the seeker requires a ref Range of at least 17.825km in order to detect the target.  If your fire control can lock up the target, there's no reason your weapons cannot also follow through.","40","32.09","90","-45","45","3.75","GenericSensor","0.3","6.19","4.13","3000000000.0","3500000000.0","99","1","0","50","40","0","0","0","0","0","3000000.0","5","5","-30","0","1","1","0"
"AIM-4 SARH seeker","","0","0","1","0","0","1900","2999","","","null","null","null","AIM-4 SARH seeker","","20","6","40","-20","20","3","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","0","0"
"AIM-54C Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Semi-Active seeker for AIM-54","","55","35.57","90","-45","45","3.75","GenericSensor","0.26","5.06","3.37","3001000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"AIM-7E seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Semi-Active seeker for AIM-7E","","75","20.1","80","-40","40","3.75","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","0","0"
"AIM-7M Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Semi-Active seeker for AIM-7M","","150","33.5","90","-45","45","3.75","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","0","0"
"AIM-9C SARH seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Semi-Active seeker for AIM-9D","","20","11.25","20","-20","20","3.75","GenericSensor","0.32","6.79","4.52","3000000000","3500000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","0","0"
"Air search radar","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","","190","41.54","360","-35","70","8.63","GenericSensor","0","0.37","0.25","3000000000","3500000000","99","1","1","80","70","0","0","2.5","-3","-12","3000000","5","5","-30","0","1","1","0"
"Airpass 23","","0","0","0","0","0","1900","2999","","","null","null","null","Airpass 23_AS_Max=35km_Ref=8.94km","","35","8.94","90","-45","45","2","GenericSensor","0.06","0.26","0.32","3000000000","3500000000","99","1","1","80","70","1","0","2.5","-3","-12","3000000","5","2.5","-30","0","1","1","0"
"Airpass 24","","0","0","0","0","0","1900","2999","","","null","null","null","Airpass 24_AS_Max=185km_Ref=140.5696km","adjusted from AWG-9.  max range quoted as 100nm, which is roughly 185km, quoted as the appxoimate equal to contemporary intercept radars, which would include the AWG-9.  AWG-9 detects 5m^2 target at 213km, set AI-24 to detect a 3m^2 target at 185km, roughly equivalent performance.","185","140.57","120","-60","60","3","GenericSensor","0.06","0.26","0.32","3000000000","3500000000","99","1","1","80","70","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"AM-39 Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","n/a","","75","13.85","60","-45","45","2.5","GenericSensor","0.25","4.8","3.2","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Anemone","","0","0","1","0","0","1900","2999","","","null","null","null","No description is available.","search radar and firecontrol of the upgraded super entendards.  some references cite approximately doubled performance over Agave, will work with this.  using the original 12km ref range of Agave, to double its effective detection range of same size targets the ref must then be 24km, simple.  Maximum range is also increased to 150nm.","278","24","140","-40","20","8.63","GenericSensor","0","0.32","0.22","8900000000","9400000000","99","1.5","1","54.75","44.75","2","0","2.5","-3","-6","3000000","5","5","-30","1","1","1","1"
"APAR","","0","0","0","0","0","1900","2999","","","null","null","null","APAR; AS/SS; Max=150km; Ref=56.409km","capable of detecting a 'large' target in free space to a range of 150km, will assume this to be 50m², instrumented range is 150km. frequency is centered on 10Ghz, with 20-50% bandwidth, assuming 25%.  Elevation, max range, and frequency are accurate all else is estimated.  Produces 'pencil beams', will assume quite small angular capabilities.","150","56.409","360","-25","70","2","GenericSensor","0.00045","0.1432","0.1432","8750000000","11250000000","99","1","1","55","45","24","0","2.5","-3","-12","2500000000","1.4","1.4","-30","1","1","1","1"
"APD-7","","0","0","1","0","0","1900","2999","","","","","","SLAR(Side Looking Airborne Radar) system for the RA-5C Vigilante.","since absolutely nothing seems to be known about this radar, im gonna improvise somewhat, all of the values found here are off the top of my head.","120","25","50","-50","-10","16","GenericSensor","0","0.39","0.26","3000000000","3500000000","99","1","1","40","30","0","0","10","-3","-12","3000000","5","5","-30","1","0","0","1"
"APG-59","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-72_AS_Max=71km_Ref=22.2115km","","106","38.3","100","-50","50","4","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","0","1","1","0"
"APG-65","","0","0","0","0","0","1900","2999","","","null","null","null","APG-65; AS/SS; Max=296km; Ref=60km","","296","60","140","-60","60","13","GenericSensor","0.01","0.17","0.21","9500000000","10000000000","99","1","1","54.75","44.75","4","0","2.5","-3","-12","3000000","5","3.3","-30","1","1","1","1"
"APG-65(h)","","0","0","0","0","0","1900","2999","","","null","null","null","APG-65(h); AS/SS; Max=251.6km; Ref=51km","The modified APG-65 for the Harrier is essentially the APG-65 taken from F/A-18 Hornets when they received their upgrade, except with a smaller aperture.  Performance has been quoted in various places as between 10% and 20% weaker than in the F/A-18, as such, using a 15% performance reduction.","251.6","51","140","-60","60","13","GenericSensor","0.01","0.17","0.21","9500000000","10000000000","99","1","1","54.75","44.75","4","0","2.5","-3","-12","3000000","5","3.3","-30","1","1","1","1"
"APG-66 AIR","","0","0","","","","1900","2999","","","null","null","null","","Marcos","140","40","120","-60","60","6","GenericSensor","0","0","0","9500000000","10500000000","99","2","1","55","41","1","0","55","0","0","3000000","5","3.5","-30","0","1","0","0"
"APG-66 GM","","0","0","","","","1900","2999","","","null","null","null","","Marcos","140","10","120","-60","60","6","GenericSensor","0","0","90","9500000000","10500000000","99","2","1","45","35","0","0","0","0","0","3000000","5","3.5","-30","1","0","0","1"
"APG-66","","0","0","0","0","0","1900","2999","","","null","null","null","APG-66_AS/SS_Max=148km_Ref=41.65km","we should not have separate air and ground mode radars with GCB's current capabilitites.  Ideally a single entry can be switched from mode to mode,  or capable of both simultaneously.  The current capabilitites of GCB permit different range capabilitites for air to air, air to land, air to sea, with appropriate range losses when looking down at aircraft as well.","148","41.65","120","-60","60","4","GenericSensor","0.02","0.13","0.16","6200000000","10900000000","99","1","1","52.57","42.57","6","0","2.5","-4.5","-18","3000000","5","2.5","-30","1","1","1","1"
"APG-66(v)2","","0","0","0","0","0","1900","2999","","","null","null","null","APG-66_AS/SS_Max=148km_Ref=48.784km","","148","48.784","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-66(v)3","","0","0","0","0","0","1900","2999","","","null","null","null","APG-66_AS/SS_Max=148km_Ref=48.784km","","148","48.784","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-68","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=55.918km","","296","55.918","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-68(v)2","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=55.918km","","296","55.918","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-68(v)3","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=55.918km","","296","55.918","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-68(v)5","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=61.51km","","296","61.51","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-68(v)7","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=61.51km","","296","61.51","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-68(v)8","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=61.51km","","296","61.51","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-68(v)9","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=81.81km","","296","81.81","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-70","","0","0","0","0","0","1900","2999","","","null","null","null","","Copied APG-71 and made it slightly worse","213","130","120","-60","60","10","GenericSensor","0.01","0.12","0.19","9000000000","10000000000","99","1","1","69.31","59.31","6","0","2.5","-3","-12","3000000","5","3.05","-30","1","1","1","1"
"APG-71","","0","0","0","0","0","1900","2999","","","null","null","null","APG-71; AS/SS; Max=213km; Ref=142.41km","","213","142.41","130","-60","60","13","GenericSensor","0.01","0.12","0.19","9500000000","10500000000","99","1","1","69.31","59.31","6","0","2.5","-3","-12","3000000","5","3.05","-30","1","1","1","1"
"APG-73","","0","0","0","0","0","1900","2999","","","null","null","null","APG-73; AS/SS; Max=296km; Ref=60km","","296","60","140","-60","60","13","GenericSensor","0.01","0.17","0.21","9500000000","10500000000","99","1","1","54.75","44.75","4","0","2.5","-3","-12","3000000","5","3.3","-30","1","1","1","1"
"APG-77","","0","0","0","0","0","1900","2999","","","null","null","null","APG-77_AS/SS_Max=193km_Ref=193.005km","","193","193.01","153.5","-56.17","36.83","7.76","GenericSensor","0.04","0.1","0.65","9500000000","10500000000","99","1","1","77.05","67.05","6","0","2.5","-3","-12","3000000","5","10.39","-30","1","1","1","1"
"APG-79","","0","0","1","0","0","1900","2999","","","null","null","null","Air/surface-search and fire-control radar installed aboard F/A-18E/F Super Hornet.","capable of a 1m² target track at 128km.  this pushed the APG-73 downwards as this radar is capable of more than twice the tracking range.  Assumed half errors against APG-73.","400","128","120","-60","60","3","GenericSensor","0.005","0.08","0.115","3000000000","3500000000","99","1","1","70","60","12","0","1","0","0","3000000","5","5","-30","1","1","1","1"
"APG-80","","0","0","0","0","0","1900","2999","","","null","null","null","APG-68_AS/SS_Max=296km_Ref=163.61km","","296","163.61","120","-60","60","4","GenericSensor","0.02","0.13","0.16","8000000000","10000000000","99","1","1","52.57","42.57","6","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APG-81","","0","0","1","0","0","1900","2999","","","null","null","null","Air/surface- search radar installed aboard the F-35 Lightning II","","507","160","150","-60","60","5","GenericSensor","0","0","0","3000000000","3500000000","99","1","1","70","60","6","0","2.5","-5","-7","3000000","5","10","-30","1","1","1","1"
"APQ-100","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-100_AS/SS_Max=88km_Ref=27.53km","","88","27.53","100","-50","50","4","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APQ-102","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-102_SS_Max=176km_Ref=41.166km","","176","41.17","20","-30","0","10","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","0","0","1"
"APQ-104","","0","0","0","0","0","1900","2999","","","null","null","null","Airborne radar used on French F-8E(FN) Crusader","Range of 10 nmi vs fighter? Made this up","80","12","90","-30","30","10","GenericSensor","0.02","0.2","0.3","9500000000","10000000000","99","1","1","50","25","1","0","5","-3","-12","3000000","5","2.5","-30","1","0","0","1"
"APQ-109","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-109_AS/SS_Max=107km_Ref=33.47km","","107","33.47","100","-50","50","4","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APQ-120","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-120_AS/SS_Max=128km_Ref=40.04km","","128","40.04","100","-50","50","4","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APQ-156","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-156; SS; Max=277.8km; Ref=29.108km","","277.8","29.11","153.5","-56.17","36.83","7.76","GenericSensor","0.03","0.07","2.19","3000000000","3500000000","99","1","1","46.3","36.3","4","0","2.5","-3","-12","3000000","5","35","-30","1","0","0","1"
"APQ-164","","0","0","1","0","0","1900","2999","","","null","null","null","B-1B phased array radar","","150","25","120","-60","60","10","GenericSensor","0","0.2","0.5","9500000000","10000000000","99","1","1","55","45","2","0","2.5","-3","-12","3000000","5","5","-30","1","1","1","1"
"APQ-166","","0","0","1","0","0","1900","2999","","","null","null","null","B-52 strategic radar","","100","20","90","-60","60","12","GenericSensor","0","0.2","0.5","3000000000","3500000000","99","2","1","55","45","0","0","0","0","0","3000000","5","5","-30","0","0","0","1"
"APQ-181","","0","0","1","0","0","1900","2999","","","null","null","null","B-2 Ku-band LPI radar","","150","25","120","-60","60","10","GenericSensor","0","0.2","0.5","15700000000","17000000000","99","1","1","50","40","2","0","2.5","-3","-12","3000000","5","5","-30","1","1","1","1"
"APQ-72","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-72_AS_Max=71km_Ref=22.2115km","","71","22.21","100","-50","50","4","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","0","1","1","0"
"APQ-99","","0","0","0","0","0","1900","2999","","","null","null","null","APQ-99_AS/SS_Max=79km_Ref=24.776km","","79","24.78","100","-50","50","4","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","1","1","1"
"APS-116","","0","0","0","0","0","1900","2999","","","null","null","null","APS-116_SS_Max=277.8km_Ref=37.038km","","277.8","37.04","240","-75","5","10","GenericSensor","0","0.12","0.25","9000000000","10000000000","99","1","1","60","40","6","0","2.5","-3","-12","300000000","5","4","-30","1","0","0","1"
