"DatabaseClass text primary key","NATO_ASCC text","ModelClassId numeric","ClassificationId numeric","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","Damage numeric","DamageModel text","LaunchSpeed_mps numeric","targetFlags numeric","MinLaunchAlt_m numeric","MaxLaunchAlt_m numeric","MinRange_km numeric","MaxRange_km numeric","ProbNoFaults numeric","PayloadClass text","PayloadQuantity numeric","DatalinkRange_km real","AcceptsUserCommands numeric","DetonationRange_m numeric","RCS_dBsm numeric","RCS_Model text","OpticalCrossSection_dBsm numeric","IRSignature_dB numeric","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","DragArea_sm numeric","Gmax numeric","MaxTurnRate_degps numeric","Cdpsub numeric","Cdptran numeric","Cdpsup numeric","Mcm numeric","Msupm numeric","BoostThrust_N numeric","BoostTime_s numeric","SustThrust_N numeric","SustTime_s numeric","ShutdownSpeed_mps numeric","SensorClass text","NeedsFireControl numeric","AcceptsWaypoints numeric","Rng1_km numeric","Alt1_m numeric","AltMode1 numeric","GuidMode1 numeric","Rng2_km numeric","Alt2_m numeric","AltMode2 numeric","GuidMode2 numeric","Rng3_km numeric","Alt3_m numeric","AltMode3 numeric","GuidMode3 numeric","Rng4_km numeric","Alt4_m numeric","AltMode4 numeric","GuidMode4 numeric","Rng5_km numeric","Alt5_m numeric","AltMode5 numeric","GuidMode5 numeric","Rng6_km numeric","Alt6_m numeric","AltMode6 numeric","GuidMode6 numeric","Rng7_km numeric","Alt7_m numeric","AltMode7 numeric","GuidMode7 numeric","Rng8_km numeric","Alt8_m numeric","AltMode8 numeric","GuidMode8 numeric","DamageEffect text"
"3M9M1","","5","64","0","630","1","1973","2999","","","","mis/ico3M9M1.jpg","aim-9.xml","Temporary weapon standin  550kt target engaged at 23km","","12","BlastFragAir55kg","0","10","0","34567","2","14","0.85","","","0","0","13.06328698","-5.5","MissileRCS1","-2.19","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.9","0","1","25","45.53","0.02232","0.0279","0.0186","0.8","1.2","84366","4.1","15107","15","500","3M9M SARH seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"3M9M3","","5","64","0","630","1","1976","2999","","","","mis/ico3M9M3.jpg","aim-9.xml","Temporary weapon standin  550kt target engaged at 25km","","12","BlastFragAir55kg","0","10","0","34567","2","15.4","0.85","","","0","0","13.06328698","-5.5","MissileRCS1","-2.19","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2","0","1","25","45.53","0.02232","0.0279","0.0186","0.8","1.2","84366","4.1","15107","15.3","500","3M9M SARH seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"3M9M4","","5","64","0","630","1","1978","2999","","","","mis/ico3M9M4.jpg","aim-9.xml","Temporary weapon standin  550kt target engaged at 23km","","12","BlastFragAir55kg","0","10","0","34567","2","14.25","0.85","","","0","0","13.06328698","-5.5","MissileRCS1","-2.19","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M2.1","0","1","25","45.53","0.02232","0.0279","0.0186","0.8","1.2","84366","5.2","15107","8.95","500","3M9M SARH seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"40N6","","5","64","0","1840","1","2012","2999","","","","mis/ico40N6.jpg","roland-sam.xml","S-400 SA-21 missile  550kt target engaged at 400km","","12","BlastFragAir200kg","0","10","0","34567","5","290","0.85","","","0","0","22.31776487","0.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M6","0","1","25","68.31","0.1572","0.197","0.131","0.8","1.2","420000","7","200000","15","400","40N6 Active Seeker","1","0","32","19500","0","0","29","19000","0","0","26","18500","0","0","23","18000","0","0","20","17500","0","0","0.01","9000","2","2","","","","","","","","","TestMissileDmg"
"40N6D","","5","64","0","1840","1","2012","2999","","","","mis/ico40N6D.jpg","roland-sam.xml","S-400 SA-21 missile  550kt target engaged at 400km","","12","BlastFragAir200kg","0","10","0","34567","5","290","0.85","","","0","0","22.31776487","0.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M6","0","1","25","68.31","0.1572","0.197","0.131","0.8","1.2","420000","7","200000","15","400","40N6 Active Seeker","1","0","32","19500","0","0","29","19000","0","0","26","18500","0","0","23","18000","0","0","20","17500","0","0","0.01","9000","2","2","","","","","","","","","TestMissileDmg"
"48N6","","5","64","0","1800","1","1993","2999","","","","mis/ico48N6.jpg","roland-sam.xml","S-300 SA-20 missile  550kt target engaged at 150km","","12","BlastFragAir150kg","0","10","0","34567","3","112","0.85","","","0","0","19.74663542","-4.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","45.53","0.0672","0.084","0.056","0.8","1.2","650000","4.65","0","0","600","48N6 Active Seeker","1","0","35.2","14750","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"48N6D","","5","64","0","1840","1","1997","2999","","","","mis/ico48N6D.jpg","roland-sam.xml","S-300 S-400 SA-20 SA-21 missile  550kt target engaged at 200km","","12","BlastFragAir150kg","0","10","0","34567","3","147.3","0.85","","","0","0","19.74663542","-4.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","45.53","0.0672","0.084","0.056","0.8","1.2","650000","4.8","0","0","600","48N6 Active Seeker","1","0","35.2","16210","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"48N6DM","","5","64","0","1840","1","2007","2999","","","","mis/ico48N6DM.jpg","roland-sam.xml","S-400 SA-21 missile  550kt target engaged at 250km","","12","BlastFragAir150kg","0","10","0","34567","3","184.8","0.85","","","0","0","19.74663542","-4.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.8","0","1","25","45.53","0.0672","0.084","0.056","0.8","1.2","650000","5","0","0","600","48N6 Active Seeker","1","0","35.2","17220","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"48N6E","","5","64","0","1800","1","1993","2999","","","","mis/ico48N6E.jpg","roland-sam.xml","S-300 S-400 SA-20 SA-21 missile  550kt target engaged at 150km","","12","BlastFragAir150kg","0","10","0","34567","3","112","0.85","","","0","0","19.74663542","-4.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","45.53","0.0672","0.084","0.056","0.8","1.2","650000","4.65","0","0","600","48N6 Active Seeker","1","0","35.2","14750","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"48N6E2","","5","64","0","1840","1","1997","2999","","","","mis/ico48N6E2.jpg","roland-sam.xml","S-300 S-400 SA-20 SA-21 missile  550kt target engaged at 200km","","12","BlastFragAir150kg","0","10","0","34567","3","147.3","0.85","","","0","0","19.74663542","-4.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","45.53","0.0672","0.084","0.056","0.8","1.2","650000","4.8","0","0","600","48N6 Active Seeker","1","0","35.2","16210","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"48N6E3","","5","64","0","1840","1","2007","2999","","","","mis/ico48N6E3.jpg","roland-sam.xml","S-300 S-400 SA-20 SA-21 missile  550kt target engaged at 250km","","12","BlastFragAir150kg","0","10","0","34567","3","184.8","0.85","","","0","0","19.74663542","-4.7","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.8","0","1","25","45.53","0.0672","0.084","0.056","0.8","1.2","650000","5","0","0","600","48N6 Active Seeker","1","0","35.2","17220","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55K","","5","64","0","1590","1","1978","2999","","","","mis/ico5V55K.jpg","roland-sam.xml","S-300 SA-10 missile  550kt target engaged at 47km","","12","BlastFragAir150kg","0","10","0","34567","5","35.2","0.85","","","0","0","19.74663542","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.066","0.083","0.055","0.8","1.2","650000","4.1","0","0","600","Command Guidance 5V55K seeker","1","0","0.01","0","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55KD","","5","64","0","1590","1","1990","2999","","","","mis/ico5V55KD.jpg","roland-sam.xml","S-300 SA-10 missile  550kt target engaged at 75km","","12","BlastFragAir150kg","0","10","0","34567","5","55.6","0.85","","","0","0","19.74663542","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.1","0","0","600","5V55KD SARH Seeker","1","0","35.2","10050","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55PM","","5","64","0","1625","1","1990","2999","","","","mis/ico5V55PM.jpg","roland-sam.xml","S-300 SA-10 missile  550kt target engaged at 92km","","12","BlastFragAir135kg","0","10","0","34567","5","68","0.85","","","0","0","19.07827128","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.2","0","0","600","5V55KD SARH Seeker","1","0","35.2","12100","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55R","","5","64","0","1590","1","1982","2999","","","","mis/ico5V55R.jpg","roland-sam.xml","S-300 SA-10 missile  550kt target engaged at 75km","","12","BlastFragAir135kg","0","10","0","34567","5","55.6","0.85","","","0","0","19.07827128","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.1","0","0","600","5V55KD SARH Seeker","1","0","35.2","10050","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55RD","","5","64","0","1590","1","1990","2999","","","","mis/ico5V55RD.jpg","roland-sam.xml","S-300 SA-10 missile  550kt target engaged at 75km","","12","BlastFragAir135kg","0","10","0","34567","5","55.6","0.85","","","0","0","19.07827128","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.1","0","0","600","5V55KD SARH Seeker","1","0","35.2","10050","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55RM","SA-N-6 Fort","5","64","0","1625","1","1981","2999","","","","mis/ico5V55RM.jpg","roland-sam.xml","S-300F SA-N-6 missile  550kt target engaged at 92km","","12","BlastFragMis135kg","0","10","0","34567","8","68","0.85","","","0","0","13.490375","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.2","0","0","600","5V55KD SARH Seeker","1","0","35.2","12100","0","0","4","8000","2","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55RUD","","5","64","0","1625","1","1990","2999","","","","mis/ico5V55RUD.jpg","roland-sam.xml","S-300 SA-10 SA-20 missile  550kt target engaged at 92km","","12","BlastFragMis135kg","0","10","0","34567","5","68","0.85","","","0","0","13.490375","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.2","0","0","600","5V55KD SARH Seeker","1","0","35.2","12100","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55S","","5","64","0","1590","1","1982","2999","","","","mis/ico5V55S.jpg","roland-sam.xml","S-300 SA-10 missile  550kt target engaged at 75km","","12","Nuclear-30kT","0","10","0","34567","5","55.6","0.85","","","0","0","179.35","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.1","0","0","600","5V55KD SARH Seeker","1","0","35.2","10050","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55U","","5","64","0","1625","1","1990","2999","","","","mis/ico5V55U.jpg","roland-sam.xml","S-300 SA-10 missile  550kt target engaged at 92km","","12","BlastFragAir135kg","0","10","0","34567","5","68","0.85","","","0","0","19.07827128","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.2","0","0","600","5V55KD SARH Seeker","1","0","35.2","12100","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"5V55V","","5","64","0","1590","1","1993","2999","","","","mis/ico5V55V.jpg","roland-sam.xml","S-300 SA-10 Missile  550kt target engaged at 75km","","12","Nuclear-30kT","0","10","0","34567","5","55.6","0.85","","","0","0","179.35","-4.9","MissileRCS1","-2.19","0","IR_M_L_R_M0.85","Default","IR_M_L_R_Super_M4.6","0","1","25","88.5","0.0672","0.083","0.055","0.8","1.2","650000","4.1","0","0","600","5V55KD SARH Seeker","1","0","35.2","10050","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9K32 Strela 2","SA-7 Grail","5","64","0","9.8","3","1968","2999","","","","mis/ico9K32.jpg","roland-sam.xml","Man Portable Russian Surface to Air Missile - Mach 1.3, Range 1.65km, ETA 6 Seconds.  550kt target engaged at 3.2km","","0.3","BlastFragAir9.2kg","32","10","0","34567","0.4","1.65","0.85","","","0","0","7.446848359","-21.8","MissileRCS1","-7.83","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M1.3","0","1","15","54.63","0.002004","0.00255","0.0017","0.7","1.7","5500","0.8","500","7.7","300","Strela II IR Seeker","0","0","8","5000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9M17MP Skorpion-P","AT-2 Swatter C","5","64","0","29","1","1969","2999","","","","mis/ico9M17MP.jpg","roland-sam.xml","Radio-guided antitank missile","maximum range is 4000m, if launched at 0kt at up to 4500m(hind service ceiling), it achieves a range of 4.8km, when launched from 0kt and 100m it achieved 5.15km, when launched from 150kt at 4500m it achieved 4.95km..  for a missile whose max range is 4km, this is a bit much, cut its burn duration by 6.9 seconds to 18.1.  at its best you get 4km.","12","Pen5kg","0","5","0","6000","0.5","4","0.85","","","0","0","0","-16.6","MissileRCS1","-3","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.1","0","1","30","81.9","0.018","0.05","0.1","0.45","0.55","3000","25","0","0","100","Skorpion-P Seeker","1","0","0.5","1000","2","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9M311 Kashtan","SA-N-11 Grison","5","64","0","42","3","1900","2999","","","","mis/ico9M311.jpg","roland-sam.xml","SA-N-11 9M311 Kashtan 4.85km Range ETA 11 Seconds.  550kt target engaged at 8km","","1.8","BlastFragAir9kg","0","10","-1","34567","1.5","4.85","0.85","","","0","0","7.430132629","-21.3","MissileRCS1","-3","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M2.7","0","1.53","30","81.9","0.018","0.0225","0.015","0.8","1.2","31000","1.5","5800","6.8","400","SA-N-11 seeker","1","0","0.01","5000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9M317","","5","64","0","715","1","1998","2999","","","","mis/ico9M317.jpg","aim-9.xml","9K37 Buk SA-11 missileM-22 Uragan SA-N-7 Missile  550kt target engaged at 47km","","12","BlastFragMis70kg","0","10","0","34567","3","31.6","0.85","","","0","0","10.06519958","-6.9","MissileRCS1","-2.19","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M4","0","1","25","54.63","0.0756","0.0945","0.063","0.8","1.2","180000","7","20000","13","500","9M8M SARH Seeker","1","0","15","14000","0","0","0.01","0","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9M32 Strela 2","SA-N-5 Grail","5","64","0","9.8","3","1969","2999","","","","mis/ico9M32.jpg","roland-sam.xml","Ship-Air Russian Surface to Air Missile - Mach 1.3, Range 1.65km, ETA 6 Seconds.  550kt target engaged at 3.2km","","0.3","BlastFragAir9.2kg","32","10","0","34567","0.4","1.65","0.85","","","0","0","7.446848359","-21.8","MissileRCS1","-7.83","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M1.3","0","1","15","54.63","0.002004","0.00255","0.0017","0.7","1.7","5500","0.8","500","7.7","300","Strela II IR Seeker","0","0","8","5000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9M32M Strela 3","SA-N-8 Gremlin","5","64","0","10.3","3","1900","2999","","","","mis/ico9M32M.jpg","roland-sam.xml","Ship-Air Russian Surface to Air Missile - Mach 1.3, Range 1.9km, ETA 7 Seconds.  550kt target engaged at 3.9km","","0.3","BlastFragAir9.2kg","32","10","0","34567","0.4","1.9","0.85","","","0","0","7.446848359","-21.8","MissileRCS1","-7.83","0","IR_M_VS_R_M0.85","Default","IR_M_VS_R_Super_M1.4","0","1","20","72.8","0.00192","0.0024","0.0016","0.7","1.7","5500","0.8","680","6","300","Strela III IR Seeker","0","0","8","6000","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9M33","","5","64","0","126","1","1900","2999","","","","mis/ico9M33.jpg","aim-9.xml","Temporary weapon standin  550kt target engaged at 10km","","12","BlastFragAir50kg","0","10","0","34567","1.5","5.7","0.85","","","0","0","12.75506643","-12.5","MissileRCS1","-2.19","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.5","0","1","25","68.3","0.012","0.015","0.01","0.8","1.2","60000","1.8","0","0","400","9M33 SARH Seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
"9M330 Kinzhal","SA-N-9 Gauntlet","5","64","0","170","3","1900","2999","","","","mis/ico9M330.jpg","roland-sam.xml","SA-N-9 9M330 Kinzhal 1650kts at 6,000m.  550kt target engaged at 12km","","2.9","BlastFragAir15kg","0","10","0","34567","1","7","0.85","","","0","0","8.325227366","-11.4","MissileRCS1","0.21","0","IR_M_S_R_M0.85","Default","IR_M_S_R_Super_M2.5","0","8.08","30","141.588","0.024","0.03","0.02","0.8","1.2","25750","7.8","0","0","450","Command Guidance 9M330 Seeker","1","0","0.01","0","2","0","0","0","2","0,","0","0","2","2","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
