DatabaseClass text primary key,NATO_ASCC text,ModelClassId integer,ClassificationId integer,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError real,AngleError_deg real,ElevationError_deg real,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor real,IsSurveillance integer,SL numeric,DI numeric,isPassive integer,isActive integer,isTowed integer,maxScope_m numeric,isWakeHoming integer
"ASO-84-5-ACT","","0","0","","","","1900","2999","","","","","","Active Sonar, Max Range: 5km, Scan Rate: 10s, Performance: 215dB","Marcos Viniegra","5","2.5","360","-90","90","10","GenericSensor","0","0","90","500","10000","99","1","1","195.4545455","19.54545455","0","1","0","0","0"
"ASO-84-5-PAS","","0","0","","","","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 5s, Performance: 5DI","Marcos Viniegra","200","1","360","-90","90","5","GenericSensor","0.33","5","90","500","10000","10","1","1","0","5","1","0","0","0","0"
"ASQ-81 MAD","","0","0","","","","1900","2999","","","","","","Passive Sonar, Max Range: 0.3km, Scan Rate: 0.1s, Performance: 480DI          Magnetic Anomaly Detector for submarine detection","made to be incredibly sensitive, but very very short ranged.  maximum range will be about 300m.","0.3","1","360","-90","90","0.12","GenericSensor","0.1","0.1","90","500","10000","9999","1","1","0","480","1","0","0","150","0"
"AT-2M seeker","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 20km, Scan Rate: 3.8s, Performance: 188.1dB","","20","1","90","-90","90","3.76","GenericSensor","0","0","90","500","10000","99","1","0","171","17.1","0","1","0","0","0"
"BQQ-2 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 40km, Scan Rate: 51.3s, Performance: 211.2dB","Proper range calc would involve tracking the speed of sound and not scanning again until the previous is finished.  the ranges can be set to one of several, short to long.  at the upper end permitting a 40km active range, 80,000 yds.  Speed of sound taken to be 1560m/s, two way then is 1.2821s per km, 51.282 for 40km.","40","1","300","-90","90","51.282","GenericSensor","0.045","4.05","90","500","10000","99","1","1","192","19.2","0","1","0","0","0"
"BQQ-2 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 23DI","","200","1","300","-90","90","10","GenericSensor","0.155","2.025","90","500","10000","10","1","1","0","23","1","0","0","0","0"
"BQQ-2 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 24.5DI","","200","1","120","-90","90","10","GenericSensor","0.155","1.0125","90","500","10000","10","1","1","0","24.5","1","0","0","0","0"
"BQQ-2 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 24.5DI","","200","1","120","-90","90","10","GenericSensor","0.155","1.0125","90","500","10000","10","1","1","0","24.5","1","0","0","0","0"
"BQQ-5D Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 223.6dB","","50","1","300","-90","90","64.103","GenericSensor","0.03","3.3","90","500","10000","99","1","1","203.2727273","20.32727273","0","1","0","0","0"
"BQQ-5D Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31.8DI","","200","1","300","-90","90","10","GenericSensor","0.12","1.65","90","500","10000","10","1","1","0","31.77","1","0","0","0","0"
"BQQ-5D Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.3DI","","200","1","120","-90","90","10","GenericSensor","0.12","0.825","90","500","10000","10","1","1","0","33.27","1","0","0","0","0"
"BQQ-5D Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.3DI","","200","1","120","-90","90","10","GenericSensor","0.12","0.825","90","500","10000","10","1","1","0","33.27","1","0","0","0","0"
"BQQ-6 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.3DI","","200","1","300","-90","90","10","GenericSensor","0.1","1.5","90","500","10000","10","1","1","0","33.27","1","0","0","0","0"
"BQQ-6 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 34.8DI","","200","1","120","-90","90","10","GenericSensor","0.1","0.75","90","500","10000","10","1","1","0","34.77","1","0","0","0","0"
"BQQ-6 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 34.8DI","","200","1","120","-90","90","10","GenericSensor","0.1","0.75","90","500","10000","10","1","1","0","34.77","1","0","0","0","0"
"BQS-13 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 226dB","","50","1","300","-90","90","64.103","GenericSensor","0.025","3","90","500","10000","99","1","1","205.4545455","20.54545455","0","1","0","0","0"
"CSU 83-2 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 45km, Scan Rate: 57.7s, Performance: 214dB","","45","1","300","-90","90","57.692","GenericSensor","0.03125","3.6","90","500","10000","99","1","1","194.5","19.45","0","1","0","0","0"
"CSU 83-2 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 23DI","","200","1","300","-90","90","10","GenericSensor","0.13","1.8","90","500","10000","10","1","1","0","23","1","0","0","0","0"
"CSU 83-2 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 25DI","","200","1","120","-90","90","10","GenericSensor","0.13","0.9","90","500","10000","10","1","1","0","25","1","0","0","0","0"
"CSU 83-2 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 25DI","","200","1","120","-90","90","10","GenericSensor","0.13","0.9","90","500","10000","10","1","1","0","25","1","0","0","0","0"
"CSU 90-2 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 45km, Scan Rate: 57.7s, Performance: 220.6dB","","45","1","300","-90","90","57.692","GenericSensor","0.03125","3.6","90","500","10000","99","1","1","200.5454545","20.05454545","0","1","0","0","0"
"CSU 90-2 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 29DI","","200","1","300","-90","90","10","GenericSensor","0.13","1.8","90","500","10000","10","1","1","0","29","1","0","0","0","0"
"CSU 90-2 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31DI","","200","1","120","-90","90","10","GenericSensor","0.13","0.9","90","500","10000","10","1","1","0","31","1","0","0","0","0"
"CSU 90-2 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31DI","","200","1","120","-90","90","10","GenericSensor","0.13","0.9","90","500","10000","10","1","1","0","31","1","0","0","0","0"
"DBQS-21D Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 40km, Scan Rate: 51.3s, Performance: 214.1dB","","40","1","300","-90","90","51.282","GenericSensor","0.0375","4.2","90","500","10000","99","1","1","194.6363636","19.46363636","0","1","0","0","0"
"DBQS-21D Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 23DI","","200","1","300","-90","90","10","GenericSensor","0.155","2.025","90","500","10000","10","1","1","0","23","1","0","0","0","0"
"DBQS-40 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 45km, Scan Rate: 57.7s, Performance: 220.6dB","","45","1","300","-90","90","57.692","GenericSensor","0.03125","3.6","90","500","10000","99","1","1","200.5454545","20.05454545","0","1","0","0","0"
"DBQS-40 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 29DI","","200","1","300","-90","90","10","GenericSensor","0.13","1.8","90","500","10000","10","1","1","0","29","1","0","0","0","0"
"DBQS-40 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31DI","","200","1","300","-90","90","10","GenericSensor","0.13","0.9","90","500","10000","10","1","1","0","31","1","0","0","0","0"
"DBQS-40 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31DI","","200","1","300","-90","90","10","GenericSensor","0.13","0.9","90","500","10000","10","1","1","0","31","1","0","0","0","0"
"DE-1164 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 223dB          Active sonar mode. DE 1164 based on AN/AQS-56 sonar with DE-1160 hull mounted sonar and VDS towed body","No way to model VDS at the moment","50","1","360","-90","90","64.103","GenericSensor","0.0325","3.6","90","500","10000","99","1","1","202.7272727","20.27272727","0","1","0","0","0"
"DE-1164 Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 25s, Performance: 30.5DI          Passive sonar mode. DE 1164 based on AN/AQS-56 sonar with DE-1160 hull mounted sonar and VDS towed body","No way to model VDS at the moment","200","1","360","-90","90","25","GenericSensor","0.13","1.8","90","500","10000","10","1","1","0","30.5","1","0","0","0","0"
"Deployed Torpedo Sonar","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 20km, Scan Rate: 2.5s, Performance: 229dB","","20","1","130","-90","90","2.47","GenericSensor","0","1","90","500","10000","99","1","0","208.1818182","20.81818182","0","1","0","0","0"
"Dicass 1","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 6km, Scan Rate: 7.8s, Performance: 192dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(50) buoy","6","1","360","-90","90","7.79","GenericSensor","0.1","8","90","500","10000","99","1","1","174.5454545","17.45454545","0","1","0","0","0"
"Dicass 10","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 8.5km, Scan Rate: 11s, Performance: 205.5dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(95) buoy","8.5","1","360","-90","90","11","GenericSensor","0.0266","4.29","90","500","10000","99","1","1","186.8181818","18.68181818","0","1","0","0","0"
"Dicass 11","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 9km, Scan Rate: 11.6s, Performance: 207dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(00) buoy","9","1","360","-90","90","11.64","GenericSensor","0.0188","3.671","90","500","10000","99","1","1","188.1818182","18.81818182","0","1","0","0","0"
"Dicass 12","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 9.5km, Scan Rate: 12.3s, Performance: 208.5dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(05) buoy","9.5","1","360","-90","90","12.28","GenericSensor","0.0188","3.671","90","500","10000","99","1","1","189.5454545","18.95454545","0","1","0","0","0"
"Dicass 13","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 10km, Scan Rate: 12.9s, Performance: 210dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(10) buoy","10","1","360","-90","90","12.92","GenericSensor","0.0133","3.142","90","500","10000","99","1","1","190.9090909","19.09090909","0","1","0","0","0"
"Dicass 2","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 6.25km, Scan Rate: 8.1s, Performance: 193.5dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(55) buoy","6.25","1","360","-90","90","8.11","GenericSensor","0.1","8","90","500","10000","99","1","1","175.9090909","17.59090909","0","1","0","0","0"
"Dicass 3","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 6.5km, Scan Rate: 8.4s, Performance: 195dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(60) buoy","6.5","1","360","-90","90","8.43","GenericSensor","0.075","6.846","90","500","10000","99","1","1","177.2727273","17.72727273","0","1","0","0","0"
"Dicass 4","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 6.75km, Scan Rate: 8.8s, Performance: 196.5dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(65) buoy","6.75","1","360","-90","90","8.75","GenericSensor","0.075","6.846","90","500","10000","99","1","1","178.6363636","17.86363636","0","1","0","0","0"
"Dicass 5","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 7km, Scan Rate: 9.1s, Performance: 198dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(70) buoy","7","1","360","-90","90","9.07","GenericSensor","0.0531","5.858","90","500","10000","99","1","1","180","18","0","1","0","0","0"
"Dicass 6","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 7.25km, Scan Rate: 9.4s, Performance: 199.5dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(75) buoy","7.25","1","360","-90","90","9.39","GenericSensor","0.0531","5.858","90","500","10000","99","1","1","181.3636364","18.13636364","0","1","0","0","0"
"Dicass 7","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 7.5km, Scan Rate: 9.7s, Performance: 201dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(80) buoy","7.5","1","360","-90","90","9.72","GenericSensor","0.0376","5.013","90","500","10000","99","1","1","182.7272727","18.27272727","0","1","0","0","0"
"Dicass 8","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 7.75km, Scan Rate: 10s, Performance: 202.5dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(85) buoy","7.75","1","360","-90","90","10.04","GenericSensor","0.0376","5.013","90","500","10000","99","1","1","184.0909091","18.40909091","0","1","0","0","0"
"Dicass 9","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 8km, Scan Rate: 10.4s, Performance: 204dB          DICASS Buoy active sonar-1kW omni transmit","intended for the Dicass(90) buoy","8","1","360","-90","90","10.36","GenericSensor","0.0266","4.29","90","500","10000","99","1","1","185.4545455","18.54545455","0","1","0","0","0"
"DICASS sonar","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 7.692km, Scan Rate: 10s, Performance: 201dB          DICASS Buoy active sonar-1kW omni transmit","converted to a default buoy setup.  this buoy has been replaced by a generational setup of buoys.  As a default is used the averaged values of the generational setup.  This makes it contemporary for 1980.","7.692","1","360","-90","90","9.96","GenericSensor","0.0464","5.26","90","500","10000","99","1","1","182.7272727","18.27272727","0","1","0","0","0"
"Difar 1","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 9DI          DIFAR passive sonar","intended for the Difar(50) buoy","200","1","360","-90","90","10","GenericSensor","0.995","15","90","500","10000","10","1","1","0","9","1","0","0","0","0"
"Difar 10","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 31.8DI          DIFAR passive sonar","intended for the Difar(95) buoy","200","1","360","-90","90","10","GenericSensor","0.995","8.044","90","500","10000","10","1","1","0","31.75","1","0","0","0","0"
"Difar 11","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 33.8DI          DIFAR passive sonar","intended for the Difar(00) buoy","200","1","360","-90","90","10","GenericSensor","0.995","6.883","90","500","10000","10","1","1","0","33.75","1","0","0","0","0"
"Difar 12","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 35.5DI          DIFAR passive sonar","intended for the Difar(05) buoy","200","1","360","-90","90","10","GenericSensor","0.995","6.883","90","500","10000","10","1","1","0","35.5","1","0","0","0","0"
"Difar 13","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 37DI          DIFAR passive sonar","intended for the Difar(10) buoy","200","1","360","-90","90","10","GenericSensor","0.995","5.89","90","500","10000","10","1","1","0","37","1","0","0","0","0"
"Difar 2","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 10DI          DIFAR passive sonar","intended for the Difar(55) buoy","200","1","360","-90","90","10","GenericSensor","0.995","15","90","500","10000","10","1","1","0","10","1","0","0","0","0"
"Difar 3","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 11.3DI          DIFAR passive sonar","intended for the Difar(60) buoy","200","1","360","-90","90","10","GenericSensor","0.995","12.836","90","500","10000","10","1","1","0","11.25","1","0","0","0","0"
"Difar 4","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 13DI          DIFAR passive sonar","intended for the Difar(65) buoy","200","1","360","-90","90","10","GenericSensor","0.995","12.836","90","500","10000","10","1","1","0","13","1","0","0","0","0"
"Difar 5","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 15.8DI          DIFAR passive sonar","intended for the Difar(70) buoy","200","1","360","-90","90","10","GenericSensor","0.995","10.984","90","500","10000","10","1","1","0","15.75","1","0","0","0","0"
"Difar 6","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 19.8DI          DIFAR passive sonar","intended for the Difar(75) buoy","200","1","360","-90","90","10","GenericSensor","0.995","10.984","90","500","10000","10","1","1","0","19.75","1","0","0","0","0"
"Difar 7","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 23.3DI          DIFAR passive sonar","intended for the Difar(80) buoy","200","1","360","-90","90","10","GenericSensor","0.995","9.4","90","500","10000","10","1","1","0","23.25","1","0","0","0","0"
"Difar 8","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 26.8DI          DIFAR passive sonar","intended for the Difar(85) buoyshould have angular error of 9.4, range error of 0.995, DI of 26.75","200","1","360","-90","90","10","GenericSensor","0.995","9.4","90","500","10000","10","1","1","0","26.75","1","0","0","0","0"
"Difar 9","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 29.5DI          DIFAR passive sonar","intended for the Difar(90) buoy","200","1","360","-90","90","10","GenericSensor","0.995","8.044","90","500","10000","10","1","1","0","29.5","1","0","0","0","0"
"DIFAR Sonar","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 15DI          DIFAR passive sonar","converted to a default buoy setup.  this buoy has been replaced by a generational setup of buoys.  As a default is used the averaged values of the generational setup.  This makes it contemporary for 1980.","200","1","360","-90","90","10","GenericSensor","0.995","9.86257","90","500","10000","10","1","1","0","15","1","0","0","0","0"
"DM1 Seeker","","0","0","","","","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 4s, Performance: 195.2dB / 10.8DI","set for 900m acquisition active or passive.","20","1","60","-90","90","4","GenericSensor","0","0","90","500","10000","99","1","0","184.4","10.8","1","1","0","0","0"
"DM2A1 Seeker","","0","0","","","","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 4s, Performance: 198.7dB / 12.6DI","set for 1350m acquisition active or passive.","20","1","60","-90","90","4","GenericSensor","0","0","90","500","10000","99","1","0","186.1","12.6","1","1","0","0","0"
"DM2A3 Seeker","","0","0","","","","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 2s, Performance: 202.4dB / 14.4DI","set for 2050m acquisition.","20","1","60","-90","90","2","GenericSensor","0","0","90","500","10000","99","1","0","188","14.4","1","1","0","0","0"
"DM2A4 Seeker","","0","0","","","","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 2s, Performance: 206.5dB / 16.5DI","set for 3000m acquisition.","20","1","130","-90","90","2","GenericSensor","0","0","90","500","10000","99","1","0","190","16.5","1","1","0","0","0"
"DSBV 61C","","0","0","0","0","0","1900","2999","","","","","","Passive Towed Array Sonar, Max Range: 400km, Scan Rate: 10s, Performance: 33.5DI          3 km total cable length","given zero info on its performance, simply duplicating SQR-19","400","1","330","-90","90","10","GenericSensor","0.11","1","90","500","10000","10","1","1","0","33.5","1","0","1","3000","0"
"DSQS-21BZ Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 225dB","no info on performance, assumed equivalent to SQS-53C","50","1","300","-90","90","64.103","GenericSensor","0.03","3.2","90","500","10000","99","1","1","204.5454545","20.45454545","0","1","0","0","0"
"DSQS-21BZ Passive","","0","0","0","0","0","1900","2999","","","","","","Passive Sonar, Max Range: 400km, Scan Rate: 10s, Performance: 32.7DI","no info on performance, assumed equivalent to SQS-53C","400","1","300","-90","90","10","GenericSensor","0.12","1.6","90","500","10000","10","1","1","0","32.7","1","0","0","0","0"
"DSUV 22 Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 50km, Scan Rate: 64.1s, Performance: 222.6dB","","50","1","300","-90","90","64.103","GenericSensor","0.033","3.63","90","500","10000","99","1","1","202.3636364","20.23636364","0","1","0","0","0"
"DSUV 22 Bow Passive","","0","0","0","0","0","1900","2999","","","","","","Bow Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 30.8DI","","200","1","300","-90","90","10","GenericSensor","0.132","1.815","90","500","10000","10","1","1","0","30.8","1","0","0","0","0"
"DSUV 22 Port Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.3DI","","200","1","120","-90","90","10","GenericSensor","0.144","0.99","90","500","10000","10","1","1","0","32.3","1","0","0","0","0"
"DSUV 22 Stbd Flank Passive","","0","0","0","0","0","1900","2999","","","","","","Flank Passive Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.3DI","","200","1","120","-90","90","10","GenericSensor","0.144","0.99","90","500","10000","10","1","1","0","32.3","1","0","0","0","0"
"DSUV 62C TA","","0","0","0","0","0","1900","2999","","","","","","Passive Towed Array Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 32.5DI","","200","1","320","-90","90","10","GenericSensor","0.121","1.1","90","500","10000","10","1","1","0","32.53","1","0","1","1000","0"
"DUBA-25A Active","","0","0","0","0","0","1900","2999","","","","","","Active Sonar, Max Range: 8.3km, Scan Rate: 10.7s, Performance: 212dB","assumed powerful enough to peg a diesel to its instrumented range, which is 9000yds, 8.3km.  can detect a kilo 877E 50/50 at 8400m.","8.3","1","270","-90","90","10.65","GenericSensor","0.15","1","1","500","10000","99","1","1","192.7272727","19.27272727","0","1","0","0","0"
