"DatabaseClass text primary key","NATO_ASCC text","ModelClassId integer","ClassificationId integer","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","MaxSpeed_kts numeric","Accel_ktsps numeric","TurnRate_degps numeric","FuelCapacity_kg numeric","FuelRate_kgps real","Toughness numeric","DamageEffect text","Draft_m real","FlightportClass text","RCS_dBsm real","RCS_Model text","OpticalCrossSection_dBsm real","IRSignature_dB real","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","TS numeric","TS_Model text","AcousticModel text","SL_Model text"
"Allen M Sumner","","1","17","0","3315000","0","1943.78","1945","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(1945)","","1","17","0","3315000","0","1945","1950","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(1950)","","1","17","0","3315000","0","1950","1952","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(1952)","","1","17","0","3315000","0","1952","1953","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(1953)","","1","17","0","3315000","0","1953","1959","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(1959)","","2","17","0","3315000","0","1959","1962.75","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(1962)","","2","17","0","3315000","0","1962.75","1966","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(1966)","","2","17","0","3315000","0","1966","1975.16","USA","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Argentina)","","2","17","0","3315000","0","1972.5","1984","Argentina","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Brazil)","","2","17","0","3315000","0","1972.74","1996.5","Brazil","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Chile)","","2","17","0","3315000","0","1970.86","1990","Chile","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Colombia)","","2","17","0","3315000","0","1970.83","1986","Colombia","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Greece)","","2","17","0","3315000","0","1971.54","1992","Greece","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Iran)","","2","17","0","3315000","0","1971.21","1994","Iran","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Korea, South)","","2","17","0","3315000","0","1973.93","1994","Korea, South","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Taiwan)","","2","17","0","3315000","0","1969.92","1995.33","Taiwan","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Allen M Sumner(Venezuela)","","2","17","0","3315000","0","1972.54","1981.13","Venezuela","DD","","none","burke.xml","Allen M Sumner Class DD.","initially installed with SC-2, and SG radars.  Early 50's gains it the SPS-6, 1953 SG is replaced with SPS-10.  During FRAM II SPS-6 was replaced with SPS-40.  Initial Sonar was the QGA(3kyds-5kyds detection), FRAM II gained her SQS-4(up to 15kyds).  Winter 1962 added the VDS SQA-8, 600ft cable.  Late 1944 saw introduction of SPR-1 ESM, WLR-1 in 1960's.  makes her one of the earliest US ships found in GCB, with ESM of some sort.","34.9","0.25","14","497250","0.345309517","126.1","Ship3000Dmg","3.8","Double Helo Hangar","42.353","ShipRCS1","31.704","24.597","ShipIR1","Default","Default","7","15","Default","S02.Frigate","Default"
"Amatsukaze DDG","","1","17","0","4000000","0","1965.125","1967","Japan","DD","","none","sovremenny.xml","","","33","0.5","7","560000","0.399996544","35","Ship5000Dmg","4.2","None","43.577","ShipRCS1","37.187","20.572","ShipIR1","Default","Default","7","15","Default","S04.Destroyer","Default"
"Amatsukaze DDG(1967)","","1","17","0","4000000","0","1967","1978","Japan","DD","","none","sovremenny.xml","","","33","0.5","7","560000","0.399996544","35","Ship5000Dmg","4.2","None","43.577","ShipRCS1","37.187","20.572","ShipIR1","Default","Default","7","15","Default","S04.Destroyer","Default"
"Amatsukaze DDG(1978)","","1","17","0","4000000","0","1978","1995.911","Japan","DD","","none","sovremenny.xml","","","33","0.5","7","560000","0.399996544","35","Ship5000Dmg","4.2","None","43.577","ShipRCS1","37.187","20.572","ShipIR1","Default","Default","7","15","Default","S04.Destroyer","Default"
"Andrea Doria","","2","18","0","7050000","0","2007.97","2999","Italy","DD","horizon.jpg","none","type-45.xml","French version of the Horizon CNGF project, a joint venture between France and Italy, the Italian version is the Doria class.","EW systems using ESM-3 and ARBB-33 ECM as stand-ins, missing data","29","0.3","4","987000","0.704993909","312","Ship5000Dmg","5.4","Double Helo Hangar","37.268","ShipRCS1","34.229","16.697","ShipIR1","Default","Default","10","20","Default","S03.Frigate Silenced","Default"
"Arleigh Burke DDGHM","","2","18","1000000000","8315000","0","1991.42","3000","USA","DD","burke.jpg","none","burke.xml","Arleigh Burke Class Guided Missile Destroyer","","32","0.15","10.27","1164100","1.469810534","646","Ship10000Dmg","9.3","Single Helo Pad","45.333","ShipRCS1","33.972","27.3","ShipIR1","Default","Default","10","20","Default","S05.Destroyer Silenced","Default"
"Arleigh Burke II DDGHM","","2","18","1000000000","8400000","0","1998.09","3000","USA","DD","burkeIIa.jpg","none","burke.xml","Arleigh Burke Class Guided Missile Destroyer","","32","0.15","10.19","1176000","1.484835657","715","Ship10000Dmg","9.3","Single Helo Pad","45.4","ShipRCS1","33.972","27.303","ShipIR1","Default","Default","10","20","Default","S05.Destroyer Silenced","Default"
"Arleigh Burke IIA DDGHM","","2","18","1000000000","9200000","0","2000.63","3000","USA","DD","burkeIIa.jpg","none","burke.xml","Arleigh Burke Class Guided Missile Destroyer","","32","0.15","10.19","1288000","1.626248576","715","Ship10000Dmg","9.3","Burke Helo Deck","45.992","ShipRCS1","33.978","27.327","ShipIR1","Default","Default","11.5","20","Default","S05.Destroyer Silenced","Default"
"Asagiri DDG","","2","17","0","4200000","0","1988","2999","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","588000","0.816659611","35","Ship5000Dmg","4.5","Single Helo Hangar","43.894","ShipRCS1","37.573","21.599","ShipIR1","Default","Default","7","15","Default","S04.Destroyer","Default"
"Atago","","2","17","0","10100000","0","2007.201","2999","Japan","DD","","none","sovremenny.xml","","","30","0.5","7","1414000","1.745663931","35","Ship10000Dmg","6.2","Single Helo Hangar","47.392","ShipRCS1","39.225","20.88","ShipIR1","Default","Default","11.5","15","Default","S04.Destroyer","Default"
"Austin LPD","","2","18","0","17244000","0","1964.46","2999.99","USA","LPD","austin.jpg","none","burke.xml","Austin LPD amphibious transport dock ship","","21","0.09","7.5","2414160","0.641716944","254","Ship20000Dmg","6.7","6 Helipad--Single Hangar","53.095","ShipRCS1","36.514","25.051","ShipIR1","Default","Default","20","20","Default","S10.Carrier Small","Default"
"Avenger MCM","","1","17","0","1379000","0","1987.7","2999.99","USA","MC","avenger.jpg","none","burke.xml","Avenger MCM mine countermeasures ship","","13.5","0.1","7.62","151690","0.116683607","126.1","Ship1000Dmg","7","","36.639","ShipRCS1","31.177","17.818","ShipIR1","Default","Default","11","20","Default","S001.Merchant Small","Default"
"Ayanami DD","","1","17","0","2500000","0","1958.116","1965","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","350000","0.291664147","35","Ship3000Dmg","3.7","None","40.515","","36.162","20.437","ShipIR1","Default","Default","5.8","15","Default","S02.Frigate","Default"
"Ayanami DD(1965)","","1","17","0","2500000","0","1965","1989.163","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","350000","0.291664147","35","Ship3000Dmg","3.7","None","40.515","","36.162","20.437","ShipIR1","Default","Default","5.8","15","Default","S02.Frigate","Default"
"BAL Class Ciudad Bolivar","","2","18","0","9750000","0","1901.73","3000","Venezuela","BAL","","none","tanker.xml","BAL class CIUDAD BOLIVAR as received by the ARV in 2001.","Marcos. Need photo","18.6","0.1","7","1365000","47.01626048","","Ship10000Dmg","6.5","FFG-7 Helo Deck","49.381","ShipRCS1","33.675","18.401","ShipIR1","Default","Default","14","30","Default","Default","Default"
"BVL Class Guaicamacuto","","2","17","0","1453000","0","2010.25","3000","Venezuela","BVL","guaicamacuto.jpg","none","type-22.xml","BVL class GUAICAMACUTO patrol boat as received by the ANB in 2009.","Marcos","27","0.12","8.6","203420","10.17091213","","Ship1000Dmg","4","FFG-7 Helo Deck","36.98","ShipRCS1","30.716","17.833","ShipIR1","Default","Default","11","30","Default","Default","Default"
"Baleares FFG (1985)","","1","18","0","4177000","0","1985","1991","Spain","FF","","none","ffg-7.xml","Baleares Class Frigate.","","28","0.14","10.2","584780","0.561512296","312","Ship5000Dmg","7.5","None","43.859","ShipRCS1","32.359","21.662","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Baleares FFG (1991)","","1","18","0","4177000","0","1991","2009.5","Spain","FF","","none","ffg-7.xml","Baleares Class Frigate.","","28","0.14","10.2","584780","0.561512296","312","Ship5000Dmg","7.5","None","43.859","ShipRCS1","32.359","21.662","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Baleares FFG","","1","18","0","4177000","0","1973.73","1985","Spain","FF","","none","ffg-7.xml","Baleares Class Frigate.","","28","0.14","10.2","584780","0.561512296","312","Ship5000Dmg","7.5","None","43.859","ShipRCS1","32.359","21.662","ShipIR1","Default","Default","7","20","Default","S02.Frigate","Default"
"Baptista de Andrade FSH","","2","17","0","1380000","0","1974.884","1999","Portugal","FF","","NONE","type-42.xml","","","24.4","0.7","3.5","193200","0.114797372","200","Ship1000Dmg","3.6","Single Helo Pad","36.644","ShipRCS1","30.617","17.821","ShipIR1","Default","Default","4.6","10","Default","S02.Frigate","Default"
"Baptiste de Andrade FSH(1999)","","2","17","0","1380000","0","1999","2999","Portugal","FF","","NONE","type-42.xml","","","24.4","0.7","3.5","193200","0.114797372","200","Ship1000Dmg","3.6","Single Helo Pad","36.644","ShipRCS1","30.617","17.821","ShipIR1","Default","Default","4.6","10","Default","S02.Frigate","Default"
"Belknap CG (87)","","2","18","0","7890000","0","1987.55","1994.29","USA","CA","","none","TicoMk26.xml","Belknap Class Guided Missile Cruiser.  NTU Upgraded","some ships have unknown start or finish dates for the NTU upgrade, assuming 1 year in these cases.","32","0.25","9.9","1104600","0.864311782","759","Ship10000Dmg","5.5","Single Helo Hangar","48.002","ShipRCS1","33.244","24.834","ShipIR1","Default","Default","10","20","Default","S06.Cruiser","Default"
"Belknap CG","","2","18","0","7890000","0","1964.85","1995.13","USA","CA","","none","TicoMk26.xml","Belknap Class Guided Missile Cruiser","","32","0.25","9.9","1104600","0.864311782","759","Ship10000Dmg","5.5","Single Helo Hangar","48.002","ShipRCS1","33.244","24.834","ShipIR1","Default","Default","10","20","Default","S06.Cruiser","Default"
"Blue Ridge AGFH","","1","18","0","19760000","0","1967.87","2999.99","USA","AGF","blueridge.jpg","none","burke.xml","Blue Ridge AGFH LCC-19 command ship","","23","0.09","7.83","2766400","0.805655591","859","Ship20000Dmg","10","","53.982","ShipRCS1","36.35","22.108","ShipIR1","Default","Default","20","20","Default","S11.Carrier Medium","Default"
"Boat","","1","17","0","250000","0","2010.17","3000","Neutral","Civilian","boat.jpg","NONE","pg-84.xml","Small unarmed boat","","50","2","5","35000","0","25","Ship200Dmg","2","","25.515","ShipRCS1","27.862","10.592","ShipIR1","Default","Default","5","20","Default","Default","Default"
"Brandenburg FFGHM","","2","18","0","4900000","0","1994.79","2999","Germany","FF","","none","type-22.xml","","","29","0.13","7","686000","0.857492592","140","Ship5000Dmg","6.8","Double Helo Hangar","44.899","ShipRCS1","33.114","26.743","ShipIR1","Default","Default","8.2","20","Default","S02.Frigate","Default"
"Braunschweig","","1","17","0","1662000","0","2008.29","2999","Germany","FF","","none","type-22.xml","","","26","0.26","7","232680","0.242372906","140","Ship1000Dmg","4.8","","37.855","ShipRCS1","31.913","17.884","ShipIR1","Default","Default","4.6","20","Default","S03.Frigate Silenced","Default"
