DatabaseClass text primary key,Top_dB real,Bottom_dB real,Aspect0 real,Aspect10 real,Aspect20 real,Aspect30 real,Aspect40 real,Aspect50 real,Aspect60 real,Aspect70 real,Aspect80 real,Aspect90 real,Aspect100 real,Aspect110 real,Aspect120 real,Aspect130 real,Aspect140 real,Aspect150 real,Aspect160 real,Aspect170 real,Aspect180 real
"IR_FW_S_F_HP_1_Super_M2.8","7.65","7.65","7.65","7.65","7.65","6.65","5.65","5.65","4.65","4.65","4.65","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.9","7.92","7.92","7.92","7.92","7.92","6.92","5.92","5.92","4.92","4.92","4.92","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M3","8.18","8.18","8.18","8.18","8.18","7.18","6.18","6.18","5.18","5.18","5.18","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M3.2","8.68","8.68","8.68","8.68","8.68","7.68","6.68","6.68","5.68","5.68","5.68","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M3.4","9.15","9.15","9.15","9.15","9.15","8.15","7.15","7.15","6.15","6.15","6.15","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M3.6","9.6","9.6","9.6","9.6","9.6","8.6","7.6","7.6","6.6","6.6","6.6","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_2_M0.85","-2.37","-2.37","-0.37","-0.37","-0.37","-1.37","-1.37","-2.37","-2.37","-2.37","-2.37","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_AB_M0.85","-2.37","-2.37","-0.37","-0.37","-0.37","-1.37","-1.37","-2.37","-2.37","-2.37","-2.37","7.63","10.18","11.61","12.68","13.65","14.62","14.62","15.62","16.61","17.63"
"IR_FW_S_F_HP_2_Super_M1.1","1.89","1.89","1.89","1.89","1.89","0.89","-0.11","-0.11","-1.11","-1.11","-1.11","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.2","2.31","2.31","2.31","2.31","2.31","1.31","0.31","0.31","-0.69","-0.69","-0.69","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.3","2.69","2.69","2.69","2.69","2.69","1.69","0.69","0.69","-0.31","-0.31","-0.31","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.4","3.07","3.07","3.07","3.07","3.07","2.07","1.07","1.07","0.07","0.07","0.07","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.5","3.46","3.46","3.46","3.46","3.46","2.46","1.46","1.46","0.46","0.46","0.46","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.6","3.83","3.83","3.83","3.83","3.83","2.83","1.83","1.83","0.83","0.83","0.83","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.7","4.2","4.2","4.2","4.2","4.2","3.2","2.2","2.2","1.2","1.2","1.2","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.8","4.55","4.55","4.55","4.55","4.55","3.55","2.55","2.55","1.55","1.55","1.55","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M1.9","4.91","4.91","4.91","4.91","4.91","3.91","2.91","2.91","1.91","1.91","1.91","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2","5.25","5.25","5.25","5.25","5.25","4.25","3.25","3.25","2.25","2.25","2.25","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.1","5.58","5.58","5.58","5.58","5.58","4.58","3.58","3.58","2.58","2.58","2.58","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.2","5.9","5.9","5.9","5.9","5.9","4.9","3.9","3.9","2.9","2.9","2.9","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.3","6.21","6.21","6.21","6.21","6.21","5.21","4.21","4.21","3.21","3.21","3.21","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.4","6.52","6.52","6.52","6.52","6.52","5.52","4.52","4.52","3.52","3.52","3.52","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.5","6.81","6.81","6.81","6.81","6.81","5.81","4.81","4.81","3.81","3.81","3.81","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.6","7.1","7.1","7.1","7.1","7.1","6.1","5.1","5.1","4.1","4.1","4.1","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.7","7.38","7.38","7.38","7.38","7.38","6.38","5.38","5.38","4.38","4.38","4.38","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.8","7.65","7.65","7.65","7.65","7.65","6.65","5.65","5.65","4.65","4.65","4.65","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M2.9","7.92","7.92","7.92","7.92","7.92","6.92","5.92","5.92","4.92","4.92","4.92","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M3","8.18","8.18","8.18","8.18","8.18","7.18","6.18","6.18","5.18","5.18","5.18","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M3.2","8.68","8.68","8.68","8.68","8.68","7.68","6.68","6.68","5.68","5.68","5.68","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M3.4","9.15","9.15","9.15","9.15","9.15","8.15","7.15","7.15","6.15","6.15","6.15","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_S_F_HP_2_Super_M3.6","9.6","9.6","9.6","9.6","9.6","8.6","7.6","7.6","6.6","6.6","6.6","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_1_M0.85","-0.63","-0.63","1.37","1.37","1.37","0.37","0.37","-0.63","-0.63","-0.63","-0.63","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_AB_M0.85","-0.63","-0.63","1.37","1.37","1.37","0.37","0.37","-0.63","-0.63","-0.63","-0.63","4.63","7.18","8.61","9.68","10.65","11.62","11.62","12.62","13.61","14.63"
"IR_FW_M_F_HP_1_Super_M1.1","3.63","3.63","3.63","3.63","3.63","2.63","1.63","1.63","0.63","0.63","0.63","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.2","4.05","4.05","4.05","4.05","4.05","3.05","2.05","2.05","1.05","1.05","1.05","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.3","4.43","4.43","4.43","4.43","4.43","3.43","2.43","2.43","1.43","1.43","1.43","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.4","4.81","4.81","4.81","4.81","4.81","3.81","2.81","2.81","1.81","1.81","1.81","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.5","5.2","5.2","5.2","5.2","5.2","4.2","3.2","3.2","2.2","2.2","2.2","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.6","5.57","5.57","5.57","5.57","5.57","4.57","3.57","3.57","2.57","2.57","2.57","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.7","5.94","5.94","5.94","5.94","5.94","4.94","3.94","3.94","2.94","2.94","2.94","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.8","6.29","6.29","6.29","6.29","6.29","5.29","4.29","4.29","3.29","3.29","3.29","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M1.9","6.65","6.65","6.65","6.65","6.65","5.65","4.65","4.65","3.65","3.65","3.65","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2","6.99","6.99","6.99","6.99","6.99","5.99","4.99","4.99","3.99","3.99","3.99","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.1","7.32","7.32","7.32","7.32","7.32","6.32","5.32","5.32","4.32","4.32","4.32","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.2","7.64","7.64","7.64","7.64","7.64","6.64","5.64","5.64","4.64","4.64","4.64","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.3","7.95","7.95","7.95","7.95","7.95","6.95","5.95","5.95","4.95","4.95","4.95","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.4","8.26","8.26","8.26","8.26","8.26","7.26","6.26","6.26","5.26","5.26","5.26","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.5","8.55","8.55","8.55","8.55","8.55","7.55","6.55","6.55","5.55","5.55","5.55","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.6","8.84","8.84","8.84","8.84","8.84","7.84","6.84","6.84","5.84","5.84","5.84","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.7","9.12","9.12","9.12","9.12","9.12","8.12","7.12","7.12","6.12","6.12","6.12","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.8","9.39","9.39","9.39","9.39","9.39","8.39","7.39","7.39","6.39","6.39","6.39","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M2.9","9.66","9.66","9.66","9.66","9.66","8.66","7.66","7.66","6.66","6.66","6.66","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M3","9.92","9.92","9.92","9.92","9.92","8.92","7.92","7.92","6.92","6.92","6.92","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M3.2","10.42","10.42","10.42","10.42","10.42","9.42","8.42","8.42","7.42","7.42","7.42","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M3.4","10.89","10.89","10.89","10.89","10.89","9.89","8.89","8.89","7.89","7.89","7.89","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_1_Super_M3.6","11.34","11.34","11.34","11.34","11.34","10.34","9.34","9.34","8.34","8.34","8.34","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_M_F_HP_2_M0.85","-0.63","-0.63","1.37","1.37","1.37","0.37","0.37","-0.63","-0.63","-0.63","-0.63","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_AB_M0.85","-0.63","-0.63","1.37","1.37","1.37","0.37","0.37","-0.63","-0.63","-0.63","-0.63","7.63","10.18","11.61","12.68","13.65","14.62","14.62","15.62","16.61","17.63"
"IR_FW_M_F_HP_2_Super_M1.1","3.63","3.63","3.63","3.63","3.63","2.63","1.63","1.63","0.63","0.63","0.63","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.2","4.05","4.05","4.05","4.05","4.05","3.05","2.05","2.05","1.05","1.05","1.05","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.3","4.43","4.43","4.43","4.43","4.43","3.43","2.43","2.43","1.43","1.43","1.43","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.4","4.81","4.81","4.81","4.81","4.81","3.81","2.81","2.81","1.81","1.81","1.81","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.5","5.2","5.2","5.2","5.2","5.2","4.2","3.2","3.2","2.2","2.2","2.2","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.6","5.57","5.57","5.57","5.57","5.57","4.57","3.57","3.57","2.57","2.57","2.57","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.7","5.94","5.94","5.94","5.94","5.94","4.94","3.94","3.94","2.94","2.94","2.94","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.8","6.29","6.29","6.29","6.29","6.29","5.29","4.29","4.29","3.29","3.29","3.29","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M1.9","6.65","6.65","6.65","6.65","6.65","5.65","4.65","4.65","3.65","3.65","3.65","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2","6.99","6.99","6.99","6.99","6.99","5.99","4.99","4.99","3.99","3.99","3.99","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.1","7.32","7.32","7.32","7.32","7.32","6.32","5.32","5.32","4.32","4.32","4.32","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.2","7.64","7.64","7.64","7.64","7.64","6.64","5.64","5.64","4.64","4.64","4.64","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.3","7.95","7.95","7.95","7.95","7.95","6.95","5.95","5.95","4.95","4.95","4.95","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.4","8.26","8.26","8.26","8.26","8.26","7.26","6.26","6.26","5.26","5.26","5.26","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.5","8.55","8.55","8.55","8.55","8.55","7.55","6.55","6.55","5.55","5.55","5.55","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.6","8.84","8.84","8.84","8.84","8.84","7.84","6.84","6.84","5.84","5.84","5.84","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.7","9.12","9.12","9.12","9.12","9.12","8.12","7.12","7.12","6.12","6.12","6.12","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.8","9.39","9.39","9.39","9.39","9.39","8.39","7.39","7.39","6.39","6.39","6.39","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M2.9","9.66","9.66","9.66","9.66","9.66","8.66","7.66","7.66","6.66","6.66","6.66","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M3","9.92","9.92","9.92","9.92","9.92","8.92","7.92","7.92","6.92","6.92","6.92","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M3.2","10.42","10.42","10.42","10.42","10.42","9.42","8.42","8.42","7.42","7.42","7.42","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M3.4","10.89","10.89","10.89","10.89","10.89","9.89","8.89","8.89","7.89","7.89","7.89","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_M_F_HP_2_Super_M3.6","11.34","11.34","11.34","11.34","11.34","10.34","9.34","9.34","8.34","8.34","8.34","5.17","7.72","9.15","10.22","11.19","12.16","12.16","13.16","14.15","15.17"
"IR_FW_L_F_HP_1_M0.85","1.13","1.13","3.13","3.13","3.13","2.13","2.13","1.13","1.13","1.13","1.13","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_AB_M0.85","1.13","1.13","3.13","3.13","3.13","2.13","2.13","1.13","1.13","1.13","1.13","4.63","7.18","8.61","9.68","10.65","11.62","11.62","12.62","13.61","14.63"
"IR_FW_L_F_HP_1_Super_M1.1","5.39","5.39","5.39","5.39","5.39","4.39","3.39","3.39","2.39","2.39","2.39","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.2","5.81","5.81","5.81","5.81","5.81","4.81","3.81","3.81","2.81","2.81","2.81","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.3","6.19","6.19","6.19","6.19","6.19","5.19","4.19","4.19","3.19","3.19","3.19","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.4","6.57","6.57","6.57","6.57","6.57","5.57","4.57","4.57","3.57","3.57","3.57","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.5","6.96","6.96","6.96","6.96","6.96","5.96","4.96","4.96","3.96","3.96","3.96","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.6","7.33","7.33","7.33","7.33","7.33","6.33","5.33","5.33","4.33","4.33","4.33","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.7","7.7","7.7","7.7","7.7","7.7","6.7","5.7","5.7","4.7","4.7","4.7","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.8","8.05","8.05","8.05","8.05","8.05","7.05","6.05","6.05","5.05","5.05","5.05","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M1.9","8.41","8.41","8.41","8.41","8.41","7.41","6.41","6.41","5.41","5.41","5.41","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_L_F_HP_1_Super_M2","8.75","8.75","8.75","8.75","8.75","7.75","6.75","6.75","5.75","5.75","5.75","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
