DatabaseClass text,MagazineId numeric,Item text,Quantity numeric
"AirstripMag","1","Flare-1","10000"
"Akebono 1956-M","0","76mm Mk 27 Md1 HC","800"
"Akebono 1956-M","1","40mm HE Mk1 Md1","800"
"Akebono 1956-M","2","Hedgehog","30"
"Akebono 1956-M","2","Mk-9 DC","100"
"Akebono 1959-M","0","76mm Mk 27 Md1 HC","800"
"Akebono 1959-M","1","40mm HE Mk1 Md1","800"
"Akebono 1959-M","2","Hedgehog","30"
"Akebono 1959-M","2","Mk-9 DC","100"
"Akizuki 1960-M","0","127mm mk 32","900"
"Akizuki 1960-M","1","76mm Mk 27 Md1 HC","800"
"Akizuki 1960-M","2","Hedgehog","20"
"Akizuki 1960-M","2","Mk-9 DC","100"
"Akizuki 1960-M","3","Mk-15 Mod0","10"
"Akizuki 1960-M","4","RUR-4A Weapon Alfa","44"
"Akizuki 1976-M","0","127mm mk 32","900"
"Akizuki 1976-M","1","76mm Mk 27 Md1 HC","800"
"Akizuki 1976-M","2","375 Bofors ASRL x4","40"
"Akizuki 1976-M","3","Mk-15 Mod0","20"
"Albatros 1976-M","1","76mm HE-MOM","480"
"Albion Class LPD-1-M","0","30mm PGU-13/B HE-I","44000"
"Allan M Sumner(1966)-M","0","127mm mk 32","1008"
"Allan M Sumner(1966)-M","0","127mm mk 34 AAC","2016"
"Allan M Sumner(1966)-M","1","Fuel","21300"
"Allan M Sumner(1966)-M","1","Mk-44","30"
"Allen M Sumner(1945)-M","0","127mm mk 32","1008"
"Allen M Sumner(1945)-M","0","127mm mk 34 AAC","2016"
"Allen M Sumner(1945)-M","1","20mm HE-T x2","2750"
"Allen M Sumner(1945)-M","1","40mm HE Mk1 Md1 x2","3000"
"Allen M Sumner(1945)-M","2","Mk-15 Mod0","15"
"Allen M Sumner(1945)-M","2","Mk-9 DC","50"
"Allen M Sumner(1950)-M","0","127mm mk 32","1008"
"Allen M Sumner(1950)-M","0","127mm mk 34 AAC","2016"
"Allen M Sumner(1950)-M","1","40mm HE Mk1 Md1 x2","8500"
"Allen M Sumner(1950)-M","2","Mk-15 Mod0","15"
"Allen M Sumner(1950)-M","2","Mk-9 DC","50"
"Allen M Sumner(1952)-M","0","127mm mk 32","1008"
"Allen M Sumner(1952)-M","0","127mm mk 34 AAC","2016"
"Allen M Sumner(1952)-M","1","76mm Mk 31 Md1 AA VT","4800"
"Allen M Sumner(1952)-M","2","Mk-15 Mod0","15"
"Allen M Sumner(1952)-M","2","Mk-9 DC","50"
"Allen M Sumner(1953)-M","0","127mm mk 32","1008"
"Allen M Sumner(1953)-M","0","127mm mk 34 AAC","2016"
"Allen M Sumner(1953)-M","1","76mm Mk 31 Md1 AA VT","4800"
"Allen M Sumner(1953)-M","2","Mk-15 Mod0","15"
"Allen M Sumner(1953)-M","2","Mk-9 DC","50"
"Allen M Sumner(1959)-M","0","127mm mk 32","1008"
"Allen M Sumner(1959)-M","0","127mm mk 34 AAC","2016"
"Allen M Sumner(1959)-M","1","76mm Mk 31 Md1 AA VT","4800"
"Allen M Sumner(1959)-M","2","Mk-16 Mod6","8"
"Allen M Sumner(1959)-M","2","Mk-44","12"
"Allen M Sumner(1962)-M","0","127mm mk 32","1008"
"Allen M Sumner(1962)-M","0","127mm mk 34 AAC","2016"
"Allen M Sumner(1962)-M","1","76mm Mk 31 Md1 AA VT","4800"
"Allen M Sumner(1962)-M","2","Mk-16 Mod6","8"
"Allen M Sumner(1962)-M","2","Mk-44","12"
"Allen M Sumner-M","0","127mm mk 32","1008"
"Allen M Sumner-M","0","127mm mk 34 AAC","2016"
"Allen M Sumner-M","1","20mm HE-T","5500"
"Allen M Sumner-M","1","40mm HE Mk1 Md1 x2","3000"
"Allen M Sumner-M","2","Mk-15 Mod0","15"
"Allen M Sumner-M","2","Mk-9 DC","50"
"Alpinist AGIM-1-M","0","9M32 Strela 2","32"
"Amatsukaze 1965-M","0","RIM-24B","40"
"Amatsukaze 1965-M","1","76mm Mk 27 Md1 HC","800"
"Amatsukaze 1965-M","2","Hedgehog","40"
"Amatsukaze 1967-M","0","RIM-24C","40"
"Amatsukaze 1967-M","1","76mm Mk 27 Md1 HC","800"
"Amatsukaze 1967-M","2","Mk-44","12"
"Amatsukaze 1969-M","0","RIM-66A","40"
"Amatsukaze 1969-M","1","76mm Mk 27 Md1 HC","800"
"Amatsukaze 1969-M","2","Mk-44","12"
"Amatsukaze 1973-M","0","RIM-66B","40"
"Amatsukaze 1973-M","1","76mm Mk 27 Md1 HC","800"
"Amatsukaze 1973-M","2","Mk-44","12"
"Amatsukaze 1978-M","0","RIM-66B","40"
"Amatsukaze 1978-M","1","76mm Mk 27 Md1 HC","800"
"Amatsukaze 1978-M","2","Mk-44","12"
"Amatsukaze 1980-M","0","RIM-66C","40"
"Amatsukaze 1980-M","1","76mm Mk 27 Md1 HC","800"
"Amatsukaze 1980-M","2","Mk-46 Mod5","12"
"Amatsukaze 1985-M","0","RIM-66E","40"
"Amatsukaze 1985-M","1","76mm Mk 27 Md1 HC","800"
"Amatsukaze 1985-M","2","Mk-46 Mod5","12"
"Asagiri 1988-M","0","RIM-7P(v1)","16"
"Asagiri 1988-M","1","76mm HE-MOM","240"
"Asagiri 1988-M","2","20mm Mark 149-4","970"
"Asagiri 1988-M","3","120 gallon tank","2"
"Asagiri 1988-M","3","Chaff-1","75"
"Asagiri 1988-M","3","DICASS (85) Sonobuoy","135"
"Asagiri 1988-M","3","DIFAR (85) Sonobuoy","405"
"Asagiri 1988-M","3","Flare-1","75"
"Asagiri 1988-M","3","Fuel","56117"
"Asagiri 1988-M","3","LOFAR (85) Sonobuoy","135"
"Asagiri 1988-M","3","Mk-46 Mod5","32"
"Asagiri 1992-M","0","RIM-7P(v1)","16"
"Asagiri 1992-M","1","76mm HE-MOM","240"
"Asagiri 1992-M","2","20mm Mark 149-4","970"
"Asagiri 1992-M","3","120 gallon tank","2"
"Asagiri 1992-M","3","Chaff-1","75"
"Asagiri 1992-M","3","DICASS (90) Sonobuoy","135"
"Asagiri 1992-M","3","DIFAR (90) Sonobuoy","405"
"Asagiri 1992-M","3","Flare-1","75"
"Asagiri 1992-M","3","Fuel","56117"
"Asagiri 1992-M","3","LOFAR (90) Sonobuoy","135"
"Asagiri 1992-M","3","Mk-46 Mod5","32"
"Asagiri 1994-M","0","RIM-7P(v1)","16"
"Asagiri 1994-M","1","76mm HE-MOM","240"
"Asagiri 1994-M","2","20mm Mark 149-4","970"
"Asagiri 1994-M","3","120 gallon tank","2"
"Asagiri 1994-M","3","Chaff-1","75"
"Asagiri 1994-M","3","DICASS (90) Sonobuoy","135"
"Asagiri 1994-M","3","DIFAR (90) Sonobuoy","405"
"Asagiri 1994-M","3","Flare-1","75"
"Asagiri 1994-M","3","Fuel","56117"
"Asagiri 1994-M","3","LOFAR (90) Sonobuoy","135"
"Asagiri 1994-M","3","Mk-46 Mod5","32"
"Asagiri 1997-M","0","RIM-7P(v1)","16"
"Asagiri 1997-M","1","76mm HE-MOM","240"
"Asagiri 1997-M","2","20mm Mark 149-4","970"
"Asagiri 1997-M","3","120 gallon tank","2"
"Asagiri 1997-M","3","Chaff-1","75"
"Asagiri 1997-M","3","DICASS (95) Sonobuoy","135"
"Asagiri 1997-M","3","DIFAR (95) Sonobuoy","405"
"Asagiri 1997-M","3","Flare-1","75"
"Asagiri 1997-M","3","Fuel","56117"
"Asagiri 1997-M","3","LOFAR (95) Sonobuoy","135"
"Asagiri 1997-M","3","Mk-46 Mod5","32"
"Asagiri 2002-M","0","RIM-7P(v1)","16"
"Asagiri 2002-M","1","76mm HE-MOM","240"
"Asagiri 2002-M","2","20mm Mark 149-4","970"
"Asagiri 2002-M","3","120 gallon tank","2"
"Asagiri 2002-M","3","Chaff-1","75"
"Asagiri 2002-M","3","DICASS (100) Sonobuoy","135"
"Asagiri 2002-M","3","DIFAR (100) Sonobuoy","405"
"Asagiri 2002-M","3","Flare-1","75"
"Asagiri 2002-M","3","Fuel","56117"
"Asagiri 2002-M","3","LOFAR (100) Sonobuoy","135"
"Asagiri 2002-M","3","Mk-46 Mod5","32"
"Asagiri 2006-M","0","RIM-162D","32"
"Asagiri 2006-M","1","76mm HE-MOM","240"
"Asagiri 2006-M","2","20mm Mark 149-4","970"
"Asagiri 2006-M","3","120 gallon tank","2"
"Asagiri 2006-M","3","Chaff-1","75"
"Asagiri 2006-M","3","DICASS (100) Sonobuoy","135"
"Asagiri 2006-M","3","DIFAR (100) Sonobuoy","405"
"Asagiri 2006-M","3","Flare-1","75"
"Asagiri 2006-M","3","Fuel","56117"
"Asagiri 2006-M","3","LOFAR (100) Sonobuoy","135"
"Asagiri 2006-M","3","Mk-46 Mod5","32"
"Asagiri 2007-M","0","RIM-162D","32"
"Asagiri 2007-M","1","76mm HE-MOM","240"
"Asagiri 2007-M","2","20mm Mark 149-4","970"
"Asagiri 2007-M","3","120 gallon tank","2"
"Asagiri 2007-M","3","Chaff-1","75"
"Asagiri 2007-M","3","DICASS (105) Sonobuoy","135"
"Asagiri 2007-M","3","DIFAR (105) Sonobuoy","405"
"Asagiri 2007-M","3","Flare-1","75"
"Asagiri 2007-M","3","Fuel","56117"
"Asagiri 2007-M","3","LOFAR (105) Sonobuoy","135"
"Asagiri 2007-M","3","Mk-46 Mod5","32"
"Asagiri 2012-M","0","RIM-162D","32"
"Asagiri 2012-M","1","76mm HE-MOM","240"
"Asagiri 2012-M","2","20mm Mark 149-4","970"
"Asagiri 2012-M","3","120 gallon tank","2"
"Asagiri 2012-M","3","Chaff-1","75"
"Asagiri 2012-M","3","DICASS (110) Sonobuoy","135"
"Asagiri 2012-M","3","DIFAR (110) Sonobuoy","405"
"Asagiri 2012-M","3","Flare-1","75"
"Asagiri 2012-M","3","Fuel","56117"
"Asagiri 2012-M","3","LOFAR (110) Sonobuoy","135"
"Asagiri 2012-M","3","Mk-46 Mod5","32"
"Asashio 1966-M","0","Mk-14 Mod3","8"
"Asashio 1966-M","0","Mk-37","4"
"Asashio 1970-M","0","Mk-37","12"
"Asashio 1984-M","0","Mk-37","4"
"Asashio 1984-M","0","Type-80 Torpedo","8"
"Atago 2007-M","0","RIM-162A","64"
"Atago 2007-M","0","RIM-66M","56"
"Atago 2007-M","0","RUM-139 Mod4 ASROC","24"
"Atago 2007-M","1","127mm mk 127 HE-CVT mk 67","680"
"Atago 2007-M","2","20mm mark 244-0 ELC","970"
"Atago 2007-M","3","120 gallon tank","2"
"Atago 2007-M","3","Chaff-1","75"
"Atago 2007-M","3","DICASS (105) Sonobuoy","135"
"Atago 2007-M","3","DIFAR (105) Sonobuoy","405"
"Atago 2007-M","3","Flare-1","75"
"Atago 2007-M","3","Fuel","56117"
"Atago 2007-M","3","LOFAR (105) Sonobuoy","135"
"Atago 2007-M","3","Mk-46 Mod5","32"
"Atago 2012-M","0","RIM-162A","64"
"Atago 2012-M","0","RIM-66M","56"
"Atago 2012-M","0","RUM-139 Mod4 ASROC","24"
"Atago 2012-M","1","127mm mk 127 HE-CVT mk 67","680"
"Atago 2012-M","2","20mm mark 244-0 ELC","970"
"Atago 2012-M","3","120 gallon tank","2"
"Atago 2012-M","3","Chaff-1","75"
"Atago 2012-M","3","DICASS (110) Sonobuoy","135"
"Atago 2012-M","3","DIFAR (110) Sonobuoy","405"
"Atago 2012-M","3","Flare-1","75"
"Atago 2012-M","3","Fuel","56117"
"Atago 2012-M","3","LOFAR (110) Sonobuoy","135"
"Atago 2012-M","3","Mk-46 Mod5","32"
"Austin LPD 1964-M","0",".50 cal bullet","36000"
"Austin LPD 1964-M","0","25mm APDS","8000"
"Austin LPD 1964-M","1","20mm mark 244-0 ELC","1046"
"Avenger 1987-M","0",".50 cal bullet","12000"
"Ayanami 1958-M","0","76mm Mk 27 Md1 HC","800"
"Ayanami 1958-M","1","Mk-44","12"
"Ayanami 1958-M","2","Hedgehog","30"
"Ayanami 1958-M","2","Mk-9 DC","100"
"Ayanami 1965-M","0","76mm Mk 27 Md1 HC","800"
"Ayanami 1965-M","1","Mk-44","12"
"Ayanami 1965-M","2","Hedgehog","30"
"Ayanami 1965-M","2","Mk-9 DC","100"
"Ayanami 1981-M","0","76mm Mk 27 Md1 HC","800"
"Ayanami 1981-M","1","Mk-46 Mod5","12"
"Ayanami 1981-M","2","Hedgehog","30"
"Ayanami 1981-M","2","Mk-9 DC","100"
"Baleares 1973-M","0","RIM-66A","15"
"Baleares 1973-M","1","127mm mk 41 AAC","500"
"Baleares 1973-M","2","Mk-46 Mod5","12"
"Baleares 1973-M","3","Mk-37 Mod3","6"
"Baleares 1981-M","0","RIM-66B","15"
"Baleares 1981-M","1","127mm mk 41 AAC","500"
"Baleares 1981-M","2","Mk-46 Mod5","12"
"Baleares 1981-M","3","Mk-37 Mod3","6"
"Baleares 1983-M","0","RIM-66E","15"
"Baleares 1983-M","1","127mm mk 41 AAC","500"
"Baleares 1983-M","2","Mk-46 Mod5","12"
"Baleares 1983-M","3","Mk-37 Mod3","6"
"Baleares 1985-M","0","RIM-66E","15"
"Baleares 1985-M","1","20mm Meroka APDS-T","1200"
"Baleares 1985-M","2","127mm mk 41 AAC","500"
"Baleares 1985-M","3","Mk-46 Mod5","12"
"Baleares 1985-M","4","Mk-37 Mod3","6"
"Baptista de Andrade FSH-1-M","0","100mm OEA F1 HE","600"
"Baptista de Andrade FSH-1-M","1","40 mm L70 HE x5","1000"
"Baptista de Andrade FSH-1-M","2","Mk-46 Mod5","12"
"Baptiste de Andrade FSH(1999)-1-M","0","100mm OEA F1 HE","600"
"Baptiste de Andrade FSH(1999)-1-M","1","40 mm L70 HE x5","1000"
"Baptiste de Andrade FSH(1999)-1-M","2","Mk-46 Mod5","12"
"Belknap 64-M","0","RIM-2F","48"
"Belknap 64-M","0","RUR-5 ASROC","10"
"Belknap 64-M","1","127mm mk 41 AAC","350"
"Belknap 64-M","1","127mm mk 41 HC","150"
"Belknap 64-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 64-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 64-M","3","DICASS (60) Sonobuoy","105"
"Belknap 64-M","3","DIFAR (60) Sonobuoy","315"
"Belknap 64-M","3","Fuel","21698.46"
"Belknap 64-M","3","LOFAR (60) Sonobuoy","105"
"Belknap 64-M","3","Mk-44","18"
"Belknap 67-M","0","RIM-2F","48"
"Belknap 67-M","0","RUR-5 ASROC","10"
"Belknap 67-M","1","127mm mk 41 AAC","350"
"Belknap 67-M","1","127mm mk 41 HC","150"
"Belknap 67-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 67-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 67-M","3","DICASS (65) Sonobuoy","105"
"Belknap 67-M","3","DIFAR (65) Sonobuoy","315"
"Belknap 67-M","3","Fuel","21698.46"
"Belknap 67-M","3","LOFAR (65) Sonobuoy","105"
"Belknap 67-M","3","Mk-44","18"
"Belknap 68-M","0","RIM-67A","48"
"Belknap 68-M","0","RUR-5 ASROC","10"
"Belknap 68-M","1","127mm mk 41 AAC","350"
"Belknap 68-M","1","127mm mk 41 HC","150"
"Belknap 68-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 68-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 68-M","3","DICASS (65) Sonobuoy","105"
"Belknap 68-M","3","DIFAR (65) Sonobuoy","315"
"Belknap 68-M","3","Fuel","21698.46"
"Belknap 68-M","3","LOFAR (65) Sonobuoy","105"
"Belknap 68-M","3","Mk-44","18"
"Belknap 70-M","0","RIM-67A","48"
"Belknap 70-M","0","RUR-5 ASROC","10"
"Belknap 70-M","1","127mm mk 41 AAC","350"
"Belknap 70-M","1","127mm mk 41 HC","150"
"Belknap 70-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 70-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 70-M","3","DICASS (65) Sonobuoy","105"
"Belknap 70-M","3","DIFAR (65) Sonobuoy","315"
"Belknap 70-M","3","Fuel","21698.46"
"Belknap 70-M","3","LOFAR (65) Sonobuoy","105"
"Belknap 70-M","3","Mk-46 Mod5","18"
"Belknap 72-M","0","RIM-67A","48"
"Belknap 72-M","0","RUR-5 ASROC","10"
"Belknap 72-M","1","127mm mk 41 AAC","350"
"Belknap 72-M","1","127mm mk 41 HC","150"
"Belknap 72-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 72-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 72-M","3","DICASS (70) Sonobuoy","105"
"Belknap 72-M","3","DIFAR (70) Sonobuoy","315"
"Belknap 72-M","3","Fuel","21698.46"
"Belknap 72-M","3","LOFAR (70) Sonobuoy","105"
"Belknap 72-M","3","Mk-46 Mod5","18"
"Belknap 77-M","0","RIM-67A","48"
"Belknap 77-M","0","RUR-5 ASROC","10"
"Belknap 77-M","1","127mm mk 41 AAC","350"
"Belknap 77-M","1","127mm mk 41 HC","150"
"Belknap 77-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 77-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 77-M","3","DICASS (75) Sonobuoy","105"
"Belknap 77-M","3","DIFAR (75) Sonobuoy","315"
"Belknap 77-M","3","Fuel","21698.46"
"Belknap 77-M","3","LOFAR (75) Sonobuoy","105"
"Belknap 77-M","3","Mk-46 Mod5","18"
"Belknap 82-M","0","RIM-67A","48"
"Belknap 82-M","0","RUR-5 ASROC","10"
"Belknap 82-M","1","127mm mk 41 AAC","350"
"Belknap 82-M","1","127mm mk 41 HC","150"
"Belknap 82-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 82-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 82-M","3","DICASS (80) Sonobuoy","105"
"Belknap 82-M","3","DIFAR (80) Sonobuoy","315"
"Belknap 82-M","3","Fuel","21698.46"
"Belknap 82-M","3","LOFAR (80) Sonobuoy","105"
"Belknap 82-M","3","Mk-46 Mod5","18"
"Belknap 87-M","0","RIM-67A","48"
"Belknap 87-M","0","RUR-5 ASROC","10"
"Belknap 87-M","1","127mm mk 41 AAC","350"
"Belknap 87-M","1","127mm mk 41 HC","150"
"Belknap 87-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 87-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 87-M","3","DICASS (85) Sonobuoy","105"
"Belknap 87-M","3","DIFAR (85) Sonobuoy","315"
"Belknap 87-M","3","Fuel","21698.46"
"Belknap 87-M","3","LOFAR (85) Sonobuoy","105"
"Belknap 87-M","3","Mk-46 Mod5","18"
"Belknap 92-M","0","RIM-67A","48"
"Belknap 92-M","0","RUR-5 ASROC","10"
"Belknap 92-M","1","127mm mk 41 AAC","350"
"Belknap 92-M","1","127mm mk 41 HC","150"
"Belknap 92-M","2","76mm Mk 27 Md1 HC","2400"
"Belknap 92-M","2","76mm Mk 31 Md1 AA VT","5600"
"Belknap 92-M","3","DICASS (90) Sonobuoy","105"
"Belknap 92-M","3","DIFAR (90) Sonobuoy","315"
"Belknap 92-M","3","Fuel","21698.46"
"Belknap 92-M","3","LOFAR (90) Sonobuoy","105"
"Belknap 92-M","3","Mk-46 Mod5","18"
"Belknap NTU 87-M","0","RIM-67D","48"
"Belknap NTU 87-M","0","RUR-5 ASROC","10"
"Belknap NTU 87-M","1","127mm mk 41 AAC","350"
"Belknap NTU 87-M","1","127mm mk 41 HC","150"
"Belknap NTU 87-M","2","20mm Mark 149-4","1046"
"Belknap NTU 87-M","3","DICASS (85) Sonobuoy","105"
"Belknap NTU 87-M","3","DIFAR (85) Sonobuoy","315"
"Belknap NTU 87-M","3","Fuel","21698.46"
"Belknap NTU 87-M","3","LOFAR (85) Sonobuoy","105"
"Belknap NTU 87-M","3","Mk-46 Mod5","18"
"Belknap NTU 91-M","0","RIM-67D","48"
"Belknap NTU 91-M","0","RUR-5 ASROC","10"
"Belknap NTU 91-M","1","127mm mk 41 AAC","350"
"Belknap NTU 91-M","1","127mm mk 41 HC","150"
"Belknap NTU 91-M","2","20mm Mark 149-4","1046"
"Belknap NTU 91-M","3","DICASS (85) Sonobuoy","105"
"Belknap NTU 91-M","3","DIFAR (85) Sonobuoy","315"
"Belknap NTU 91-M","3","Fuel","21698.46"
"Belknap NTU 91-M","3","LOFAR (85) Sonobuoy","105"
"Belknap NTU 91-M","3","Mk-46 Mod5","16"
"Belknap NTU 91-M","3","Mk-50","2"
"Belknap NTU 92-M","0","RIM-67D","48"
"Belknap NTU 92-M","0","RUR-5 ASROC","10"
"Belknap NTU 92-M","1","127mm mk 41 AAC","350"
"Belknap NTU 92-M","1","127mm mk 41 HC","150"
"Belknap NTU 92-M","2","20mm Mark 149-4","1046"
"Belknap NTU 92-M","3","DICASS (90) Sonobuoy","105"
"Belknap NTU 92-M","3","DIFAR (90) Sonobuoy","315"
"Belknap NTU 92-M","3","Fuel","21698.46"
"Belknap NTU 92-M","3","LOFAR (90) Sonobuoy","105"
"Belknap NTU 92-M","3","Mk-46 Mod5","16"
"Belknap NTU 92-M","3","Mk-50","2"
"Belknap NTU 93-M","0","RIM-67D","48"
"Belknap NTU 93-M","0","RUR-5 ASROC","10"
"Belknap NTU 93-M","1","127mm mk 41 AAC","350"
"Belknap NTU 93-M","1","127mm mk 41 HC","150"
"Belknap NTU 93-M","2","20mm Mark 149-4","1046"
"Belknap NTU 93-M","3","DICASS (90) Sonobuoy","105"
"Belknap NTU 93-M","3","DIFAR (90) Sonobuoy","315"
"Belknap NTU 93-M","3","Fuel","21698.46"
"Belknap NTU 93-M","3","LOFAR (90) Sonobuoy","105"
"Belknap NTU 93-M","3","Mk-46 Mod5","14"
"Belknap NTU 93-M","3","Mk-50","4"
"Blue Ridge 1970-M","0","25mm APDS","8000"
"Blue Ridge 1970-M","1","20mm mark 244-0 ELC","1046"
"Blue Ridge 1970-M","2","Fuel","50000"
"Brandenburg FFGHM 1994-M","0","Fuel","23700"
"Brandenburg FFGHM 1994-M","0","Mk-46 Mod5","29"
"Brandenburg FFGHM 1994-M","0","Sea Skua","16"
"Brandenburg FFGHM 1994-M","1","76mm HE-MOM","240"
"Brandenburg FFGHM 1994-M","2","RIM-116A RAM","42"
"Brandenburg FFGHM 1994-M","3","20mm Rh202 HE-T","1000"
"Brandenburg FFGHM 1994-M","4","RIM-7P(v2)","15"
"Brandenburg FFGHM 2000-M","0","Fuel","23700"
"Brandenburg FFGHM 2000-M","0","Mk-46 Mod5","29"
"Brandenburg FFGHM 2000-M","0","Sea Skua","16"
"Brandenburg FFGHM 2000-M","1","76mm HE-MOM","240"
"Brandenburg FFGHM 2000-M","2","RIM-116B RAM","42"
"Brandenburg FFGHM 2000-M","3","20mm Rh202 HE-T","1000"
"Brandenburg FFGHM 2000-M","4","RIM-7P(v2)","15"
"Braunschweig 2008-M","1","RIM-116B RAM","84"
"Braunschweig 2008-M","2","76mm HE-MOM","240"
"Braunschweig 2008-M","3","27mm DM10 FAPDS","1000"
"Bremen FFGHM 1982-M","0","Fuel","11350"
"Bremen FFGHM 1982-M","0","Mk-46 Mod5","17"
"Bremen FFGHM 1982-M","0","Sea Skua","4"
"Bremen FFGHM 1982-M","1","76mm HE-MOM","220"
"Bremen FFGHM 1993-M","0","Fuel","11350"
"Bremen FFGHM 1993-M","0","Mk-46 Mod5","17"
"Bremen FFGHM 1993-M","0","Sea Skua","4"
"Bremen FFGHM 1993-M","1","76mm HE-MOM","220"
"Bremen FFGHM 1993-M","2","RIM-116A RAM","42"
"Bremen FFGHM 2000-M","0","Fuel","11350"
"Bremen FFGHM 2000-M","0","Mk-46 Mod5","17"
"Bremen FFGHM 2000-M","0","Sea Skua","4"
"Bremen FFGHM 2000-M","1","76mm HE-MOM","220"
"Bremen FFGHM 2000-M","2","RIM-116B RAM","42"
"Bristol Bloodhound MKI-1-M","0","Bloodhound mk1","64"
"Bristol Bloodhound MKII-1-M","0","Bloodhound mk2","64"
"Buk 9M38-M","0","9M38","48"
"Buk 9M38M1-M","0","9M38M1","48"
"Burke 1991-M","0","Fuel","28058"
"Burke 1991-M","0","Mk-46 Mod5","12"
"Burke 1991-M","1","BGM-109 TASM","8"
"Burke 1991-M","1","BGM-109 TLAM","30"
"Burke 1991-M","1","RIM-66M","40"
"Burke 1991-M","1","RUM-139 Mod4 ASROC","12"
"Burke 1991-M","2","127mm mk 127 HE-CVT mk 67","680"
"Burke 1991-M","3","20mm mark 244-0 ELC","1046"
"Burke 1993-M","0","Fuel","28058"
"Burke 1993-M","0","Mk-46 Mod5","12"
"Burke 1993-M","1","BGM-109 TASM","8"
"Burke 1993-M","1","BGM-109 TLAM","30"
"Burke 1993-M","1","RIM-66M","40"
"Burke 1993-M","1","RUM-139 Mod4 ASROC","12"
"Burke 1993-M","2","127mm mk 127 HE-CVT mk 67","680"
"Burke 1993-M","3","20mm mark 244-0 ELC","1046"
"Burke 1995-M","0","Fuel","28058"
"Burke 1995-M","0","Mk-46 Mod5","12"
"Burke 1995-M","1","BGM-109 TLAM","30"
"Burke 1995-M","1","RIM-156","8"
"Burke 1995-M","1","RIM-66M","40"
"Burke 1995-M","1","RUM-139 Mod4 ASROC","12"
"Burke 1995-M","2","127mm mk 127 HE-CVT mk 67","680"
"Burke 1995-M","3","20mm mark 244-0 ELC","1046"
"Burke 2000-M","0","Fuel","28058"
"Burke 2000-M","0","Mk-46 Mod5","12"
"Burke 2000-M","1","BGM-109 TLAM","30"
"Burke 2000-M","1","RIM-156","8"
