DatabaseClass text primary key,MaxRange_m real,ProbDetonate real,IsPenetration integer,BlastCharge_kg real,FragCharge_kg real,RadCharge_kg real,FragMetal_kg real,FragFragment_kg real,FragSpread real
"Nuclear-2000kT","39117.31074","0.9","0","2200000000","0","1000000000","0","0","1"
"Nuclear-2100kT","39694.08357","0.9","0","2310000000","0","1050000000","0","0","1"
"Nuclear-2200kT","40251.93805","0.9","0","2420000000","0","1100000000","0","0","1"
"Nuclear-2300kT","40792.31402","0.9","0","2530000000","0","1150000000","0","0","1"
"Nuclear-2400kT","41316.48472","0.9","0","2640000000","0","1200000000","0","0","1"
"Nuclear-2500kT","41825.5821","0.9","0","2750000000","0","1250000000","0","0","1"
"Nuclear-2600kT","42320.61749","0.9","0","2860000000","0","1300000000","0","0","1"
"Nuclear-2700kT","42802.49849","0.9","0","2970000000","0","1350000000","0","0","1"
"Nuclear-2800kT","43272.04307","0.9","0","3080000000","0","1400000000","0","0","1"
"Nuclear-2900kT","43729.99128","0.9","0","3190000000","0","1450000000","0","0","1"
"Nuclear-3000kT","44177.01501","0.9","0","3300000000","0","1500000000","0","0","1"
"Nuclear-3100kT","44613.72639","0.9","0","3410000000","0","1550000000","0","0","1"
"Nuclear-3200kT","45040.68479","0.9","0","3520000000","0","1600000000","0","0","1"
"Nuclear-3300kT","45458.40288","0.9","0","3630000000","0","1650000000","0","0","1"
"Nuclear-3400kT","45867.3518","0.9","0","3740000000","0","1700000000","0","0","1"
"Nuclear-3500kT","46267.96567","0.9","0","3850000000","0","1750000000","0","0","1"
"Nuclear-3600kT","46660.6454","0.9","0","3960000000","0","1800000000","0","0","1"
"Nuclear-3700kT","47045.76215","0.9","0","4070000000","0","1850000000","0","0","1"
"Nuclear-3800kT","47423.66022","0.9","0","4180000000","0","1900000000","0","0","1"
"Nuclear-3900kT","47794.65966","0.9","0","4290000000","0","1950000000","0","0","1"
"Nuclear-4000kT","48159.05858","0.9","0","4400000000","0","2000000000","0","0","1"
"Nuclear-4100kT","48517.13512","0.9","0","4510000000","0","2050000000","0","0","1"
"Nuclear-4200kT","48869.14924","0.9","0","4620000000","0","2100000000","0","0","1"
"Nuclear-4300kT","49215.34434","0.9","0","4730000000","0","2150000000","0","0","1"
"Nuclear-4400kT","49555.94865","0.9","0","4840000000","0","2200000000","0","0","1"
"Nuclear-4500kT","49891.17652","0.9","0","4950000000","0","2250000000","0","0","1"
"Nuclear-4600kT","50221.22951","0.9","0","5060000000","0","2300000000","0","0","1"
"Nuclear-4700kT","50546.29745","0.9","0","5170000000","0","2350000000","0","0","1"
"Nuclear-4800kT","50866.55934","0.9","0","5280000000","0","2400000000","0","0","1"
"Nuclear-4900kT","51182.18418","0.9","0","5390000000","0","2450000000","0","0","1"
"Nuclear-5000kT","51493.33174","0.9","0","5500000000","0","2500000000","0","0","1"
"Nuclear-5200kT","52102.79179","0.9","0","5720000000","0","2600000000","0","0","1"
"Nuclear-5400kT","52696.05689","0.9","0","5940000000","0","2700000000","0","0","1"
"Nuclear-5600kT","53274.13408","0.9","0","6160000000","0","2800000000","0","0","1"
"Nuclear-5800kT","53837.93445","0.9","0","6380000000","0","2900000000","0","0","1"
"Nuclear-6000kT","54388.28523","0.9","0","6600000000","0","3000000000","0","0","1"
"Nuclear-6200kT","54925.94","0.9","0","6820000000","0","3100000000","0","0","1"
"Nuclear-6400kT","55451.58745","0.9","0","7040000000","0","3200000000","0","0","1"
"Nuclear-6600kT","55965.85874","0.9","0","7260000000","0","3300000000","0","0","1"
"Nuclear-6800kT","56469.33393","0.9","0","7480000000","0","3400000000","0","0","1"
"Nuclear-7000kT","56962.54745","0.9","0","7700000000","0","3500000000","0","0","1"
"Nuclear-7200kT","57445.99291","0.9","0","7920000000","0","3600000000","0","0","1"
"Nuclear-7400kT","57920.12724","0.9","0","8140000000","0","3700000000","0","0","1"
"Nuclear-7600kT","58385.37434","0.9","0","8360000000","0","3800000000","0","0","1"
"Nuclear-7800kT","58842.12823","0.9","0","8580000000","0","3900000000","0","0","1"
"Nuclear-8000kT","59290.75593","0.9","0","8800000000","0","4000000000","0","0","1"
"Nuclear-8200kT","59731.59985","0.9","0","9020000000","0","4100000000","0","0","1"
"Nuclear-8400kT","60164.98007","0.9","0","9240000000","0","4200000000","0","0","1"
"Nuclear-8600kT","60591.19623","0.9","0","9460000000","0","4300000000","0","0","1"
"Nuclear-8800kT","61010.52933","0.9","0","9680000000","0","4400000000","0","0","1"
"Nuclear-9000kT","61423.24325","0.9","0","9900000000","0","4500000000","0","0","1"
"Nuclear-9200kT","61829.58614","0.9","0","10120000000","0","4600000000","0","0","1"
"Nuclear-9400kT","62229.79172","0.9","0","10340000000","0","4700000000","0","0","1"
"Nuclear-9600kT","62624.08036","0.9","0","10560000000","0","4800000000","0","0","1"
"Nuclear-9800kT","63012.66012","0.9","0","10780000000","0","4900000000","0","0","1"
"Nuclear-10000kT","63395.7277","0.9","0","11000000000","0","5000000000","0","0","1"
"Nuclear-10250kT","63867.09327","0.9","0","11275000000","0","5125000000","0","0","1"
"Nuclear-10500kT","64330.47839","0.9","0","11550000000","0","5250000000","0","0","1"
"Nuclear-10750kT","64786.20346","0.9","0","11825000000","0","5375000000","0","0","1"
"Nuclear-11000kT","65234.56892","0.9","0","12100000000","0","5500000000","0","0","1"
"Nuclear-11250kT","65675.85692","0.9","0","12375000000","0","5625000000","0","0","1"
"Nuclear-11500kT","66110.3328","0.9","0","12650000000","0","5750000000","0","0","1"
"Nuclear-11750kT","66538.24645","0.9","0","12925000000","0","5875000000","0","0","1"
"Nuclear-12000kT","66959.83351","0.9","0","13200000000","0","6000000000","0","0","1"
"Nuclear-12250kT","67375.31644","0.9","0","13475000000","0","6125000000","0","0","1"
"Nuclear-12500kT","67784.90555","0.9","0","13750000000","0","6250000000","0","0","1"
"Nuclear-12750kT","68188.79985","0.9","0","14025000000","0","6375000000","0","0","1"
"Nuclear-13000kT","68587.1879","0.9","0","14300000000","0","6500000000","0","0","1"
"Nuclear-13250kT","68980.24854","0.9","0","14575000000","0","6625000000","0","0","1"
"Nuclear-13500kT","69368.15153","0.9","0","14850000000","0","6750000000","0","0","1"
"Nuclear-13750kT","69751.05821","0.9","0","15125000000","0","6875000000","0","0","1"
"Nuclear-14000kT","70129.12206","0.9","0","15400000000","0","7000000000","0","0","1"
"Nuclear-14250kT","70502.48919","0.9","0","15675000000","0","7125000000","0","0","1"
"Nuclear-14500kT","70871.29883","0.9","0","15950000000","0","7250000000","0","0","1"
"Nuclear-14750kT","71235.68379","0.9","0","16225000000","0","7375000000","0","0","1"
"Nuclear-15000kT","71595.7708","0.9","0","16500000000","0","7500000000","0","0","1"
"Nuclear-15250kT","71951.68094","0.9","0","16775000000","0","7625000000","0","0","1"
"Nuclear-15500kT","72303.52998","0.9","0","17050000000","0","7750000000","0","0","1"
"Nuclear-15750kT","72651.42863","0.9","0","17325000000","0","7875000000","0","0","1"
"Nuclear-16000kT","72995.48292","0.9","0","17600000000","0","8000000000","0","0","1"
"Nuclear-16250kT","73335.79442","0.9","0","17875000000","0","8125000000","0","0","1"
"Nuclear-16500kT","73672.4605","0.9","0","18150000000","0","8250000000","0","0","1"
"Nuclear-16750kT","74005.57456","0.9","0","18425000000","0","8375000000","0","0","1"
"Nuclear-17000kT","74335.22627","0.9","0","18700000000","0","8500000000","0","0","1"
"Nuclear-17250kT","74661.50175","0.9","0","18975000000","0","8625000000","0","0","1"
"Nuclear-17500kT","74984.48377","0.9","0","19250000000","0","8750000000","0","0","1"
"Nuclear-17750kT","75304.25192","0.9","0","19525000000","0","8875000000","0","0","1"
"Nuclear-18000kT","75620.88277","0.9","0","19800000000","0","9000000000","0","0","1"
"Nuclear-18250kT","75934.45005","0.9","0","20075000000","0","9125000000","0","0","1"
"Nuclear-18500kT","76245.02477","0.9","0","20350000000","0","9250000000","0","0","1"
"Nuclear-18750kT","76552.67535","0.9","0","20625000000","0","9375000000","0","0","1"
"Nuclear-19000kT","76857.46777","0.9","0","20900000000","0","9500000000","0","0","1"
"Nuclear-19250kT","77159.46567","0.9","0","21175000000","0","9625000000","0","0","1"
"Nuclear-19500kT","77458.73047","0.9","0","21450000000","0","9750000000","0","0","1"
"Nuclear-19750kT","77755.32148","0.9","0","21725000000","0","9875000000","0","0","1"
"Nuclear-20000kT","78049.29599","0.9","0","22000000000","0","10000000000","0","0","1"
"Nuclear-20250kT","78340.70934","0.9","0","22275000000","0","10125000000","0","0","1"
"Nuclear-20500kT","78629.61508","0.9","0","22550000000","0","10250000000","0","0","1"
"Nuclear-20750kT","78916.06496","0.9","0","22825000000","0","10375000000","0","0","1"
"Nuclear-21000kT","79200.10908","0.9","0","23100000000","0","10500000000","0","0","1"
"Nuclear-21250kT","79481.79593","0.9","0","23375000000","0","10625000000","0","0","1"
"Nuclear-21500kT","79761.17246","0.9","0","23650000000","0","10750000000","0","0","1"
"Nuclear-21750kT","80038.28415","0.9","0","23925000000","0","10875000000","0","0","1"
"Nuclear-22000kT","80313.17509","0.9","0","24200000000","0","11000000000","0","0","1"
"Nuclear-22250kT","80585.88801","0.9","0","24475000000","0","11125000000","0","0","1"
"Nuclear-22500kT","80856.46434","0.9","0","24750000000","0","11250000000","0","0","1"
"Nuclear-22750kT","81124.9443","0.9","0","25025000000","0","11375000000","0","0","1"
"Nuclear-23000kT","81391.3669","0.9","0","25300000000","0","11500000000","0","0","1"
"Nuclear-23250kT","81655.77","0.9","0","25575000000","0","11625000000","0","0","1"
"Nuclear-23500kT","81918.1904","0.9","0","25850000000","0","11750000000","0","0","1"
"Nuclear-23750kT","82178.66381","0.9","0","26125000000","0","11875000000","0","0","1"
"Nuclear-24000kT","82437.22494","0.9","0","26400000000","0","12000000000","0","0","1"
"Nuclear-24250kT","82693.90755","0.9","0","26675000000","0","12125000000","0","0","1"
"Nuclear-24500kT","82948.74443","0.9","0","26950000000","0","12250000000","0","0","1"
"Nuclear-24750kT","83201.76749","0.9","0","27225000000","0","12375000000","0","0","1"
"Nuclear-25000kT","83453.00777","0.9","0","27500000000","0","12500000000","0","0","1"
"Nuclear-25250kT","83702.49547","0.9","0","27775000000","0","12625000000","0","0","1"
"Nuclear-25500kT","83950.25999","0.9","0","28050000000","0","12750000000","0","0","1"
"Nuclear-25750kT","84196.32995","0.9","0","28325000000","0","12875000000","0","0","1"
"Nuclear-26000kT","84440.73322","0.9","0","28600000000","0","13000000000","0","0","1"
"Nuclear-26250kT","84683.49695","0.9","0","28875000000","0","13125000000","0","0","1"
"Nuclear-26500kT","84924.64762","0.9","0","29150000000","0","13250000000","0","0","1"
"Nuclear-26750kT","85164.21099","0.9","0","29425000000","0","13375000000","0","0","1"
"Nuclear-27000kT","85402.21221","0.9","0","29700000000","0","13500000000","0","0","1"
"Nuclear-27250kT","85638.6758","0.9","0","29975000000","0","13625000000","0","0","1"
"Nuclear-27500kT","85873.62564","0.9","0","30250000000","0","13750000000","0","0","1"
"Nuclear-27750kT","86107.08507","0.9","0","30525000000","0","13875000000","0","0","1"
"Nuclear-28000kT","86339.07684","0.9","0","30800000000","0","14000000000","0","0","1"
"Nuclear-28250kT","86569.62315","0.9","0","31075000000","0","14125000000","0","0","1"
"Nuclear-28500kT","86798.74569","0.9","0","31350000000","0","14250000000","0","0","1"
"Nuclear-28750kT","87026.46563","0.9","0","31625000000","0","14375000000","0","0","1"
"Nuclear-29000kT","87252.80363","0.9","0","31900000000","0","14500000000","0","0","1"
"Nuclear-29250kT","87477.77988","0.9","0","32175000000","0","14625000000","0","0","1"
"Nuclear-29500kT","87701.41412","0.9","0","32450000000","0","14750000000","0","0","1"
"Nuclear-29750kT","87923.72563","0.9","0","32725000000","0","14875000000","0","0","1"
"Nuclear-30000kT","88144.73324","0.9","0","33000000000","0","15000000000","0","0","1"
"Nuclear-30250kT","88364.45537","0.9","0","33275000000","0","15125000000","0","0","1"
"Nuclear-30500kT","88582.91003","0.9","0","33550000000","0","15250000000","0","0","1"
"Nuclear-30750kT","88800.11483","0.9","0","33825000000","0","15375000000","0","0","1"
"Nuclear-31000kT","89016.087","0.9","0","34100000000","0","15500000000","0","0","1"
"Nuclear-31250kT","89230.84338","0.9","0","34375000000","0","15625000000","0","0","1"
"Nuclear-31500kT","89444.40048","0.9","0","34650000000","0","15750000000","0","0","1"
"Nuclear-31750kT","89656.77442","0.9","0","34925000000","0","15875000000","0","0","1"
"Nuclear-32000kT","89867.981","0.9","0","35200000000","0","16000000000","0","0","1"
"Nuclear-32250kT","90078.03568","0.9","0","35475000000","0","16125000000","0","0","1"
"Nuclear-32500kT","90286.9536","0.9","0","35750000000","0","16250000000","0","0","1"
"Nuclear-32750kT","90494.74959","0.9","0","36025000000","0","16375000000","0","0","1"
"Nuclear-33000kT","90701.43816","0.9","0","36300000000","0","16500000000","0","0","1"
"Nuclear-33250kT","90907.03355","0.9","0","36575000000","0","16625000000","0","0","1"
"Nuclear-33500kT","91111.54968","0.9","0","36850000000","0","16750000000","0","0","1"
"Nuclear-33750kT","91315.00022","0.9","0","37125000000","0","16875000000","0","0","1"
"Nuclear-34000kT","91517.39854","0.9","0","37400000000","0","17000000000","0","0","1"
"Nuclear-34250kT","91718.75777","0.9","0","37675000000","0","17125000000","0","0","1"
"Nuclear-34500kT","91919.09078","0.9","0","37950000000","0","17250000000","0","0","1"
"Nuclear-34750kT","92118.41016","0.9","0","38225000000","0","17375000000","0","0","1"
"Nuclear-35000kT","92316.72828","0.9","0","38500000000","0","17500000000","0","0","1"
"Nuclear-35250kT","92514.05728","0.9","0","38775000000","0","17625000000","0","0","1"
"Nuclear-35500kT","92710.40905","0.9","0","39050000000","0","17750000000","0","0","1"
"Nuclear-35750kT","92905.79526","0.9","0","39325000000","0","17875000000","0","0","1"
"Nuclear-36000kT","93100.22736","0.9","0","39600000000","0","18000000000","0","0","1"
"Nuclear-36250kT","93293.71658","0.9","0","39875000000","0","18125000000","0","0","1"
"Nuclear-36500kT","93486.27396","0.9","0","40150000000","0","18250000000","0","0","1"
"Nuclear-36750kT","93677.91032","0.9","0","40425000000","0","18375000000","0","0","1"
"Nuclear-37000kT","93868.63629","0.9","0","40700000000","0","18500000000","0","0","1"
