DatabaseClass text,LauncherId numeric,Item text,Quantity numeric
"A-10A CS2 1980-L","3","GBU-1/B","2"
"A-10A CS2 1980-L","4","AGM-65B","2"
"A-10A CS2 1980-L","5","Hydra-70 rocket","38"
"A-10A CS2 1980-L","6","",""
"A-10A CS2 1980-L","7","Chaff-1","30"
"A-10A CS2 1980-L","8","Flare-1","30"
"A-10A CS2 1984-L","0","30mm PGU-14/B API","82"
"A-10A CS2 1984-L","1","AIM-9M","2"
"A-10A CS2 1984-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2 1984-L","3","GBU-1/B","2"
"A-10A CS2 1984-L","4","AGM-65B","2"
"A-10A CS2 1984-L","5","Hydra-70 rocket","38"
"A-10A CS2 1984-L","6","",""
"A-10A CS2 1984-L","7","Chaff-1","30"
"A-10A CS2 1984-L","8","Flare-1","30"
"A-10A CS2 1986-L","0","30mm PGU-14/B API","82"
"A-10A CS2 1986-L","1","AIM-9M","2"
"A-10A CS2 1986-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2 1986-L","3","GBU-1/B","2"
"A-10A CS2 1986-L","4","AGM-65D","2"
"A-10A CS2 1986-L","5","Hydra-70 rocket","38"
"A-10A CS2 1986-L","6","",""
"A-10A CS2 1986-L","7","Chaff-1","30"
"A-10A CS2 1986-L","8","Flare-1","30"
"A-10A CS2 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS2 2004-L","1","AIM-9X","2"
"A-10A CS2 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2 2004-L","3","GBU-1/B","2"
"A-10A CS2 2004-L","4","AGM-65D","2"
"A-10A CS2 2004-L","5","Hydra-70 rocket","38"
"A-10A CS2 2004-L","6","",""
"A-10A CS2 2004-L","7","Chaff-1","30"
"A-10A CS2 2004-L","8","Flare-1","30"
"A-10A CS2E 1977-L","0","30mm PGU-14/B API","82"
"A-10A CS2E 1977-L","1","AIM-9J","2"
"A-10A CS2E 1977-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2E 1977-L","3","GBU-1/B","2"
"A-10A CS2E 1977-L","4","AGM-65B","2"
"A-10A CS2E 1977-L","5","Hydra-70 rocket","38"
"A-10A CS2E 1977-L","6","600 gallon tank","1"
"A-10A CS2E 1977-L","7","Chaff-1","30"
"A-10A CS2E 1977-L","8","Flare-1","30"
"A-10A CS2E 1980-L","0","30mm PGU-14/B API","82"
"A-10A CS2E 1980-L","1","AIM-9L","2"
"A-10A CS2E 1980-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2E 1980-L","3","GBU-1/B","2"
"A-10A CS2E 1980-L","4","AGM-65B","2"
"A-10A CS2E 1980-L","5","Hydra-70 rocket","38"
"A-10A CS2E 1980-L","6","600 gallon tank","1"
"A-10A CS2E 1980-L","7","Chaff-1","30"
"A-10A CS2E 1980-L","8","Flare-1","30"
"A-10A CS2E 1984-L","0","30mm PGU-14/B API","82"
"A-10A CS2E 1984-L","1","AIM-9M","2"
"A-10A CS2E 1984-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2E 1984-L","3","GBU-1/B","2"
"A-10A CS2E 1984-L","4","AGM-65B","2"
"A-10A CS2E 1984-L","5","Hydra-70 rocket","38"
"A-10A CS2E 1984-L","6","600 gallon tank","1"
"A-10A CS2E 1984-L","7","Chaff-1","30"
"A-10A CS2E 1984-L","8","Flare-1","30"
"A-10A CS2E 1986-L","0","30mm PGU-14/B API","82"
"A-10A CS2E 1986-L","1","AIM-9M","2"
"A-10A CS2E 1986-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2E 1986-L","3","GBU-1/B","2"
"A-10A CS2E 1986-L","4","AGM-65D","2"
"A-10A CS2E 1986-L","5","Hydra-70 rocket","38"
"A-10A CS2E 1986-L","6","600 gallon tank","1"
"A-10A CS2E 1986-L","7","Chaff-1","30"
"A-10A CS2E 1986-L","8","Flare-1","30"
"A-10A CS2E 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS2E 2004-L","1","AIM-9X","2"
"A-10A CS2E 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2E 2004-L","3","GBU-1/B","2"
"A-10A CS2E 2004-L","4","AGM-65D","2"
"A-10A CS2E 2004-L","5","Hydra-70 rocket","38"
"A-10A CS2E 2004-L","6","600 gallon tank","1"
"A-10A CS2E 2004-L","7","Chaff-1","30"
"A-10A CS2E 2004-L","8","Flare-1","30"
"A-10A CS3 1984-L","0","30mm PGU-14/B API","82"
"A-10A CS3 1984-L","1","AIM-9M","2"
"A-10A CS3 1984-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS3 1984-L","3","GBU-12/B","2"
"A-10A CS3 1984-L","4","AGM-65B","2"
"A-10A CS3 1984-L","5","Hydra-70 rocket","38"
"A-10A CS3 1984-L","6","",""
"A-10A CS3 1984-L","7","Chaff-1","30"
"A-10A CS3 1984-L","8","Flare-1","30"
"A-10A CS3 1986-L","0","30mm PGU-14/B API","82"
"A-10A CS3 1986-L","1","AIM-9M","2"
"A-10A CS3 1986-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS3 1986-L","3","GBU-12/B","2"
"A-10A CS3 1986-L","4","AGM-65D","2"
"A-10A CS3 1986-L","5","Hydra-70 rocket","38"
"A-10A CS3 1986-L","6","",""
"A-10A CS3 1986-L","7","Chaff-1","30"
"A-10A CS3 1986-L","8","Flare-1","30"
"A-10A CS3 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS3 2004-L","1","AIM-9X","2"
"A-10A CS3 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS3 2004-L","3","GBU-12/B","2"
"A-10A CS3 2004-L","4","AGM-65D","2"
"A-10A CS3 2004-L","5","Hydra-70 rocket","38"
"A-10A CS3 2004-L","6","",""
"A-10A CS3 2004-L","7","Chaff-1","30"
"A-10A CS3 2004-L","8","Flare-1","30"
"A-10A CS3E 1984-L","0","30mm PGU-14/B API","82"
"A-10A CS3E 1984-L","1","AIM-9M","2"
"A-10A CS3E 1984-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS3E 1984-L","3","GBU-12/B","2"
"A-10A CS3E 1984-L","4","AGM-65B","2"
"A-10A CS3E 1984-L","5","Hydra-70 rocket","38"
"A-10A CS3E 1984-L","6","600 gallon tank","1"
"A-10A CS3E 1984-L","7","Chaff-1","30"
"A-10A CS3E 1984-L","8","Flare-1","30"
"A-10A CS3E 1986-L","0","30mm PGU-14/B API","82"
"A-10A CS3E 1986-L","1","AIM-9M","2"
"A-10A CS3E 1986-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS3E 1986-L","3","GBU-12/B","2"
"A-10A CS3E 1986-L","4","AGM-65D","2"
"A-10A CS3E 1986-L","5","Hydra-70 rocket","38"
"A-10A CS3E 1986-L","6","600 gallon tank","1"
"A-10A CS3E 1986-L","7","Chaff-1","30"
"A-10A CS3E 1986-L","8","Flare-1","30"
"A-10A CS3E 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS3E 2004-L","1","AIM-9X","2"
"A-10A CS3E 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS3E 2004-L","3","GBU-12/B","2"
"A-10A CS3E 2004-L","4","AGM-65D","2"
"A-10A CS3E 2004-L","5","Hydra-70 rocket","38"
"A-10A CS3E 2004-L","6","600 gallon tank","1"
"A-10A CS3E 2004-L","7","Chaff-1","30"
"A-10A CS3E 2004-L","8","Flare-1","30"
"A-10A CS4 2001-L","0","30mm PGU-14/B API","82"
"A-10A CS4 2001-L","1","AIM-9M","2"
"A-10A CS4 2001-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS4 2001-L","3","GBU-39 SDB","6"
"A-10A CS4 2001-L","4","AGM-65D","2"
"A-10A CS4 2001-L","5","Hydra-70 rocket","38"
"A-10A CS4 2001-L","6","",""
"A-10A CS4 2001-L","7","Chaff-1","30"
"A-10A CS4 2001-L","8","Flare-1","30"
"A-10A CS4 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS4 2004-L","1","AIM-9X","2"
"A-10A CS4 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS4 2004-L","3","GBU-39 SDB","6"
"A-10A CS4 2004-L","4","AGM-65D","2"
"A-10A CS4 2004-L","5","Hydra-70 rocket","38"
"A-10A CS4 2004-L","6","",""
"A-10A CS4 2004-L","7","Chaff-1","30"
"A-10A CS4 2004-L","8","Flare-1","30"
"A-10A CS4E 2001-L","0","30mm PGU-14/B API","82"
"A-10A CS4E 2001-L","1","AIM-9M","2"
"A-10A CS4E 2001-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS4E 2001-L","3","GBU-39 SDB","6"
"A-10A CS4E 2001-L","4","AGM-65D","2"
"A-10A CS4E 2001-L","5","Hydra-70 rocket","38"
"A-10A CS4E 2001-L","6","600 gallon tank","1"
"A-10A CS4E 2001-L","7","Chaff-1","30"
"A-10A CS4E 2001-L","8","Flare-1","30"
"A-10A CS4E 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS4E 2004-L","1","AIM-9X","2"
"A-10A CS4E 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS4E 2004-L","3","GBU-39 SDB","6"
"A-10A CS4E 2004-L","4","AGM-65D","2"
"A-10A CS4E 2004-L","5","Hydra-70 rocket","38"
"A-10A CS4E 2004-L","6","600 gallon tank","1"
"A-10A CS4E 2004-L","7","Chaff-1","30"
"A-10A CS4E 2004-L","8","Flare-1","30"
"A-10A GB1 2001-L","0","30mm PGU-14/B API","82"
"A-10A GB1 2001-L","1","AIM-9M","2"
"A-10A GB1 2001-L","2","GBU-39 SDB","6"
"A-10A GB1 2001-L","3","GBU-39 SDB","6"
"A-10A GB1 2001-L","4","GBU-39 SDB","6"
"A-10A GB1 2001-L","5","GBU-39 SDB","12"
"A-10A GB1 2001-L","6","",""
"A-10A GB1 2001-L","7","Chaff-1","30"
"A-10A GB1 2001-L","8","Flare-1","30"
"A-10A GB1 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB1 2004-L","1","AIM-9X","2"
"A-10A GB1 2004-L","2","GBU-39 SDB","6"
"A-10A GB1 2004-L","3","GBU-39 SDB","6"
"A-10A GB1 2004-L","4","GBU-39 SDB","6"
"A-10A GB1 2004-L","5","GBU-39 SDB","12"
"A-10A GB1 2004-L","6","",""
"A-10A GB1 2004-L","7","Chaff-1","30"
"A-10A GB1 2004-L","8","Flare-1","30"
"A-10A GB1E 2001-L","0","30mm PGU-14/B API","82"
"A-10A GB1E 2001-L","1","AIM-9M","2"
"A-10A GB1E 2001-L","2","GBU-39 SDB","2"
"A-10A GB1E 2001-L","3","GBU-39 SDB","6"
"A-10A GB1E 2001-L","4","GBU-39 SDB","6"
"A-10A GB1E 2001-L","5","GBU-39 SDB","6"
"A-10A GB1E 2001-L","6","600 gallon tank","1"
"A-10A GB1E 2001-L","7","Chaff-1","30"
"A-10A GB1E 2001-L","8","Flare-1","30"
"A-10A GB1E 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB1E 2004-L","1","AIM-9X","2"
"A-10A GB1E 2004-L","2","GBU-39 SDB","2"
"A-10A GB1E 2004-L","3","GBU-39 SDB","6"
"A-10A GB1E 2004-L","4","GBU-39 SDB","6"
"A-10A GB1E 2004-L","5","GBU-39 SDB","6"
"A-10A GB1E 2004-L","6","600 gallon tank","1"
"A-10A GB1E 2004-L","7","Chaff-1","30"
"A-10A GB1E 2004-L","8","Flare-1","30"
"A-10A GB2 2002-L","0","30mm PGU-14/B API","82"
"A-10A GB2 2002-L","1","AIM-9M","2"
"A-10A GB2 2002-L","2","GBU-30","6"
"A-10A GB2 2002-L","3","GBU-32C(v)4","2"
"A-10A GB2 2002-L","4","GBU-32C(v)4","2"
"A-10A GB2 2002-L","5","GBU-32C(v)4","2"
"A-10A GB2 2002-L","6","",""
"A-10A GB2 2002-L","7","Chaff-1","30"
"A-10A GB2 2002-L","8","Flare-1","30"
"A-10A GB2 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB2 2004-L","1","AIM-9X","2"
"A-10A GB2 2004-L","2","GBU-30","2"
"A-10A GB2 2004-L","3","GBU-32C(v)4","2"
"A-10A GB2 2004-L","4","GBU-32C(v)4","2"
"A-10A GB2 2004-L","5","GBU-32C(v)4","2"
"A-10A GB2 2004-L","6","",""
"A-10A GB2 2004-L","7","Chaff-1","30"
"A-10A GB2 2004-L","8","Flare-1","30"
"A-10A GB2E 2002-L","0","30mm PGU-14/B API","82"
"A-10A GB2E 2002-L","1","AIM-9M","2"
"A-10A GB2E 2002-L","2","GBU-30","2"
"A-10A GB2E 2002-L","3","",""
"A-10A GB2E 2002-L","4","GBU-32C(v)4","2"
"A-10A GB2E 2002-L","5","GBU-32C(v)4","2"
"A-10A GB2E 2002-L","6","600 gallon tank","1"
"A-10A GB2E 2002-L","7","Chaff-1","30"
"A-10A GB2E 2002-L","8","Flare-1","30"
"A-10A GB2E 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB2E 2004-L","1","AIM-9X","2"
"A-10A GB2E 2004-L","2","GBU-30","2"
"A-10A GB2E 2004-L","3","",""
"A-10A GB2E 2004-L","4","GBU-32C(v)4","2"
"A-10A GB2E 2004-L","5","GBU-32C(v)4","2"
"A-10A GB2E 2004-L","6","600 gallon tank","1"
"A-10A GB2E 2004-L","7","Chaff-1","30"
"A-10A GB2E 2004-L","8","Flare-1","30"
"A-10A GB3 2002-L","0","30mm PGU-14/B API","82"
"A-10A GB3 2002-L","1","AIM-9M","2"
"A-10A GB3 2002-L","2","GBU-30","2"
"A-10A GB3 2002-L","3","",""
"A-10A GB3 2002-L","4","GBU-31C(v)4","2"
"A-10A GB3 2002-L","5","GBU-31C(v)4","2"
"A-10A GB3 2002-L","6","",""
"A-10A GB3 2002-L","7","Chaff-1","30"
"A-10A GB3 2002-L","8","Flare-1","30"
"A-10A GB3 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB3 2004-L","1","AIM-9X","2"
"A-10A GB3 2004-L","2","GBU-30","2"
"A-10A GB3 2004-L","3","",""
"A-10A GB3 2004-L","4","GBU-31C(v)4","2"
"A-10A GB3 2004-L","5","GBU-31C(v)4","2"
"A-10A GB3 2004-L","6","",""
"A-10A GB3 2004-L","7","Chaff-1","30"
"A-10A GB3 2004-L","8","Flare-1","30"
"A-10A GB3E 2002-L","0","30mm PGU-14/B API","82"
"A-10A GB3E 2002-L","1","AIM-9M","2"
"A-10A GB3E 2002-L","2","GBU-30","2"
"A-10A GB3E 2002-L","3","",""
"A-10A GB3E 2002-L","4","",""
"A-10A GB3E 2002-L","5","GBU-31C(v)4","2"
"A-10A GB3E 2002-L","6","600 gallon tank","1"
"A-10A GB3E 2002-L","7","Chaff-1","30"
"A-10A GB3E 2002-L","8","Flare-1","30"
"A-10A GB3E 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB3E 2004-L","1","AIM-9X","2"
"A-10A GB3E 2004-L","2","GBU-30","2"
"A-10A GB3E 2004-L","3","",""
"A-10A GB3E 2004-L","4","",""
"A-10A GB3E 2004-L","5","GBU-31C(v)4","2"
"A-10A GB3E 2004-L","6","600 gallon tank","1"
"A-10A GB3E 2004-L","7","Chaff-1","30"
"A-10A GB3E 2004-L","8","Flare-1","30"
"A-10A GB4 1983-L","0","30mm PGU-14/B API","82"
"A-10A GB4 1983-L","1","AIM-9L","2"
"A-10A GB4 1983-L","2","",""
"A-10A GB4 1983-L","3","",""
"A-10A GB4 1983-L","4","GBU-24B/B","2"
"A-10A GB4 1983-L","5","GBU-24B/B","2"
"A-10A GB4 1983-L","6","",""
"A-10A GB4 1983-L","7","Chaff-1","30"
"A-10A GB4 1983-L","8","Flare-1","30"
"A-10A GB4 1984-L","0","30mm PGU-14/B API","82"
"A-10A GB4 1984-L","1","AIM-9M","2"
"A-10A GB4 1984-L","2","",""
"A-10A GB4 1984-L","3","",""
"A-10A GB4 1984-L","4","GBU-24B/B","2"
"A-10A GB4 1984-L","5","GBU-24B/B","2"
"A-10A GB4 1984-L","6","",""
"A-10A GB4 1984-L","7","Chaff-1","30"
"A-10A GB4 1984-L","8","Flare-1","30"
"A-10A GB4 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB4 2004-L","1","AIM-9X","2"
"A-10A GB4 2004-L","2","",""
"A-10A GB4 2004-L","3","",""
"A-10A GB4 2004-L","4","GBU-24B/B","2"
"A-10A GB4 2004-L","5","GBU-24B/B","2"
"A-10A GB4 2004-L","6","",""
"A-10A GB4 2004-L","7","Chaff-1","30"
"A-10A GB4 2004-L","8","Flare-1","30"
"A-10A GB4E 1983-L","0","30mm PGU-14/B API","82"
"A-10A GB4E 1983-L","1","AIM-9L","2"
"A-10A GB4E 1983-L","2","",""
"A-10A GB4E 1983-L","3","",""
"A-10A GB4E 1983-L","4","",""
"A-10A GB4E 1983-L","5","GBU-24B/B","2"
"A-10A GB4E 1983-L","6","600 gallon tank","1"
"A-10A GB4E 1983-L","7","Chaff-1","30"
"A-10A GB4E 1983-L","8","Flare-1","30"
"A-10A GB4E 1984-L","0","30mm PGU-14/B API","82"
"A-10A GB4E 1984-L","1","AIM-9M","2"
"A-10A GB4E 1984-L","2","",""
"A-10A GB4E 1984-L","3","",""
"A-10A GB4E 1984-L","4","",""
"A-10A GB4E 1984-L","5","GBU-24B/B","2"
"A-10A GB4E 1984-L","6","600 gallon tank","1"
"A-10A GB4E 1984-L","7","Chaff-1","30"
"A-10A GB4E 1984-L","8","Flare-1","30"
"A-10A GB4E 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB4E 2004-L","1","AIM-9X","2"
"A-10A GB4E 2004-L","2","",""
"A-10A GB4E 2004-L","3","",""
"A-10A GB4E 2004-L","4","",""
"A-10A GB4E 2004-L","5","GBU-24B/B","2"
"A-10A GB4E 2004-L","6","600 gallon tank","1"
"A-10A GB4E 2004-L","7","Chaff-1","30"
"A-10A GB4E 2004-L","8","Flare-1","30"
"A-10A GB5 1983-L","0","30mm PGU-14/B API","82"
"A-10A GB5 1983-L","1","AIM-9L","2"
"A-10A GB5 1983-L","2","",""
"A-10A GB5 1983-L","3","",""
"A-10A GB5 1983-L","4","GBU-24/B","2"
"A-10A GB5 1983-L","5","GBU-24/B","2"
"A-10A GB5 1983-L","6","",""
"A-10A GB5 1983-L","7","Chaff-1","30"
"A-10A GB5 1983-L","8","Flare-1","30"
"A-10A GB5 1984-L","0","30mm PGU-14/B API","82"
"A-10A GB5 1984-L","1","AIM-9M","2"
"A-10A GB5 1984-L","2","",""
"A-10A GB5 1984-L","3","",""
"A-10A GB5 1984-L","4","GBU-24/B","2"
"A-10A GB5 1984-L","5","GBU-24/B","2"
"A-10A GB5 1984-L","6","",""
"A-10A GB5 1984-L","7","Chaff-1","30"
"A-10A GB5 1984-L","8","Flare-1","30"
"A-10A GB5 2004-L","0","30mm PGU-14/B API","82"
"A-10A GB5 2004-L","1","AIM-9X","2"
"A-10A GB5 2004-L","2","",""
