DatabaseClass text,ChildClass text,ChildCapacity numeric,LoadTime_s numeric,CycleTime_s numeric
"100mm/56 Type-79A Twin-mount","100mm ZS-58 AA","26","30","2.4"
"100mm/56 Type-79A Twin-mount","100mm ZS-58P AA","26","30","2.4"
"100mm/56 Type-79A Twin-mount","RBU-6000","26","30","2.4"
"100mm/70 (3.9in) CM-5 Turret","100mm F-55 HE","2","7.3","0.2"
"100mm/70 (3.9in) CM-5 Turret","100mm OF-55 FRAG","2","7.3","0.2"
"100mm/70 (3.9in) CM-5 Turret","100mm ZS-55P AA","2","7.3","0.2"
"105mm generic Arty cannon","Gen105ART","40","240","9"
"105mm generic tank cannon","Gen105AT","40","240","6"
"114mm/43(4.5in) Mark 6","114mm/53 mk6 AA","16","12","2.5"
"114mm/43(4.5in) Mark 6","114mm/53 mk6 HE","16","12","2.5"
"114mm/43(4.5in) Mark 6","114mm/53 mk6 SAP","16","12","2.5"
"114mm/55(4.5in) Mark 8 Mod 0","114mm N4A1 HE","16","16","2"
"114mm/55(4.5in) Mark 8 Mod 0","114mm N4A1 HE(AA fuse)","16","16","2"
"114mm/55(4.5in) Mark 8 Mod 0","114mm N4A1 HE-ER","16","16","2"
"114mm/55(4.5in) Mark 8 Mod 0","114mm N4A1 HE-ER(AA fuse)","16","16","2"
"114mm/55(4.5in) Mark 8 Mod 1","114mm N4A1 HE","1","2.4","0"
"114mm/55(4.5in) Mark 8 Mod 1","114mm N4A1 HE(AA fuse)","1","2.4","0"
"114mm/55(4.5in) Mark 8 Mod 1","114mm N4A1 HE-ER","1","2.4","0"
"114mm/55(4.5in) Mark 8 Mod 1","114mm N4A1 HE-ER(AA fuse)","1","2.4","0"
"115 Buoy Launcher","*buoy","115","3450","10"
"115 DICASS Launcher","*DICASS*","115","3450","10"
"115 DICASS Launcher","*buoy","115","3450","10"
"115 DIFAR Launcher","*DIFAR*","115","3450","10"
"115 DIFAR Launcher","*buoy","115","3450","10"
"115 LOFAR Launcher","*LOFAR*","115","3450","10"
"115 LOFAR Launcher","*buoy","115","3450","10"
"12 Buoy Launcher","*buoy","12","360","10"
"12 DICASS Launcher","*DICASS*","12","360","10"
"12 DICASS Launcher","*buoy","12","360","10"
"12 DIFAR Launcher","*DIFAR*","12","360","10"
"12 DIFAR Launcher","*buoy","12","360","10"
"12 LOFAR Launcher","*LOFAR*","12","360","10"
"12 LOFAR Launcher","*buoy","12","360","10"
"12.7 mm (0.5in) Degtjarev DShK M38 Heavy Machine Gun","12.7mm B-30 AP","17","19","0.3"
"12.7 mm (0.5in) Degtjarev DShK M38 Heavy Machine Gun","12.7mm B-32 APi","17","19","0.3"
"12.7 mm Machine Gun Generic","12.7mm B-30 AP","34","19","0.3"
"127 mm/54 (5in) Compact","127mm mk 127 HE-CVT EX-175","20","20","2.7273"
"127 mm/54 (5in) Compact","127mm mk 127 HE-CVT mk 67","20","20","2.7273"
"127 mm/54 (5in) Compact","127mm mk 80 HE-PD EX-175","20","20","1.5"
"127 mm/54 (5in) Compact","127mm mk 80 HE-PD mk 67","20","20","1.5"
"127 mm/54 (5in) LW","127mm mk 127 HE-CVT EX-175","20","20","2.7273"
"127 mm/54 (5in) LW","127mm mk 127 HE-CVT mk 67","20","20","2.7273"
"127 mm/54 (5in) LW","127mm mk 80 HE-PD EX-175","20","20","2"
"127 mm/54 (5in) LW","127mm mk 80 HE-PD mk 67","20","20","2"
"127mm/54 (5in) Mk42","127mm mk 41 AAC","40","50","1.765"
"127mm/54 (5in) Mk42","127mm mk 41 HC","40","50","1.765"
"12cm/50(4.7in) Model 1950","12cm/50 Mdl50 HE","20","6","1.426"
"130 mm/58 (5.1in) Twin Barrell","130mm F-44 HE","100","70","3.75"
"130 mm/58 (5.1in) Twin Barrell","130mm ZS-44 AA","100","70","3.75"
"130 mm/58 (5.1in) Twin Barrell","130mm ZS-44P AA","100","70","3.75"
"130 mm/58 (5.1in) Type 76","130mm OF-42 HE-FRAG","2","6.7","0.667"
"130 mm/58 (5.1in) Type 76","130mm PB-42 SAP","2","6.7","0.667"
"130 mm/58 (5.1in) Type 76","130mm ZS-42P AA","2","6.7","0.667"
"130 mm/70 (5.1in) AK-130 Twin Barrel","130mm F-44 HE","100","50","1.5"
"130 mm/70 (5.1in) AK-130 Twin Barrel","130mm ZS-44 AA","100","50","1.5"
"130 mm/70 (5.1in) AK-130 Twin Barrel","130mm ZS-44P AA","100","50","1.5"
"14 Buoy Launcher","*buoy","14","420","10"
"14 DICASS Launcher","*DICASS*","14","420","10"
"14 DICASS Launcher","*buoy","14","420","10"
"14 DIFAR Launcher","*DIFAR*","14","420","10"
"14 DIFAR Launcher","*buoy","14","420","10"
"14 LOFAR Launcher","*LOFAR*","14","420","10"
"14 LOFAR Launcher","*buoy","14","420","10"
"15 Buoy Launcher","*buoy","15","450","10"
"15 DICASS Launcher","*DICASS*","15","450","10"
"15 DICASS Launcher","*buoy","15","450","10"
"15 DIFAR Launcher","*DIFAR*","15","450","10"
"15 DIFAR Launcher","*buoy","15","450","10"
"15 LOFAR Launcher","*LOFAR*","15","450","10"
"15 LOFAR Launcher","*buoy","15","450","10"
"152mm/57 (6in) B-38 Pattern 1938 Mk5 Turret","152mm AP B-35","3","24","0.1"
"152mm/57 (6in) B-38 Pattern 1938 Mk5 Turret","152mm HE OF-35","3","24","0.1"
"152mm/57 (6in) B-38 Pattern 1938 Mk5 Turret","152mm SAP PB-35","3","24","0.1"
"155mm generic Arty cannon","Gen155ART","40","240","11"
"16 Buoy Launcher","*buoy","16","480","10"
"16 DICASS Launcher","*DICASS*","16","480","10"
"16 DICASS Launcher","*buoy","16","480","10"
"16 DIFAR Launcher","*DIFAR*","16","480","10"
"16 DIFAR Launcher","*buoy","16","480","10"
"16 LOFAR Launcher","*LOFAR*","16","480","10"
"16 LOFAR Launcher","*buoy","16","480","10"
"16in Triple Mk-7","406mm Mk13 HC","3","30","0.01"
"16in Triple Mk-7","406mm Mk8 AP","3","30","0.01"
"17 Buoy Launcher","*buoy","17","510","10"
"17 DICASS Launcher","*DICASS*","17","510","10"
"17 DICASS Launcher","*buoy","17","510","10"
"17 DIFAR Launcher","*DIFAR*","17","510","10"
"17 DIFAR Launcher","*buoy","17","510","10"
"17 LOFAR Launcher","*LOFAR*","17","510","10"
"17 LOFAR Launcher","*buoy","17","510","10"
"19 Buoy Launcher","*buoy","19","570","10"
"19 DICASS Launcher","*DICASS*","19","570","10"
"19 DICASS Launcher","*buoy","19","570","10"
"19 DIFAR Launcher","*DIFAR*","19","570","10"
"19 DIFAR Launcher","*buoy","19","570","10"
"19 LOFAR Launcher","*LOFAR*","19","570","10"
"19 LOFAR Launcher","*buoy","19","570","10"
"2 Buoy Launcher","*buoy","2","60","10"
"2 DICASS Launcher","*DICASS*","2","60","10"
"2 DICASS Launcher","*buoy","2","60","10"
"2 DIFAR Launcher","*DIFAR*","2","60","10"
"2 DIFAR Launcher","*buoy","2","60","10"
"2 LOFAR Launcher","*LOFAR*","2","60","10"
"2 LOFAR Launcher","*buoy","2","60","10"
"20 mm F2 Cannon","20mm F2","100","180","0.225"
"20 mm M621","20x102 mm burst","50","180","0.25"
"20 mm Mark 16","20mm APT percussion","96","11","0.28235"
"20 mm Mark 16","20mm HEI Electric","96","11","0.28235"
"20 mm Mark 16","20mm HEI Percussion","96","11","0.28235"
"20 mm Mk12 x4","20x110 mm","62","180","0.123"
"20 mm Mk12","20x110 mm","30","180","0.5"
"20mm Colt Mk-12 Cannon (125) x2","20x110 mm x2","36","600","0.21"
"20mm Colt Mk-12 Cannon (150)","20x110 mm","38","600","0.24"
"20mm Colt Mk-12 Cannon (200) x2","20x110 mm x2","57","600","0.21"
"20mm Colt Mk-12 Cannon (200)","20x110 mm","50","600","0.24"
"20mm Colt Mk-12 Cannon (400)","20x110 mm","100","600","0.24"
"20mm Colt Mk-12 Cannon (600)","20x110 mm","150","600","0.24"
"20mm Colt Mk-12 Cannon (65) x2","20x110 mm x2","19","600","0.21"
"20mm Hispano Cannon (120)","20mm HS.404","40","60","0.257143"
"20mm Hispano Cannon (150)","20mm HS.404","50","60","0.257143"
"20mm Hispano Cannon (190) x2","20mm HS.404 x2","76","60","0.2142857"
"20mm Hispano Cannon (190)","20mm HS.404","63","60","0.257143"
"20mm Hispano Cannon (235)","20mm HS.404","78","60","0.257143"
"20mm Hispano Cannon - Sea Venom","20mm HS.404","50","600","0.257143"
"20mm M197 Chain Gun Cobra","20mm M53 API","230","640","0.247"
"20mm M3 Hispano Twin Turret(1000)","20mm HS.404","333","600","0.257143"
"20mm Meroka CIWS","20mm Meroka APDS-T","120","540","0.25"
"20mm Rh 202","20mm Rh202 HE-T","50","180","0.24"
"20mm Sea Vulcan","20mm M53 API","230","640","0.247"
"20mm/70 Oerlikon Mk1/2/3/4 x10","20mm HE-T x10","50","100","0.375"
"20mm/70 Oerlikon Mk1/2/3/4 x2","20mm HE-T x2","50","100","0.375"
"20mm/70 Oerlikon Mk1/2/3/4","20mm HE-T","50","100","0.375"
"20mm/76 M-61A1 Gatling Mark 15 Block 0","20mm Mark 149-4","90","1200","0.22"
"20mm/76 M-61A1 Gatling Mark 15 Block 1","20mm Mark 149-4","141","1200","0.22"
"20mm/85  GAM-B01","20mm/85  GAM-B01 HE-I","50","45","0.2526"
"20mm/99 M-61A1 Gatling OGB Mark 15 Block 1A","20mm mark 244-0 ELC","97","300","0.2133"
"20mm/99 M-61A1 Gatling OGB Mark 15 Block 1B","20mm mark 244-0 ELC","97","300","0.2133"
"212-torpedoa","A-244S Mod1","1","300","1"
"212-torpedoa","A-244S","1","300","1"
"212-torpedob","A-244S Mod1","1","300","1"
"212-torpedob","A-244S","1","300","1"
"23mm AM/NR-23 Twin","23mm AM/NR-23 HEI x2","567","0","0.225"
"23mm AM/NR-23","23mm AM/NR-23 HEI","567","0","0.225"
"23mm GSh-23L","23mm GSh-23 HEI","15","0","0.21667"
"23mm Type 23","23mm AM/NR-23 HEI","67","0","0.225"
"24 Buoy Launcher","*buoy","24","720","10"
"24 DICASS Launcher","*DICASS*","24","720","10"
"24 DICASS Launcher","*buoy","24","720","10"
"24 DIFAR Launcher","*DIFAR*","24","720","10"
"24 DIFAR Launcher","*buoy","24","720","10"
"24 LOFAR Launcher","*LOFAR*","24","720","10"
"24 LOFAR Launcher","*buoy","24","720","10"
"25 mm MGS","25mm APDS","400","17","0.3"
"25 mm MGS","25mm APDS-T","400","17","0.3"
"25 mm MGS","25mm FAPDS-T","400","17","0.3"
"25 mm MGS","25mm HEI","400","17","0.3"
"25 mm MGS","25mm HEI-T","400","17","0.3"
"25 mm MGS","25mm SAPHEI","400","17","0.3"
"25 mm MGS","25mm SAPHEI-T","400","17","0.3"
"25mm/60(1in) Type 61","25mm HE-I-T","400","17","0.3"
"27 Buoy Launcher","*buoy","27","810","10"
"27 DICASS Launcher","*DICASS*","27","810","10"
"27 DICASS Launcher","*buoy","27","810","10"
"27 DIFAR Launcher","*DIFAR*","27","810","10"
"27 DIFAR Launcher","*buoy","27","810","10"
"27 LOFAR Launcher","*LOFAR*","27","810","10"
"27 LOFAR Launcher","*buoy","27","810","10"
"27mm MLG 27 Alphajet","27mm DM10 FAPDS","20","100","0.2333"
"27mm MLG 27","27mm DM10 FAPDS","90","180","0.2333"
"29 Buoy Launcher","*buoy","29","870","10"
"29 DICASS Launcher","*DICASS*","29","870","10"
"29 DICASS Launcher","*buoy","29","870","10"
"29 DIFAR Launcher","*DIFAR*","29","870","10"
"29 DIFAR Launcher","*buoy","29","870","10"
"29 LOFAR Launcher","*LOFAR*","29","870","10"
"29 LOFAR Launcher","*buoy","29","870","10"
"2K11 Krug-M Launcher","9M8M","2","1500","0"
"2K11 Krug-M1 Launcher","9M8M1","2","1500","0"
"2K11 Krug-M2 Launcher","9M8M2","2","1500","0"
"2K11 Krug-M3 Launcher","9M8M3","2","1500","0"
"2K12 Kub Launcher","3M9M","4","600","1"
"2K12-M1 Kub-M1 Launcher","3M9M1","4","600","1"
"2K12-M3 Kub-M3 Launcher","3M9M3","4","600","1"
"2K12-M4 Kub-M4 Launcher","3M9M4","4","600","1"
"2K12E Kvadrat Launcher","3M9M","4","600","1"
"3 HY-1","HY-1J","3","0","2"
"3/50 Mark 27 Twin","76mm Mk 27 Md1 HC","400","40","0.67"
"3/50 Mark 27 Twin","76mm Mk 31 Md1 AA VT","400","40","0.67"
"3/50 Mark 33","76mm Mk 27 Md1 HC","400","40","0.6"
"3/50 Mark 33","76mm Mk 31 Md1 AA VT","400","40","0.6"
"3/50 Mark 34","76mm Mk 27 Md1 HC","200","20","1.2"
"3/50 Mark 34","76mm Mk 31 Md1 AA VT","200","20","1.2"
"30 Buoy Launcher","*buoy","30","900","10"
"30 DICASS Launcher","*DICASS*","30","900","10"
"30 DICASS Launcher","*buoy","30","900","10"
"30 DIFAR Launcher","*DIFAR*","30","900","10"
"30 DIFAR Launcher","*buoy","30","900","10"
"30 LOFAR Launcher","*LOFAR*","30","900","10"
"30 LOFAR Launcher","*buoy","30","900","10"
"30 mm Bushmaster II Mark 46 Mod 1","30mm AP-I","100","35","0.48"
"30 mm Bushmaster II Mark 46 Mod 1","30mm APFSDS-T","100","35","0.48"
"30 mm Bushmaster II Mark 46 Mod 1","30mm HEI-T","100","35","0.48"
"30 mm Bushmaster II Mark 46 Mod 1","30mm SAPHEI-T","100","35","0.48"
"30 mm/54 (1.2in) AK-306 Twin Barrel","30mm OF-84 HE-FRAG AK-306","125","600","0.24"
"30 mm/54 (1.2in) AK-306 Twin Barrel","30mm OP-84 FRAG Tracer AK-306","125","600","0.24"
"30 mm/54 (1.2in) AK-630M Twin Barrel","30mm OF-84 HE-FRAG AK-630M","118","1200","0.204"
"30 mm/54 (1.2in) AK-630M Twin Barrel","30mm OP-84 FRAG Tracer AK-630M","118","1200","0.204"
"30 mm/54 (1.2in) AK-630M x 3","30mm OF-84 HE-FRAG AK-630M","354","30","0.4"
"30 mm/54 (1.2in) AK-630M x 3","30mm OP-84 FRAG Tracer AK-630M","354","30","0.4"
"30 mm/54 (1.2in) AK-630M x2","30mm OF-84 HE-FRAG AK-630M","236","30","0.6"
"30 mm/54 (1.2in) AK-630M x2","30mm OP-84 FRAG Tracer AK-630M","236","30","0.6"
"30 mm/54 (1.2in) AK-630M","30mm OF-84 HE-FRAG AK-630M","59","1200","0.408"
"30 mm/54 (1.2in) AK-630M","30mm OP-84 FRAG Tracer AK-630M","59","1200","0.408"
"30 mm/63 (1.2in) AK-230","30mm Br-83 AP","250","600","0.24"
"30 mm/63 (1.2in) AK-230","30mm F-33 HE","250","600","0.24"
"30 mm/63 (1.2in) AK-230","30mm OF-83 HE-FRAG","250","600","0.24"
"30 mm/92(1/2in) Type 730 CIWS","30mm Type 730","67","1200","0.214286"
"30mm Aden 150rnd","30mm ADEN API","38","30","0.2791"
"30mm GAU-8 Avenger","30mm PGU-14/B API","82","1200","0.2154"
"30mm M230 Chain Gun","30mm M230 Chaingun Ammo","1200","640","0.1"
"30mm NR-30 x2","30mm NR-30 HEI x2","23","0","0.24"
"30mm NR-30","30mm NR-30 HEI","20","0","0.27429"
"30mm NR-30(x2)(60)","30mm NR-30 HEI x2","60","0","0.24"
"30mm/75 GCM-AO3-2","30mm/75 GCM-AO3-2 APDS","83","120","0.2769"
"30mm/75 GCM-AO3-2","30mm/75 GCM-AO3-2 HE","83","120","0.2769"
"30mm/77 GAU-8/A Goalkeeper","30mm PGU-13/B HE-I","79","1200","0.2143"
"30mm/77 GAU-8/A Goalkeeper","30mm PGU-14/B API","79","1200","0.2413"
"324 mm Horizon Tube x 2","MU-90","2","600","3"
"324mm Torpedo Tube x 3 (Port)","Type-97 LWT","3","600","3"
"324mm Torpedo Tube x 3 (Port)","Yu-7","3","600","3"
"324mm Torpedo Tube x 3 (Stbd)","Type-97 LWT","3","600","3"
"324mm Torpedo Tube x 3 (Stbd)","Yu-7","3","600","3"
"324mm Torpedo Tube x3 (China)","Yu-7","3","600","3"
"35mm/1000 Millenium KDG GDM-008","Millenium 35mm AHEAD","200","1","0.1"
"36 Buoy Launcher","*buoy","36","1080","10"
"36 DICASS Launcher","*DICASS*","36","1080","10"
"36 DICASS Launcher","*buoy","36","1080","10"
"36 DIFAR Launcher","*DIFAR*","36","1080","10"
"36 DIFAR Launcher","*buoy","36","1080","10"
"36 LOFAR Launcher","*LOFAR*","36","1080","10"
"36 LOFAR Launcher","*buoy","36","1080","10"
"375mm Bofors ASRL","375 Bofors ASRL x4","2","180","1"
"37mm/63 Type-76A Twin-mount","37mm HE-FRAG","500","1800","0.3158"
"37mm/63(1.5in) Type 676","37mm Type 676 HE-FRAG","250","90","0.4"
"37mm/67 (1.5in) V-11 x2","37mm HE-FRAG Tracer x2","10","0.2","0.33333"
"37mm/67 (1.5in) V-11","37mm HE-FRAG Tracer","10","0.2","0.33333"
"38 Buoy Launcher","*buoy","38","1140","10"
"38 DICASS Launcher","*DICASS*","38","1140","10"
"38 DICASS Launcher","*buoy","38","1140","10"
"38 DIFAR Launcher","*DIFAR*","38","1140","10"
"38 DIFAR Launcher","*buoy","38","1140","10"
"38 LOFAR Launcher","*LOFAR*","38","1140","10"
"38 LOFAR Launcher","*buoy","38","1140","10"
"4 Buoy Launcher","*buoy","4","120","10"
"4 DICASS Launcher","*DICASS*","4","120","10"
"4 DICASS Launcher","*buoy","4","120","10"
"4 DIFAR Launcher","*DIFAR*","4","120","10"
"4 DIFAR Launcher","*buoy","4","120","10"
"4 LOFAR Launcher","*LOFAR*","4","120","10"
"4 LOFAR Launcher","*buoy","4","120","10"
"40 mm 2xL70 Bofors","40 mm L70 HE x5","24","6","0.5"
"406mm torpedo tube x2","SAET-40","2","30","2"
"406mm torpedo tube x2","SET-72","2","30","2"
"406mm torpedo tube x2","UMGT-1M","2","30","2"
"406mm torpedo tube","SAET-40","1","480","2"
"406mm torpedo tube","SET-72","1","480","2"
"406mm torpedo tube","UMGT-1M","1","480","2"
"406mm torpedo x2 tubes","SAET-40","2","30","2"
"406mm torpedo x2 tubes","SET-72","2","30","2"
"406mm torpedo x2 tubes","UMGT-1M","2","30","2"
"40mm Bofors Mk12 x2","40mm HE Mk1 Md1 x2","12","3","0.25"
"40mm Bofors Mk12 x8","40mm HE Mk1 Md1 x8","12","3","0.25"
"40mm Bofors Mk12","40mm HE Mk1 Md1","12","3","0.25"
"40mm L70 Sea Trinity","40mm HE-T","50","6","0.3636"
"40mm Twin Fast Forty","40mm PFHE x2","234","600","0.2667"
"40mm/56.3 QF Mk1","40mm HE-T","24","6","0.25"
"40mm/56.3 QF Mk1","40mm PFHE","24","6","0.25"
"40mm/56.3 QF Mk5 x2","40mm HE-T x2","24","6","0.25"
"40mm/56.3 QF Mk5 x2","40mm PFHE x2","24","6","0.25"
"41 Buoy Launcher","*buoy","41","1230","10"
"41 DICASS Launcher","*DICASS*","41","1230","10"
"41 DICASS Launcher","*buoy","41","1230","10"
"41 DIFAR Launcher","*DIFAR*","41","1230","10"
"41 DIFAR Launcher","*buoy","41","1230","10"
"41 LOFAR Launcher","*LOFAR*","41","1230","10"
"41 LOFAR Launcher","*buoy","41","1230","10"
"5 Buoy Launcher","*buoy","5","150","10"
"5 DICASS Launcher","*DICASS*","5","150","10"
"5 DICASS Launcher","*buoy","5","150","10"
"5 DIFAR Launcher","*DIFAR*","5","150","10"
"5 DIFAR Launcher","*buoy","5","150","10"
"5 LOFAR Launcher","*LOFAR*","5","150","10"
"5 LOFAR Launcher","*buoy","5","150","10"
"5/38 Mark 12 Twin","127mm mk 32","60","20","1.5"
"5/38 Mark 12 Twin","127mm mk 34 AAC","60","20","1.5"
"5/38 Mark 12","127mm mk 32","30","20","3"
"5/38 Mark 12","127mm mk 34 AAC","30","20","3"
"5/54 Mark 16","127mm mk 32","30","20","3"
"5/54 Mark 16","127mm mk 34 AAC","30","20","3"
"5/54 Mark 45 Mods 0 - 2","127mm mk 127 HE-CVT EX-175","20","20","2.7273"
"5/54 Mark 45 Mods 0 - 2","127mm mk 127 HE-CVT mk 67","20","20","2.7273"
"5/54 Mark 45 Mods 0 - 2","127mm mk 80 HE-PD EX-175","20","20","2"
"5/54 Mark 45 Mods 0 - 2","127mm mk 80 HE-PD mk 67","20","20","2"
"5/62 Mark 45 Mod 4","127mm mk 127 HE-CVT EX-175","20","20","2.7273"
"5/62 Mark 45 Mod 4","127mm mk 127 HE-CVT mk 67","20","20","2.7273"
"5/62 Mark 45 Mod 4","127mm mk 80 HE-PD EX-175","20","20","3"
"5/62 Mark 45 Mod 4","127mm mk 80 HE-PD mk 67","20","20","3"
"50 Buoy Launcher","*buoy","50","1500","10"
"50 DICASS Launcher","*DICASS*","50","1500","10"
"50 DICASS Launcher","*buoy","50","1500","10"
"50 DIFAR Launcher","*DIFAR*","50","1500","10"
"50 DIFAR Launcher","*buoy","50","1500","10"
"50 LOFAR Launcher","*LOFAR*","50","1500","10"
"50 LOFAR Launcher","*buoy","50","1500","10"
"533 mm Torpedo Tube Maestrale","A-184","1","600","3"
"533mm 636M Tube","3M54 Klub Alfa","1","480","2"
"533mm 636M Tube","3M54E Klub Alfa","1","480","2"
"533mm 636M Tube","53-65KE","1","480","2"
"533mm 636M Tube","TEST-71ME","1","480","2"
"533mm 688 Tube","Mk-37 Mod1","1","300","4"
"533mm 688 Tube","Mk-37 Mod3","1","300","4"
"533mm 688 Tube","Mk-48 Mod1/3/4","1","300","4"
"533mm 688 Tube","Mk-48 Mod5","1","300","4"
"533mm 688 Tube","Mk-48 Mod6","1","300","4"
"533mm 688 Tube","Mk-57 Mine","1","300","10"
"533mm 688 Tube","Mk-60 CAPTOR","1","300","10"
"533mm 688 Tube","Mk-67 SLMM","1","300","10"
"533mm 688 Tube","UGM-84A Harpoon","1","300","4"
"533mm 688 Tube","UGM-84C Harpoon","1","300","4"
"533mm 688 Tube","UUM-44A","1","300","10"
"533mm 877E tube","53-65KE","1","480","2"
"533mm 877E tube","TEST-71ME","1","480","2"
"533mm 877EKM tube","3M54E Klub Alfa","1","480","2"
"533mm 877EKM tube","53-65KE","1","480","2"
"533mm 877EKM tube","TEST-71ME","1","480","2"
"533mm B-515 Torpedo Launcher x3","MU-90","3","600","3"
"533mm B-515 Torpedo Launcher x3","Mk-15 Mod0","3","600","3"
"533mm B-515 Torpedo Launcher x3","Mk-44","3","600","3"
"533mm B-515 Torpedo Launcher x3","Mk-46 Mod5","3","600","3"
"533mm B-515 Torpedo Launcher x3","Mk-50","3","600","3"
"533mm B-515 Torpedo Launcher x3","Mk-54","3","600","3"
"533mm B-515 Torpedo Launcher x3","Stingray","3","600","3"
"533mm CM tube x3","MG-104 Decoy","2","999","2"
"533mm CM tube x3","MG-114 Decoy","2","999","2"
"533mm Charlie tube","53-65M","1","30","1"
"533mm Charlie tube","SET-65","1","30","1"
"533mm Collins Torpedo Tube","Mk-48 Mod6","1","480","2"
"533mm Collins Torpedo Tube","UGM-84D Harpoon","1","480","2"
"533mm Double Torpedo Tube","SET-65M","2","1200","2"
"533mm Double Torpedo Tube","Yu-6","2","1200","2"
"533mm French L Torp Tubes x3","L3 Mod2","3","360","4"
"533mm French L Torp Tubes x3","L3","3","360","4"
"533mm French L Torp Tubes x3","L5 Mod 4","3","360","4"
"533mm French L Torp Tubes x3","L5 Mod4","3","360","4"
"533mm French L Torp Tubes x5","L3 Mod2","5","600","4"
"533mm French L Torp Tubes x5","L3","5","600","4"
"533mm French L Torp Tubes x5","L5 Mod 4","5","600","4"
"533mm French L Torp Tubes x5","L5 Mod4","5","600","4"
"533mm French Torpedo Tube","F-17 Mod1","1","360","4"
"533mm French Torpedo Tube","F-17 Mod2","1","360","4"
"533mm French Torpedo Tube","F-17","1","360","4"
"533mm French Torpedo Tube","SM-39 Exocet","1","360","4"
"533mm Gato Tube","Mk-14 Mod0","1","300","4"
"533mm Gato Tube","Mk-14 Mod3","1","300","4"
"533mm Gato Tube","Mk-16 Mod0","1","300","4"
"533mm Gato Tube","Mk-16 Mod3","1","300","4"
"533mm Gato Tube","Mk-18","1","300","4"
"533mm Gato Tube","Mk-28","1","300","4"
"533mm Gato Tube","Mk-37 Mod1","1","300","4"
"533mm Gato Tube","Mk-37 Mod3","1","300","4"
"533mm German Torpedo Tube","A-184","1","360","4"
"533mm German Torpedo Tube","DM2A1","1","360","4"
"533mm German Torpedo Tube","DM2A3","1","360","4"
"533mm German Torpedo Tube","DM2A4*","1","360","4"
"533mm Hamburg Tubes","Mk-15 Mod0","5","600","3"
"533mm Hauk tube","Type-612 Torpedo","1","480","3"
"533mm Hauk tube","Type-613 Torpedo","1","480","3"
"533mm Japanese Sub Tube Early","Mk-14 Mod3","1","300","3"
"533mm Japanese Sub Tube Early","Mk-16 Mod0","1","300","3"
"533mm Japanese Sub Tube Early","Mk-16 Mod3","1","300","3"
"533mm Japanese Sub Tube Early","Mk-37 Mod1","1","300","3"
"533mm Japanese Sub Tube Early","Mk-37 Mod3","1","300","3"
"533mm Japanese Sub Tube Early","Mk-37","1","300","3"
"533mm Japanese Sub Tube Early","Type-80 Torpedo","1","300","3"
"533mm Japanese Sub Tube","Mk-37 Mod1","1","300","3"
