DatabaseClass numeric,SensorClass numeric,SensorAz numeric
"9K37 Gang","9S36","0"
"9K37 Gang","Eyeball 20/20e","0"
"9K37 Gang","Eyeball 20/20f","0"
"9K37 Gang","Eyeball 20/20g","0"
"9K37 Gang","Eyeball 20/20h","0"
"9K37-1 Buk-1","9S18","0"
"9K37-1 Buk-1","9S36","0"
"9K37-1 Buk-1","Eyeball 20/20e","0"
"9K37-1 Buk-1","Eyeball 20/20f","0"
"9K37-1 Buk-1","Eyeball 20/20g","0"
"9K37-1 Buk-1","Eyeball 20/20h","0"
"9K37M1 Buk-M1","9S18","0"
"9K37M1 Buk-M1","9S36","0"
"9K37M1 Buk-M1","Eyeball 20/20e","0"
"9K37M1 Buk-M1","Eyeball 20/20f","0"
"9K37M1 Buk-M1","Eyeball 20/20g","0"
"9K37M1 Buk-M1","Eyeball 20/20h","0"
"A-10A","ALR-69 RWR","0"
"A-10A","Eyeball 20/10","0"
"A-10A","Eyeball 20/10d","0"
"A-10A","Eyeball 20/10e","0"
"A-10A","Eyeball 20/10f","0"
"A-10A","LANTIRN","0"
"A-10A(78)","ALR-69 RWR","0"
"A-10A(78)","Eyeball 20/10","0"
"A-10A(78)","Eyeball 20/10d","0"
"A-10A(78)","Eyeball 20/10e","0"
"A-10A(78)","Eyeball 20/10f","0"
"A-10A(78)","LANTIRN","0"
"A-10C","ALR-69 RWR","0"
"A-10C","Eyeball 20/10","0"
"A-10C","Eyeball 20/10d","0"
"A-10C","Eyeball 20/10e","0"
"A-10C","Eyeball 20/10f","0"
"A-10C","Litening LDP","0"
"A-1D","Eyeball 20/10","0"
"A-1D","Eyeball 20/10d","0"
"A-1D","Eyeball 20/10e","0"
"A-1D","Eyeball 20/10e.nf","0"
"A-1D","Eyeball 20/10f","0"
"A-1D","Eyeball 20/10f.nf","0"
"A-1E","Eyeball 20/10","0"
"A-1E","Eyeball 20/10d","0"
"A-1E","Eyeball 20/10e","0"
"A-1E","Eyeball 20/10f","0"
"A-1G","Eyeball 20/10","0"
"A-1G","Eyeball 20/10d","0"
"A-1G","Eyeball 20/10e","0"
"A-1G","Eyeball 20/10e.nf","0"
"A-1G","Eyeball 20/10f","0"
"A-1G","Eyeball 20/10f.nf","0"
"A-1H","Eyeball 20/10","0"
"A-1H","Eyeball 20/10d","0"
"A-1H","Eyeball 20/10e","0"
"A-1H","Eyeball 20/10e.nf","0"
"A-1H","Eyeball 20/10f","0"
"A-1H","Eyeball 20/10f.nf","0"
"A-1J","Eyeball 20/10","0"
"A-1J","Eyeball 20/10d","0"
"A-1J","Eyeball 20/10e","0"
"A-1J","Eyeball 20/10e.nf","0"
"A-1J","Eyeball 20/10f","0"
"A-1J","Eyeball 20/10f.nf","0"
"A-20A","Eyeball 20/10","0"
"A-20A","Eyeball 20/10d","0"
"A-20A","Eyeball 20/10e","0"
"A-20A","Eyeball 20/10f","0"
"A-29B","AN/AAQ-22","0"
"A-29B","Eyeball 20/10","0"
"A-29B","Eyeball 20/10b","0"
"A-29B","Eyeball 20/10c","0"
"A-3A","ASB-1A","0"
"A-3A","Eyeball 20/10","0"
"A-3A","Eyeball 20/10b","0"
"A-3A","Eyeball 20/10c","0"
"A-3B","ASB-7","0"
"A-3B","Eyeball 20/10","0"
"A-3B","Eyeball 20/10b","0"
"A-3B","Eyeball 20/10c","0"
"A-4A","APG-53A","0"
"A-4A","Eyeball 20/10","0"
"A-4A","Eyeball 20/10d","0"
"A-4A","Eyeball 20/10e","0"
"A-4A","Eyeball 20/10f","0"
"A-4AR","APG-53A","0"
"A-4AR","Eyeball 20/10","0"
"A-4AR","Eyeball 20/10d","0"
"A-4AR","Eyeball 20/10e","0"
"A-4AR","Eyeball 20/10f","0"
"A-4B","APG-53A","0"
"A-4B","Eyeball 20/10","0"
"A-4B","Eyeball 20/10d","0"
"A-4B","Eyeball 20/10e","0"
"A-4B","Eyeball 20/10f","0"
"A-4C","APG-53A","0"
"A-4C","Eyeball 20/10","0"
"A-4C","Eyeball 20/10d","0"
"A-4C","Eyeball 20/10e","0"
"A-4C","Eyeball 20/10f","0"
"A-4E","APG-53A","0"
"A-4E","Eyeball 20/10","0"
"A-4E","Eyeball 20/10d","0"
"A-4E","Eyeball 20/10e","0"
"A-4E","Eyeball 20/10f","0"
"A-4E(Indonesia)","APG-53A","0"
"A-4E(Indonesia)","Eyeball 20/10","0"
"A-4E(Indonesia)","Eyeball 20/10d","0"
"A-4E(Indonesia)","Eyeball 20/10e","0"
"A-4E(Indonesia)","Eyeball 20/10f","0"
"A-4F","APG-53A","0"
"A-4F","Eyeball 20/10","0"
"A-4F","Eyeball 20/10d","0"
"A-4F","Eyeball 20/10e","0"
"A-4F","Eyeball 20/10f","0"
"A-4G(AU)","APG-53A","0"
"A-4G(AU)","Eyeball 20/10","0"
"A-4G(AU)","Eyeball 20/10d","0"
"A-4G(AU)","Eyeball 20/10e","0"
"A-4G(AU)","Eyeball 20/10f","0"
"A-4G(NZ)","APG-53A","0"
"A-4G(NZ)","Eyeball 20/10","0"
"A-4G(NZ)","Eyeball 20/10d","0"
"A-4G(NZ)","Eyeball 20/10e","0"
"A-4G(NZ)","Eyeball 20/10f","0"
"A-4H","APG-53A","0"
"A-4H","Eyeball 20/10","0"
"A-4H","Eyeball 20/10d","0"
"A-4H","Eyeball 20/10e","0"
"A-4H","Eyeball 20/10f","0"
"A-4K","APG-53A","0"
"A-4K","Eyeball 20/10","0"
"A-4K","Eyeball 20/10d","0"
"A-4K","Eyeball 20/10e","0"
"A-4K","Eyeball 20/10f","0"
"A-4Ku","APG-53A","0"
"A-4Ku","Eyeball 20/10","0"
"A-4Ku","Eyeball 20/10d","0"
"A-4Ku","Eyeball 20/10e","0"
"A-4Ku","Eyeball 20/10f","0"
"A-4M","APG-53A","0"
"A-4M","Eyeball 20/10","0"
"A-4M","Eyeball 20/10d","0"
"A-4M","Eyeball 20/10e","0"
"A-4M","Eyeball 20/10f","0"
"A-4N","APG-53A","0"
"A-4N","Eyeball 20/10","0"
"A-4N","Eyeball 20/10d","0"
"A-4N","Eyeball 20/10e","0"
"A-4N","Eyeball 20/10f","0"
"A-4P","APG-53A","0"
"A-4P","Eyeball 20/10","0"
"A-4P","Eyeball 20/10d","0"
"A-4P","Eyeball 20/10e","0"
"A-4P","Eyeball 20/10f","0"
"A-4PTM","APG-53A","0"
"A-4PTM","Eyeball 20/10","0"
"A-4PTM","Eyeball 20/10d","0"
"A-4PTM","Eyeball 20/10e","0"
"A-4PTM","Eyeball 20/10f","0"
"A-4Q","APG-53A","0"
"A-4Q","Eyeball 20/10","0"
"A-4Q","Eyeball 20/10d","0"
"A-4Q","Eyeball 20/10e","0"
"A-4Q","Eyeball 20/10f","0"
"A-4S","APG-53A","0"
"A-4S","Eyeball 20/10","0"
"A-4S","Eyeball 20/10d","0"
"A-4S","Eyeball 20/10e","0"
"A-4S","Eyeball 20/10f","0"
"A-4Su","APG-53A","0"
"A-4Su","Eyeball 20/10","0"
"A-4Su","Eyeball 20/10d","0"
"A-4Su","Eyeball 20/10e","0"
"A-4Su","Eyeball 20/10f","0"
"A-4Su","Laser-10km","0"
"A-50","ESM-D","0"
"A-50","Eyeball 20/10","0"
"A-50","Eyeball 20/10b","0"
"A-50","Eyeball 20/10c","0"
"A-50","Shmel-M","0"
"A3D-1","ASB-1A","0"
"A3D-1","Eyeball 20/10","0"
"A3D-1","Eyeball 20/10b","0"
"A3D-1","Eyeball 20/10c","0"
"A3D-1Q","ALQ-35","0"
"A3D-1Q","ALQ-41","0"
"A3D-1Q","ALQ-51","0"
"A3D-1Q","ALR-3 RWR","0"
"A3D-1Q","APR-13 ESM","0"
"A3D-1Q","APR-9 ESM","0"
"A3D-1Q","ASB-1A","0"
"A3D-1Q","Eyeball 20/10","0"
"A3D-1Q","Eyeball 20/10b","0"
"A3D-1Q","Eyeball 20/10c","0"
"A3D-2","ASB-7","0"
"A3D-2","Eyeball 20/10","0"
"A3D-2","Eyeball 20/10b","0"
"A3D-2","Eyeball 20/10c","0"
"A3D-2P","ASB-7","0"
"A3D-2P","Eyeball 20/10","0"
"A3D-2P","Eyeball 20/10b","0"
"A3D-2P","Eyeball 20/10c","0"
"A3D-2P","F2H-2P Photo 1","0"
"A3D-2P","F2H-2P Photo 2","270"
"A3D-2P","F2H-2P Photo 2","90"
"A3D-2Q","ALQ-35","0"
"A3D-2Q","ALQ-41","0"
"A3D-2Q","ALQ-51","0"
"A3D-2Q","ALR-3 RWR","0"
"A3D-2Q","APR-13 ESM","0"
"A3D-2Q","APR-9 ESM","0"
"A3D-2Q","ASB-7","0"
"A3D-2Q","Eyeball 20/10","0"
"A3D-2Q","Eyeball 20/10b","0"
"A3D-2Q","Eyeball 20/10c","0"
"A4D-1","APG-53A","0"
"A4D-1","Eyeball 20/10","0"
"A4D-1","Eyeball 20/10d","0"
"A4D-1","Eyeball 20/10e","0"
"A4D-1","Eyeball 20/10f","0"
"A4D-2","APG-53A","0"
"A4D-2","Eyeball 20/10","0"
"A4D-2","Eyeball 20/10d","0"
"A4D-2","Eyeball 20/10e","0"
"A4D-2","Eyeball 20/10f","0"
"A4D-2N","APG-53A","0"
"A4D-2N","Eyeball 20/10","0"
"A4D-2N","Eyeball 20/10d","0"
"A4D-2N","Eyeball 20/10e","0"
"A4D-2N","Eyeball 20/10f","0"
"AAW cruiser","Air search radar","0"
"AAW cruiser","Eyeball 20/20","0"
"AAW cruiser","Eyeball 20/20b","0"
"AAW cruiser","Eyeball 20/20c","0"
"AAW cruiser","Eyeball 20/20d","0"
"AAW cruiser","SAM fire control radar","0"
"AB 212.ASW","APS-706","0"
"AB 212.ASW","AQS-18 DS Active","0"
"AB 212.ASW","AQS-18 DS Passive","0"
"AB 212.ASW","Eyeball 20/10","0"
"AB 212.ASW","Eyeball 20/10b","0"
"AB 212.ASW","Eyeball 20/10c","0"
"AB 212.ASW","PRT-405","0"
"AB212ASW","APS-705","0"
"AB212ASW","AQS-13B DS Active","0"
"AB212ASW","AQS-13B DS Passive","0"
"AB212ASW","Eyeball 20/10","0"
"AB212ASW","Eyeball 20/10b","0"
"AB212ASW","Eyeball 20/10c","0"
"AB212ASW","PRT-405","0"
"AB412","Eyeball 20/10","0"
"AB412","Eyeball 20/10b","0"
"AB412","Eyeball 20/10c","0"
"AB412","RDR-1400C","0"
"AB412","Seaflir","0"
"AD-1","Eyeball 20/10","0"
"AD-1","Eyeball 20/10d","0"
"AD-1","Eyeball 20/10e","0"
"AD-1","Eyeball 20/10f","0"
"AD-1Q","APT-6 Pod","0"
"AD-1Q","Eyeball 20/10","0"
"AD-1Q","Eyeball 20/10d","0"
"AD-1Q","Eyeball 20/10e","0"
"AD-1Q","Eyeball 20/10f","0"
"AD-2","Eyeball 20/10","0"
"AD-2","Eyeball 20/10d","0"
"AD-2","Eyeball 20/10e","0"
"AD-2","Eyeball 20/10f","0"
"AD-2Q","APT-6 Pod","0"
"AD-2Q","Eyeball 20/10","0"
"AD-2Q","Eyeball 20/10d","0"
"AD-2Q","Eyeball 20/10e","0"
"AD-2Q","Eyeball 20/10f","0"
"AD-3","Eyeball 20/10","0"
"AD-3","Eyeball 20/10d","0"
"AD-3","Eyeball 20/10e","0"
"AD-3","Eyeball 20/10f","0"
"AD-3Q","APT-6 Pod","0"
"AD-3Q","Eyeball 20/10","0"
"AD-3Q","Eyeball 20/10d","0"
"AD-3Q","Eyeball 20/10e","0"
"AD-3Q","Eyeball 20/10f","0"
"AD-3W","APS-20A","0"
"AD-3W","Eyeball 20/10","0"
"AD-3W","Eyeball 20/10d","0"
"AD-3W","Eyeball 20/10e","0"
"AD-3W","Eyeball 20/10f","0"
"AD-4","Eyeball 20/10","0"
"AD-4","Eyeball 20/10d","0"
"AD-4","Eyeball 20/10e","0"
"AD-4","Eyeball 20/10f","0"
"AD-4B","Eyeball 20/10","0"
"AD-4B","Eyeball 20/10d","0"
"AD-4B","Eyeball 20/10e","0"
"AD-4B","Eyeball 20/10f","0"
"AD-4L","Eyeball 20/10","0"
"AD-4L","Eyeball 20/10d","0"
"AD-4L","Eyeball 20/10e","0"
"AD-4L","Eyeball 20/10f","0"
"AD-4N","Eyeball 20/10","0"
"AD-4N","Eyeball 20/10d","0"
"AD-4N","Eyeball 20/10e","0"
"AD-4N","Eyeball 20/10e.nf","0"
"AD-4N","Eyeball 20/10f","0"
"AD-4N","Eyeball 20/10f.nf","0"
"AD-4NA","Eyeball 20/10","0"
"AD-4NA","Eyeball 20/10d","0"
"AD-4NA","Eyeball 20/10e","0"
"AD-4NA","Eyeball 20/10e.nf","0"
"AD-4NA","Eyeball 20/10f","0"
"AD-4NA","Eyeball 20/10f.nf","0"
"AD-4NA(France)","Eyeball 20/10","0"
"AD-4NA(France)","Eyeball 20/10d","0"
"AD-4NA(France)","Eyeball 20/10e","0"
"AD-4NA(France)","Eyeball 20/10e.nf","0"
"AD-4NA(France)","Eyeball 20/10f","0"
"AD-4NA(France)","Eyeball 20/10f.nf","0"
"AD-4Q","APT-6 Pod","0"
"AD-4Q","Eyeball 20/10","0"
"AD-4Q","Eyeball 20/10d","0"
"AD-4Q","Eyeball 20/10e","0"
"AD-4Q","Eyeball 20/10f","0"
"AD-4W","APS-20A","0"
"AD-4W","Eyeball 20/10","0"
"AD-4W","Eyeball 20/10d","0"
"AD-4W","Eyeball 20/10e","0"
"AD-4W","Eyeball 20/10f","0"
"AD-5","Eyeball 20/10","0"
"AD-5","Eyeball 20/10d","0"
"AD-5","Eyeball 20/10e","0"
"AD-5","Eyeball 20/10f","0"
"AD-5N","Eyeball 20/10","0"
"AD-5N","Eyeball 20/10d","0"
"AD-5N","Eyeball 20/10e","0"
"AD-5N","Eyeball 20/10e.nf","0"
"AD-5N","Eyeball 20/10f","0"
"AD-5N","Eyeball 20/10f.nf","0"
"AD-5Q","APT-6 Pod","0"
"AD-5Q","Eyeball 20/10","0"
"AD-5Q","Eyeball 20/10d","0"
"AD-5Q","Eyeball 20/10e","0"
"AD-5Q","Eyeball 20/10f","0"
"AD-5W","APS-20A","0"
"AD-5W","Eyeball 20/10","0"
"AD-5W","Eyeball 20/10d","0"
"AD-5W","Eyeball 20/10e","0"
"AD-5W","Eyeball 20/10f","0"
"AD-6","Eyeball 20/10","0"
"AD-6","Eyeball 20/10d","0"
"AD-6","Eyeball 20/10e","0"
"AD-6","Eyeball 20/10e.nf","0"
"AD-6","Eyeball 20/10f","0"
"AD-6","Eyeball 20/10f.nf","0"
"AD-7","Eyeball 20/10","0"
"AD-7","Eyeball 20/10d","0"
"AD-7","Eyeball 20/10e","0"
"AD-7","Eyeball 20/10e.nf","0"
"AD-7","Eyeball 20/10f","0"
"AD-7","Eyeball 20/10f.nf","0"
"AEW aircraft","AEW radar","0"
"AEW aircraft","ESM-4","0"
"AF-1","APG-53A","0"
"AF-1","Eyeball 20/10","0"
"AF-1","Eyeball 20/10d","0"
"AF-1","Eyeball 20/10e","0"
"AF-1","Eyeball 20/10f","0"
"AF-1E Fury","Eyeball 20/10","0"
"AF-1E Fury","Eyeball 20/10d","0"
"AF-1E Fury","Eyeball 20/10e","0"
"AF-1E Fury","Eyeball 20/10f","0"
"AGI Class San Andres","ELINT","0"
"AGI Class San Andres","Eyeball 20/20","0"
"AGI Class San Andres","Eyeball 20/20b","0"
"AGI Class San Andres","Eyeball 20/20c","0"
"AGI Class San Andres","Eyeball 20/20d","0"
"AGI Class San Andres","Raytheon","0"
"AGP Class Cartagena","Eyeball 20/20","0"
"AGP Class Cartagena","Eyeball 20/20b","0"
"AGP Class Cartagena","Eyeball 20/20c","0"
"AGP Class Cartagena","Eyeball 20/20d","0"
"AGP Class Cartagena","Kelvin Hughes","0"
"AH-1J Sea Cobra","APR-44 RWR","0"
"AH-1J Sea Cobra","Eyeball 20/10.n","0"
"AH-1J Sea Cobra","Eyeball 20/10b.n","0"
"AH-1J Sea Cobra","Eyeball 20/10c.n","0"
"AH-1T Sea Cobra","APR-44 RWR","0"
"AH-1T Sea Cobra","Eyeball 20/10.n","0"
"AH-1T Sea Cobra","Eyeball 20/10b.n","0"
"AH-1T Sea Cobra","Eyeball 20/10c.n","0"
"AH-1T Sea Cobra","TOW Operator.n","0"
"AH-1W Super Cobra","APR-44 RWR","0"
"AH-1W Super Cobra","Eyeball 20/10.n","0"
"AH-1W Super Cobra","Eyeball 20/10b.n","0"
"AH-1W Super Cobra","Eyeball 20/10c.n","0"
"AH-1W Super Cobra","NTS FLIR","0"
"AH-1W Super Cobra","TOW Operator.n","0"
"AH-1Z Viper","AAQ-30 Hawkeye TSS FLIR","0"
"AH-1Z Viper","APR-44 RWR","0"
"AH-1Z Viper","Eyeball 20/10.n","0"
"AH-1Z Viper","Eyeball 20/10b.n","0"
"AH-1Z Viper","Eyeball 20/10c.n","0"
"AH-1Z Viper","TOW Operator.n","0"
"AH-64A","Apache FLIR","0"
"AH-64A","Eyeball 20/10","0"
"AH-64A","Eyeball 20/10b","0"
"AH-64A","Eyeball 20/10c","0"
"AH-64A","Laser-20km","0"
"AJ-1","APS-31A","0"
"AJ-1","Eyeball 20/10","0"
"AJ-1","Eyeball 20/10b","0"
"AJ-1","Eyeball 20/10c","0"
"AJ-2","Eyeball 20/10","0"
"AJ-2","Eyeball 20/10b","0"
"AJ-2","Eyeball 20/10c","0"
"AJ-2P","Eyeball 20/10","0"
"AJ-2P","Eyeball 20/10b","0"
"AJ-2P","Eyeball 20/10c","0"
"AJ-2P","F2H-2P Photo 1","0"
"AJ-2P","F2H-2P Photo 2","270"
"AJ-2P","F2H-2P Photo 2","90"
"AMX-13SA","Eyeball 20/20e","0"
"AMX-13SA","Eyeball 20/20f","0"
"AMX-13SA","Eyeball 20/20g","0"
"AMX-13SA","Eyeball 20/20h","0"
"ANZAC FFH","9LV 453 TIR","0"
"ANZAC FFH","Centaur ESM","0"
"ANZAC FFH","Eyeball 20/20","0"
"ANZAC FFH","Eyeball 20/20b","0"
"ANZAC FFH","Eyeball 20/20c","0"
"ANZAC FFH","Eyeball 20/20d","0"
"ANZAC FFH","Kariwarra Towed Array Sonar","0"
"ANZAC FFH","Petrel MOAS 5425","0"
"ANZAC FFH","SPS-49(V)8","0"
"ANZAC FFH","Sea Giraffe 150","0"
"ANZAC FFH","Spherion B Mod 5","0"
"ANZAC FFH","VAMPIR IIRST","0"
"ANZAC-II FFG","CEAFAR Array","0"
"ANZAC-II FFG","CEAMOUNT Array","0"
"ANZAC-II FFG","Centaur ESM","0"
"ANZAC-II FFG","Eyeball 20/20","0"
"ANZAC-II FFG","Eyeball 20/20b","0"
"ANZAC-II FFG","Eyeball 20/20c","0"
"ANZAC-II FFG","Eyeball 20/20d","0"
"ANZAC-II FFG","Kariwarra Towed Array Sonar","0"
"ANZAC-II FFG","Petrel MOAS 5425","0"
"ANZAC-II FFG","Spherion B Mod 5","0"
"ANZAC-II FFG","VAMPIR IIRST","0"
"AP-3C Orion","AMES-C ESM","0"
"AP-3C Orion","ASQ-81 MAD","180"
"AP-3C Orion","EL/M-2022(v)3","0"
"AP-3C Orion","Eyeball 20/10","0"
"AP-3C Orion","Eyeball 20/10b","0"
"AP-3C Orion","Eyeball 20/10c","0"
"AP-3C Orion","Star Safire III EO","0"
"AP-3C Orion","Star Safire III IR","0"
"AS 565MB Panther","Eyeball 20/10","0"
"AS 565MB Panther","Eyeball 20/10b","0"
"AS 565MB Panther","Eyeball 20/10c","0"
"AS 565MB Panther","ORB 32","0"
"AS.555SN","Eyeball 20/10","0"
"AS.555SN","Eyeball 20/10b","0"
"AS.555SN","Eyeball 20/10c","0"
"AS.555SN","RDR-1500","0"
"AV-8A Harrier","Eyeball 20/10","0"
"AV-8A Harrier","Eyeball 20/10d","0"
"AV-8A Harrier","Eyeball 20/10e","0"
"AV-8A Harrier","Eyeball 20/10f","0"
"AV-8A Harrier","Laser-20km","0"
"AV-8B Harrier II NA","ALR-67 RWR","0"
"AV-8B Harrier II NA","Eyeball 20/10","0"
"AV-8B Harrier II NA","Eyeball 20/10d","0"
"AV-8B Harrier II NA","Eyeball 20/10e","0"
"AV-8B Harrier II NA","Eyeball 20/10f","0"
"AV-8B Harrier II NA","Laser-20km","0"
"AV-8B Harrier II","ALR-67 RWR","0"
"AV-8B Harrier II","Eyeball 20/10","0"
"AV-8B Harrier II","Eyeball 20/10d","0"
"AV-8B Harrier II","Eyeball 20/10e","0"
"AV-8B Harrier II","Eyeball 20/10f","0"
"AV-8B Harrier II","Laser-20km","0"
"AV-8B Harrier II+","ALR-67 RWR","0"
"AV-8B Harrier II+","APG-65(h)","0"
"AV-8B Harrier II+","Eyeball 20/10","0"
"AV-8B Harrier II+","Eyeball 20/10d","0"
"AV-8B Harrier II+","Eyeball 20/10e","0"
"AV-8B Harrier II+","Eyeball 20/10f","0"
"AV-8B Harrier II+","Laser-20km","0"
"AV-8B Harrier II+(Italy)","ALR-67 RWR","0"
"AV-8B Harrier II+(Italy)","APG-65(h)","0"
"AV-8B Harrier II+(Italy)","Eyeball 20/10","0"
"AV-8B Harrier II+(Italy)","Eyeball 20/10d","0"
"AV-8B Harrier II+(Italy)","Eyeball 20/10e","0"
"AV-8B Harrier II+(Italy)","Eyeball 20/10f","0"
"AV-8B Harrier II+(Italy)","Laser-20km","0"
"AV-8C Harrier","ALR-45 RWR","0"
"AV-8C Harrier","Eyeball 20/10","0"
"AV-8C Harrier","Eyeball 20/10d","0"
"AV-8C Harrier","Eyeball 20/10e","0"
"AV-8C Harrier","Eyeball 20/10f","0"
"AV-8C Harrier","Laser-20km","0"
"AW101 Series 110","ELT-156X RWR","0"
"AW101 Series 110","Eyeball 20/10","0"
"AW101 Series 110","Eyeball 20/10b","0"
"AW101 Series 110","Eyeball 20/10c","0"
"AW101 Series 110","Galiflir FLIR","0"
"AW101 Series 110","Helras Mk2 DS Active","0"
"AW101 Series 110","Helras Mk2 DS Passive","0"
"AW101 Series 110","MM/APS-784","0"
"Abukuma FFG","Eyeball 20/20","0"
"Abukuma FFG","Eyeball 20/20b","0"
"Abukuma FFG","Eyeball 20/20c","0"
"Abukuma FFG","Eyeball 20/20d","0"
"Abukuma FFG","NOLQ-6","0"
"Abukuma FFG","OLT-3","0"
"Abukuma FFG","OPS-14","0"
"Abukuma FFG","OPS-28","0"
"Abukuma FFG","OQS-8 Active","0"
"Abukuma FFG","OQS-8 Passive","0"
"Abukuma FFG","Phalanx FC","0"
"Aconit DD (1984)","DRBC 32B","0"
"Aconit DD (1984)","DRBV 15C","0"
"Aconit DD (1984)","DRBV 22","0"
"Aconit DD (1984)","DUBV-23 Active","0"
"Aconit DD (1984)","DUBV-43 VDS Active","0"
"Aconit DD (1984)","Eyeball 20/20","0"
"Aconit DD (1984)","Eyeball 20/20b","0"
"Aconit DD (1984)","Eyeball 20/20c","0"
"Aconit DD (1984)","Eyeball 20/20d","0"
"Aconit DD","DRBC 32B","0"
"Aconit DD","DRBV 13","0"
"Aconit DD","DRBV 22","0"
"Aconit DD","DUBV-23 Active","0"
"Aconit DD","DUBV-43 VDS Active","0"
"Aconit DD","Eyeball 20/20","0"
"Aconit DD","Eyeball 20/20b","0"
"Aconit DD","Eyeball 20/20c","0"
"Aconit DD","Eyeball 20/20d","0"
"Adelaide FFG","C-Pearl ESM","0"
"Adelaide FFG","Eyeball 20/20","0"
"Adelaide FFG","Eyeball 20/20b","0"
"Adelaide FFG","Eyeball 20/20c","0"
"Adelaide FFG","Eyeball 20/20d","0"
"Adelaide FFG","Kariwarra Towed Array Sonar","0"
"Adelaide FFG","Mk-92 Mod 12 STIR-HP","0"
